ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.331645,,,,,,,,,,,214b4246-7099-4cdd-8ef8-3ac2084053fb,50,,,"[56.8, 66.3]",3775601,0,,,,-0.30667633,,Right Foot,,,"[62.8, 64.4]",High Pass,,6.293648,Incomplete,,Lucy Staniforth,15562.0,,,,,,Recovery,1,Regular Play,Ona Batlle Pascual,46639.0,Right Back,4,Bristol City WFC,973,"['50837437-d855-495e-b2ec-c7b224e0c2f1', '6392bac0-8c7c-48fa-b31a-bd53b1d9939e', 'efda1b76-4de6-42b3-ac96-8daf8e15723a']",42,,,,,,,,,,,,,,,,Manchester United,1475,00:00:42.906,Pass,
,,,,,,,,,,,,,,1.672671,,,,,,,,,,,0165c892-007c-4659-84f3-d8323c8b0625,56,,,"[58.1, 21.6]",3775601,0,,,,0.0,,Right Foot,,,"[65.5, 21.6]",High Pass,,7.4,,,Molly Pike,31564.0,,,,,,,1,Regular Play,Kiera Skeels,36799.0,Left Center Midfield,4,Bristol City WFC,973,"['3577fd13-664a-41d5-843f-8ae118f7001b', '35d837f3-6625-4ec9-a612-fa7306314a36']",46,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:46.468,Pass,True
,,,,,,,,,,,,,,1.146222,,,,,,,,,,,8b847a3b-349e-4a21-a0bd-97c7cc72f69b,58,,,"[65.5, 21.4]",3775601,0,,,,0.25962964,,Head,,,"[78.3, 24.8]",Low Pass,,13.243867,Incomplete,,Charlie Wellings,15563.0,,,,,,,1,Regular Play,Molly Pike,31564.0,Center Attacking Midfield,4,Bristol City WFC,973,"['3bcef098-4a30-4fd2-9802-677bab76e090', '6c451b5a-6a97-4e04-b002-23e2a8882112']",48,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:48.141,Pass,
,,,,,,,,,,,,,,2.386591,,,,,,,,,,,30d1bd22-e6a1-4eb5-a6be-8af0b7d5ac94,67,,,"[79.6, 17.0]",3775601,1,,,,0.6896652,,Left Foot,,,"[112.7, 44.3]",High Pass,,42.905712,Pass Offside,,Ebony Salmon,31527.0,,,,,,Free Kick,1,From Free Kick,Jemma Elizabeth Purfield,24239.0,Left Back,6,Bristol City WFC,973,['63432ced-7620-45fc-8801-71aa6113e390'],37,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:37.061,Pass,
,,,,,,,,,,,,,,2.412235,,,,,,,,,,,1971c618-6c71-4718-b935-fc8876c2b7d6,69,,,"[8.0, 47.5]",3775601,2,,,,0.5202091,,Left Foot,,,"[48.5, 70.7]",High Pass,,46.674297,,,Ona Batlle Pascual,46639.0,,,,,,Free Kick,1,From Free Kick,Mary Alexandra Earps,31538.0,Goalkeeper,7,Manchester United,1475,['f41d8212-1a14-4782-a6df-be0d48b68ccd'],18,,,,,,,,,,,,,,,,Manchester United,1475,00:02:18.239,Pass,
,,,,,,,,,,,,,,2.016717,,,,,,,,,,,8dedebba-145d-41f2-b25a-dcd3e7db186c,72,,,"[47.2, 69.8]",3775601,2,,,,0.73427993,,Right Foot,,,"[58.5, 80.0]",High Pass,,15.22268,Out,,Jessica Sigsworth,31535.0,,,,,,,1,From Free Kick,Ona Batlle Pascual,46639.0,Right Back,7,Manchester United,1475,['db080af7-a7ac-4dcb-99d0-f89d80623598'],20,,,,,,,,,,,,,,,,Manchester United,1475,00:02:20.656,Pass,
,,,,,,,,,,,,,,0.87088,,,,,,,,,,,94e83cb6-46bf-4a94-8f67-64610223089e,74,,,"[57.3, 0.1]",3775601,2,,,,0.36537364,,,,,"[72.2, 5.8]",Low Pass,,15.953056,,,Yana Daniëls,10093.0,,,,,,Throw-in,1,From Throw In,Jemma Elizabeth Purfield,24239.0,Left Back,8,Bristol City WFC,973,['d8053b45-d995-4836-b441-fe05f0829a63'],33,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:33.638,Pass,
,,,,,,,,,,,,,,2.230385,,,,,,,,,,,45bdf8e1-3df2-4b8f-8afc-62cb3bfeb57b,78,,,"[53.8, 1.7]",3775601,2,,,,2.4214284,,Right Foot,,,"[32.6, 20.3]",Ground Pass,,28.202837,,,Meaghan Sargeant,19502.0,,,,,,,1,From Throw In,Yana Daniëls,10093.0,Left Wing,8,Bristol City WFC,973,"['427b06bf-94ac-4787-8e82-153ab3219e62', '469104de-0cb2-4cc4-8adf-8c88e598973d']",37,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:37.670,Pass,True
,,,,,,,,,,,,,,2.653044,,,,,,,,,,,bdf49e52-940a-4f37-98ea-3501440f77c4,80,,,"[32.6, 20.3]",3775601,2,,,,-1.7928783,,Right Foot,,,"[29.8, 7.9]",Low Pass,,12.712199,,,Gemma Evans,16381.0,,,,,,,1,From Throw In,Meaghan Sargeant,19502.0,Right Center Back,8,Bristol City WFC,973,['893254af-c00d-4ecb-92fa-f1d2742e4512'],39,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:39.900,Pass,
,,,,,,,,,,,,,,1.3467,,,,,,,,,,,634b3e6f-e18a-4bfc-a283-595df3027503,92,,,"[52.7, 20.1]",3775601,2,,,,0.8557778,,Left Foot,,,"[70.5, 40.6]",Ground Pass,,27.1494,Incomplete,,Ebony Salmon,31527.0,,,,,,,1,From Throw In,Gemma Evans,16381.0,Left Center Back,8,Bristol City WFC,973,"['8b42e5ae-1560-4704-bbe9-e4f42e1123e3', 'cb6933df-7da6-4a00-8d16-46a9ac38ea98']",51,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:51.090,Pass,
