50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.541335,,,,,,,,,,,d94aaeae-97b4-4349-ad22-5359ffb6bcb3,76,,,"[7.0, 36.1]",3775568,1,,,,0.30296728,,Right Foot,,"[76.1, 57.7]",High Pass,,72.39731,Incomplete,,Claudia Walker,15580.0,,,,,Goal Kick,1,From Goal Kick,Hannah Hampton,22032.0,Goalkeeper,8,Birmingham City WFC,969,"['61b53e2a-43a7-48b4-8b27-9b043cc5c881', 'b6a0f175-7ad9-4096-a0ec-baab2bb8fdf8']",49,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:01:49.945,Pass,
,,,,,,,,,,,,,,,,,1.988555,,,,,,,,,,,5fae2b94-80bd-4c29-a035-90390e55a5e8,96,,,"[56.4, 31.0]",3775568,2,,,,-2.0344439,,Right Foot,,"[44.9, 8.0]",Ground Pass,,25.71478,,,Jodie Hutton,46537.0,,,,,,1,Regular Play,Olivia McLoughlin,77717.0,Right Center Midfield,9,Aston Villa,2647,['d31fcdbb-9d7a-4420-9c34-43d2be17ce38'],4,,,,,,,,,,,,,,,,Aston Villa,2647,00:02:04.301,Pass,
,,,,,,,,,,,,,,,,,1.515022,,,,,,,,,,,b6884edb-d708-4622-8156-2855b8ba1c98,99,,,"[45.3, 8.3]",3775568,2,,,,2.305817,,Left Foot,,"[34.0, 20.8]",Ground Pass,,16.85052,,,Natalie Haigh,46535.0,,,,,,1,Regular Play,Jodie Hutton,46537.0,Left Center Back,9,Aston Villa,2647,['a2f476dd-7415-4fd4-9dd4-b2b6756a4169'],7,,,,,,,,,,,,,,,,Aston Villa,2647,00:02:07.414,Pass,
,,,,,,,,,,,,,,,,,1.619589,,,,,,,,,,,d238afe1-2851-4fca-b664-b6cb8a5c0973,102,,,"[34.0, 22.4]",3775568,2,,,,1.4778446,,Right Foot,,"[37.3, 57.8]",Ground Pass,,35.553482,,,Anita Amma Ankyewah Asante,4657.0,,,,,,1,Regular Play,Natalie Haigh,46535.0,Center Back,9,Aston Villa,2647,['5bff0624-ef26-4a00-ab32-5967368cc284'],10,,,,,,,,,,,,,,,,Aston Villa,2647,00:02:10.206,Pass,
,,,,,,,,,,,,,,,,,1.041877,,,,,,,,,,,2e222103-5502-4678-8380-f7b9bc58c186,105,,,"[52.9, 67.6]",3775568,2,,,,-0.45451546,,Right Foot,,"[70.5, 59.0]",Ground Pass,,19.588772,Incomplete,,,,,,,,,1,Regular Play,Anita Amma Ankyewah Asante,4657.0,Right Center Back,9,Aston Villa,2647,['1d598341-3b5c-4b71-be16-33328cdd4960'],15,,,,,,,,,,,,,,,,Aston Villa,2647,00:02:15.557,Pass,
,,,,,,,,,,,,True,,,,,0.952732,,,,,,,,,,,1d598341-3b5c-4b71-be16-33328cdd4960,106,,,"[49.6, 21.1]",3775568,2,,,,-1.7681919,,Left Foot,,"[47.5, 10.6]",Ground Pass,,10.707941,,,Jamie-Lee Napier,32169.0,,,,,Interception,1,Regular Play,Ruby Mace,41812.0,Left Center Midfield,10,Birmingham City WFC,969,"['0b9672a5-cf4a-488b-a753-dcb0b4145375', '2e222103-5502-4678-8380-f7b9bc58c186']",16,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:16.599,Pass,
,,,,,,,,,,,,,,,,,0.81444,,,,,,,,,,,2a450a89-d5cc-43b4-97dd-84ee2624a6eb,110,,,"[48.0, 8.7]",3775568,2,,,,3.1071236,,Right Foot,,"[36.4, 9.1]",Ground Pass,,11.6068945,,,Rebecca Holloway,31568.0,,,,,,1,Regular Play,Jamie-Lee Napier,32169.0,Left Wing,10,Birmingham City WFC,969,"['7a33cde4-af77-4689-a5ca-e6a61bd9fcb2', '7f38e648-709f-4870-a1a7-1fac7c74b65d']",19,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:19.132,Pass,True
,,,,,,,,,,,,,,,,,2.529731,,,,,,,,,,,d7f1d9c0-685f-4d3c-92b4-1224480d22a0,113,,,"[36.4, 9.1]",3775568,2,,,,0.37888387,,Right Foot,,"[68.3, 21.8]",High Pass,,34.335114,,,Claudia Walker,15580.0,,,,,,1,Regular Play,Rebecca Holloway,31568.0,Left Back,10,Birmingham City WFC,969,['06a4ed65-554d-4e36-a9e9-863bcd36da02'],20,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:20.026,Pass,
,,,,,,,,,,,,,,,,,1.71043,,,,,,,,,,,7edd550d-ca40-4bfd-b5d0-6fe44bde287d,119,,,"[74.3, 0.1]",3775568,2,,,,0.45592576,,,,"[95.1, 10.3]",High Pass,,23.166355,Incomplete,,Jamie-Lee Napier,32169.0,,,,,Throw-in,1,From Throw In,Rebecca Holloway,31568.0,Left Back,11,Birmingham City WFC,969,"['68ce424b-c0e6-4846-919b-f716a33dc397', 'bdf5b78d-034d-41dd-b353-e261649136ed']",43,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:02:43.583,Pass,
,,,,,,,,,,,,,,,,,0.826518,,,,,,,,,,,bdf5b78d-034d-41dd-b353-e261649136ed,121,,,"[25.0, 69.8]",3775568,2,,,,-0.71208346,,Head,,"[34.5, 61.6]",Low Pass,,12.549502,,,Olivia McLoughlin,77717.0,,,,,Recovery,1,Regular Play,Asmita Ale,46541.0,Right Wing Back,12,Aston Villa,2647,"['0159c75a-c46e-4c3b-bf73-e08056d49ab5', '7edd550d-ca40-4bfd-b5d0-6fe44bde287d']",45,,,,,,,,,,,,,,,,Aston Villa,2647,00:02:45.293,Pass,
