ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.409045,,,,,,,,,,,,,2cf2d9d1-761a-49d8-b04e-9ed9a94951b5,57,,,"[31.9, 29.0]",3775633,0,,,,-1.8265108,,Right Foot,,,"[27.9, 13.7]",Ground Pass,,15.814234,,,Kerys Harrop,15569.0,,,,,1,Regular Play,Alanna Stephanie Kennedy,5078.0,Left Defensive Midfield,4,Tottenham Hotspur Women,749,['854fe33d-1c98-4b23-9e75-477a408ac7b8'],54,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:54.268,Pass,
,,,,,,,,,,,,,,,,1.607499,,,,,,,,,,,,,882d4b0a-dfb8-4b86-95c9-dbb312bc0be6,60,,,"[29.5, 13.4]",3775633,0,,,,0.008450503,,Left Foot,,,"[65.0, 13.7]",High Pass,,35.501266,Incomplete,,Angela Addison,31550.0,,,,,1,Regular Play,Kerys Harrop,15569.0,Left Back,4,Tottenham Hotspur Women,749,"['1da5e77a-3878-4b98-880b-9368d7608d0c', '85667943-1795-45e8-89cd-d4d92cf742be']",57,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:57.009,Pass,
,,,,,,,,,,,,,,,,1.547069,,,,,,,,,,,,,1da5e77a-3878-4b98-880b-9368d7608d0c,62,,,"[55.1, 66.4]",3775633,0,,,,0.22416805,,Right Foot,,,"[80.1, 72.1]",Low Pass,,25.641567,,,Elisha N''Dow,46534.0,,,,Recovery,1,Regular Play,Marisa Ewers,15565.0,Center Defensive Midfield,4,Tottenham Hotspur Women,749,"['882d4b0a-dfb8-4b86-95c9-dbb312bc0be6', '8ff8de47-209b-4c18-a4af-f15517e150a2']",58,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:58.616,Pass,
,,,,,,,,,,,,,,,,6.786092,,,,,,,,,,,,,be382c46-e97a-4c16-839b-0a574bc9b634,66,,,"[76.9, 73.3]",3775633,1,,,,0.11246461,,Right Foot,,,"[119.4, 78.1]",Ground Pass,,42.7702,Incomplete,,Asmita Ale,46541.0,,,,,1,Regular Play,Elisha N''Dow,46534.0,Right Center Back,4,Tottenham Hotspur Women,749,"['39bae53c-33e6-4be1-b1f2-bcc0d4b87580', 'c9a6abd2-9b37-4224-b886-46ba60c2b5f2']",1,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:01.226,Pass,
,,,,,,,,,,,,,,,,1.340177,,,,,,,,,,,,,55854c27-c8ed-43db-851f-4f8eb1c2495b,70,,,"[4.4, 12.0]",3775633,1,,,,0.3695312,,Left Foot,,,"[18.6, 17.5]",Ground Pass,,15.227935,,,So-Hyun Cho,22798.0,,,,,1,Regular Play,Kerys Harrop,15569.0,Left Back,4,Tottenham Hotspur Women,749,['041f3741-6366-4466-a9a7-fdec8e493ea3'],9,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:01:09.948,Pass,
,,,,,,,,,,,,,,,,1.736203,,,,,,,,,,,,,c8992e17-f272-43a5-b4d2-d128de40e526,74,,,"[17.0, 16.7]",3775633,1,,,,-1.727087,,Left Foot,,,"[14.4, 0.2]",Ground Pass,,16.703592,Out,,Angela Addison,31550.0,,,,,1,Regular Play,So-Hyun Cho,22798.0,Right Defensive Midfield,4,Tottenham Hotspur Women,749,"['4d1472a4-ac2b-44f8-9512-f1e90b14e7de', 'd72a2160-d77b-4cd7-aa43-0ed51bf6b01d']",11,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:01:11.369,Pass,True
,,,,,,,,,,,,,,,,2.836224,,,,,,,,,,,,,d3713e74-c320-4864-a030-0d6a265f70ae,76,,,"[101.2, 80.0]",3775633,1,,,,-2.2478669,,,,,"[84.4, 59.1]",High Pass,,26.815107,,,Marisa Ewers,15565.0,,,,Throw-in,1,From Throw In,Asmita Ale,46541.0,Right Wing Back,5,Aston Villa,2647,['b34ea2dd-926c-4fe1-9d5b-a8c94b80f5d0'],21,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:21.967,Pass,
,,,,,,,,,,,,,,,,1.806249,,,,,,,,,,,,,dbef53ba-13c4-46d9-8d39-f03b05c16f0d,79,,,"[85.1, 57.0]",3775633,1,,,,-2.586911,,Right Foot,,,"[57.5, 39.9]",Ground Pass,,32.467983,,,Natalie Haigh,46535.0,,,,,1,From Throw In,Marisa Ewers,15565.0,Center Defensive Midfield,5,Aston Villa,2647,['2e183b59-a1a6-410b-baf6-2261cdafe27e'],25,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:25.444,Pass,
,,,,,,,,,,,,,,,,1.396571,,,,,,,,,,,,,d336f33d-ae92-4594-82ef-4f7f9538b99d,83,,,"[63.8, 32.4]",3775633,1,,,,-0.66620535,,Left Foot,,,"[82.5, 17.7]",Ground Pass,,23.78613,Incomplete,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,1,From Throw In,Natalie Haigh,46535.0,Left Center Back,5,Aston Villa,2647,"['88ea0cd3-be3a-48c0-92a5-7d43ce01a406', 'c725b147-0d81-429d-a99d-71f979e531b2', 'e370a257-65e2-4c2e-be02-8f330a08d9e5']",29,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:29.465,Pass,True
,,,,,,,,,,,,,,,,0.807995,,,,,,,,,,,,,b69b5817-bc0b-4538-9997-30fcde9ce681,88,,,"[48.4, 70.4]",3775633,1,,,,1.6010901,,Left Foot,,,"[48.2, 77.0]",Ground Pass,,6.6030297,,,Gemma Suzanne Davison,15721.0,,,,,1,Regular Play,Ria Percival,18145.0,Right Back,6,Tottenham Hotspur Women,749,"['11e229f9-cfb1-4988-9775-b7f7a666a424', '8cb9d5f8-d12b-4549-8e5a-365f43cf8eb6']",33,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:01:33.536,Pass,True
