ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.811971,,,,,,,,,,,,42e6a285-0b97-4dc2-ab60-7d62808d239b,2897,,,"[28.0, 27.8]",3775541,76,,,,,0.33097294,,Left Foot,,,"[50.7, 35.6]",,High Pass,24.002708,,,Mana Iwabuchi,25610.0,,,,,,,2,Regular Play,Nadine Hanssen,46539.0,Right Center Midfield,150,Aston Villa,2647,['b8f1fb74-0d1b-4515-bbd2-6af7c213e45c'],16,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:16.486,Pass,
,,,,,,,,,,,,,,,,4.2817,,,,,,,,,,,,ba8f3cfc-1d49-4f25-99d0-bb64af0517fd,2905,,,"[77.3, 44.1]",3775541,76,,,,,0.8582847,,Right Foot,,,"[91.9, 61.0]",,Ground Pass,22.333158,,,Caroline Siems,46536.0,,,,,,,2,Regular Play,Mana Iwabuchi,25610.0,Left Center Midfield,150,Aston Villa,2647,"['5556fb61-63dd-4459-9028-ce65b5abe1f6', 'c00ebe03-79e6-464f-a9fe-53dc4cdfcd94']",25,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:25.723,Pass,True
,,,,,,,,,,,,,,,,5.685092,,,,,,,,,,,,7f3c01f7-44d6-493a-8bf9-339158b3dc41,2912,,,"[96.8, 65.3]",3775541,76,,,,,-1.4186081,,Right Foot,True,,"[106.8, 0.1]",,High Pass,65.96241,,Out,Stine Larsen,10102.0,,,True,,,,2,Regular Play,Caroline Siems,46536.0,Right Wing Back,150,Aston Villa,2647,['a7835b9b-c2b0-4abc-b207-53fb4b94d543'],32,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:32.423,Pass,
,,,,,,,,,,,,,,,,1.260171,,,,,,,,,,,,73a8b507-b509-4f1e-83d0-f786fb7fa823,2914,,,"[16.6, 80.0]",3775541,77,,,,,-1.46896,,,,,"[18.0, 66.3]",,Low Pass,13.771347,,,Katie Zelem,31540.0,,,,,,Throw-in,2,From Throw In,Martha Harris,32618.0,Right Back,151,Manchester United,1475,['8f65ad44-999e-410e-ac97-a839cc16b0c5'],9,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:09.954,Pass,
,,,,,,,,,,,,,,,,2.633696,,,,,,,,,,,,d8c28b06-e6d1-4e25-828c-d4420eee6412,2917,,,"[19.7, 65.5]",3775541,77,,,,,-1.8227516,,Right Foot,,,"[11.9, 35.2]",,Ground Pass,31.287857,,,Millie Turner,31536.0,,,,,,,2,From Throw In,Katie Zelem,31540.0,Right Defensive Midfield,151,Manchester United,1475,['402d33dd-53c4-404d-a1bd-31cda03408b7'],13,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:13.362,Pass,
,,,,,,,,,,,,,,,,2.490202,,,,,,,,,,,,e9a09292-2f40-48ba-b930-1cbb66e75b3e,2919,,,"[11.9, 32.8]",3775541,77,,,,,-0.8678554,,Left Foot,,,"[23.0, 19.7]",,Ground Pass,17.170322,,,Ona Batlle Pascual,46639.0,,,,,,,2,From Throw In,Millie Turner,31536.0,Left Center Back,151,Manchester United,1475,['a9d5a7bc-99fa-4ee0-90d8-90bb0bb576de'],15,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:15.996,Pass,
,,,,,,,,,,,,,,,,1.213772,,,,,,,,,,,,c6376509-c15f-43f8-b604-a9d309cf946a,2922,,,"[23.0, 19.7]",3775541,77,,,,,2.1129858,,Right Foot,,,"[18.0, 28.0]",,Ground Pass,9.689685,,,Millie Turner,31536.0,,,,,,,2,From Throw In,Ona Batlle Pascual,46639.0,Left Back,151,Manchester United,1475,['2b6edbb0-5398-4471-8da2-05e2665d0916'],18,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:18.770,Pass,
,,,,,,,,,,,,,,,,1.418732,,,,,,,,,,,,e40856ee-33fd-47fe-9f6a-d5bad44d617f,2925,,,"[18.0, 28.0]",3775541,77,,,,,1.524746,,Right Foot,,,"[19.0, 49.7]",,Ground Pass,21.72303,,,Amy Turner,31533.0,,,,,,,2,From Throw In,Millie Turner,31536.0,Left Center Back,151,Manchester United,1475,['602f40e7-c8c3-4aef-9aa4-14298077f6f2'],21,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:21.400,Pass,
,,,,,,,,,,,,,,,,1.771592,,,,,,,,,,,,5f9b99f1-aa8f-4257-ad5c-24987aac4aca,2928,,,"[19.0, 53.7]",3775541,77,,,,,1.0018132,,Right Foot,,,"[30.0, 70.9]",,Ground Pass,20.41666,,,Martha Harris,32618.0,,,,,,,2,From Throw In,Amy Turner,31533.0,Right Center Back,151,Manchester United,1475,['e4235040-fc53-4348-ac6d-83fb424891b3'],25,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:25.157,Pass,
,,,,,,,,,,,,,,,,1.439342,,,,,,,,,,,,2653c7ae-f8a4-44c2-a64d-a55f4077747c,2931,,,"[36.0, 70.9]",3775541,77,,,,,0.24127954,,Right Foot,,,"[55.1, 75.6]",,Ground Pass,19.669773,,,Jessica Sigsworth,31535.0,,,,,,,2,From Throw In,Martha Harris,32618.0,Right Back,151,Manchester United,1475,['02834759-dcc8-4262-be6b-37cddc614f37'],27,,,,,,,,,,,,,,,,,,Manchester United,1475,00:32:27.376,Pass,
