50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,e0ac15bd-68f9-4a96-8aad-3038488d7652,3242,,"[85.7, 5.4]",2275146,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Danielle Turner,15571.0,Left Back,191,Manchester United,1475,['ceaf87c1-aec2-4942-a2de-9fad0c6181ff'],46,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:42:46.119,Dribble,True
,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,,1ea17074-244f-4521-8b30-96cec5d5808f,3307,,"[87.4, 23.4]",2275146,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Chloe Kelly,15570.0,Left Wing,194,Manchester United,1475,"['23d37d87-5334-4d43-ba57-31328a2cea9b', 'fc724737-d144-4284-a9e5-45fbd456405b']",20,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:45:20.265,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,5fd0207a-671e-41e6-807a-b132693e72d6,3331,,"[73.7, 16.4]",2275146,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abbey-Leigh Stringer,15573.0,Right Defensive Midfield,195,Everton LFC,967,"['23284e09-f5dd-4570-80fd-4e1ed435843d', '657018fd-f4ff-4c87-8f21-0ee210615487']",50,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:45:50.581,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,8ed13b93-1c47-49fb-89cd-d28a9f0c4bba,3346,,"[74.7, 6.8]",2275146,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gabrielle George,15575.0,Left Center Back,195,Everton LFC,967,['df6b0e3f-3b06-4677-a77e-1ae0784377cb'],1,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:46:01.364,Dribble,True
,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,,84d4fb19-4376-4451-bc9d-59c8c05be72e,3357,,"[64.0, 59.3]",2275146,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Maéva Clemaron,31713.0,Left Defensive Midfield,195,Everton LFC,967,"['61a1f084-0db8-4713-a911-8a460c16e81f', 'a188bc3a-e843-45c6-b8bd-6e3790c0df8b']",10,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:46:10.264,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,d66fd1b4-aebb-459a-86dc-8d1b65304e3d,3376,,"[66.2, 16.8]",2275146,91,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Simone Magill,15559.0,Center Attacking Midfield,197,Everton LFC,967,['f19aabf7-86b0-43cf-ba6b-22e32397d2d5'],58,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:46:58.832,Dribble,True
,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,,01995647-730f-436a-ab9d-f79dc7dc7de6,3424,,"[109.1, 11.4]",2275146,93,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Chantelle Boye-Hlorkah,15556.0,Right Wing,200,Everton LFC,967,['c920b9c5-c76a-4c20-a51c-bba4a1bb037a'],30,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:48:30.328,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,4dabe1cf-ab77-46fb-818d-4241fee3db38,3435,,"[116.7, 4.2]",2275146,93,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Chantelle Boye-Hlorkah,15556.0,Right Wing,200,Everton LFC,967,"['01b506de-3851-4878-b865-3bf18a6b9cf9', 'e7be6b58-05ce-4e75-b9e9-cb8ae7e90b31']",37,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:48:37.716,Dribble,True
,,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,,,584b524f-c6d1-4b5e-a866-c54b929871e5,60,,"[53.0, 1.9]",2275146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Martha Harris,32618.0,Left Back,4,Everton LFC,967,"['23541f2d-86b7-4ee5-81e1-63c96f466e21', '616aba82-58d5-407d-b432-7c781e2d9940', 'f6908b75-97c1-4280-862c-a4e9ae5be9eb']",52,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:52.421,Foul Committed,
,,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,,,60d9bbda-b7b7-4916-b70f-3299b7f1ea6d,214,,"[44.5, 30.0]",2275146,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabrielle George,15575.0,Left Center Back,12,Everton LFC,967,['5337d34d-adec-4620-a67b-9c5d4f920a48'],20,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:05:20.115,Foul Committed,
