ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[26.4, 57.8]",,,,,,,,,,,,0.369877,,,,,,,,,,,,40d63d17-00b4-423c-9e6e-a94f1083607c,1651,,"[26.4, 57.8]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sarah Emma Mayling,19500.0,Right Back,87,Birmingham City WFC,969,"['36973c55-d26d-45ec-a42d-895a6ba1108d', '3c743e66-6cf9-4255-bbc9-e5eaea0f9219']",16,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:16.743,Carry,
,,,,,"[43.7, 65.4]",,,,,,,,,,,,3.417866,,,,,,,,,,,,4103bb21-0786-46fd-8404-5748262fbe73,1654,,"[40.2, 50.1]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lucy Staniforth,15562.0,Left Defensive Midfield,87,Birmingham City WFC,969,"['2c1ee42b-42b2-41a5-baea-2bd0a69c3a30', '441d1cb4-e558-418d-b729-c9af9a693951']",18,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:18.144,Carry,
,,,,,"[52.4, 76.0]",,,,,,,,,,,,1.337864,,,,,,,,,,,,8340a0f7-4d8a-4f84-b562-f49b59003466,1657,,"[50.6, 74.7]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sarah Emma Mayling,19500.0,Right Back,87,Birmingham City WFC,969,"['1ba4f871-8e95-4e67-825e-b0e44e6e2b01', '6f47a5c4-8b9c-424e-a734-9eb5bd051658']",22,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:22.983,Carry,
,,,,,"[55.3, 8.8]",,,,,,,,,,,,0.874479,,,,,,,,,,,,213a2add-1d91-4972-bfd1-ca54dee1e201,1663,,"[54.9, 6.3]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Guro Reiten,10514.0,Left Midfield,87,Birmingham City WFC,969,"['5be69c1b-6033-46dc-a541-a693dde403d6', '65aef2b2-b850-4f74-bcd3-20a2d3dbe1d7', 'b207803c-86e9-49fe-b3a6-5fbef9fd46ac']",26,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:41:26.642,Carry,True
,,,,,"[103.8, 53.4]",,,,,,,,,,,,6.981059,,,,,,,,,,,,13b03e41-778e-4cc7-b59f-38c16918324c,1666,,"[64.8, 71.3]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Brianna Visalli,18157.0,Right Wing,87,Birmingham City WFC,969,"['1663aa87-e041-459a-ba12-c4ae4e624468', 'e2f832b3-a6b9-464d-9677-5e2b68cb09ec']",27,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:27.516,Carry,
,,,,,"[102.5, 41.6]",,,,,,,,,,,,1.237517,,,,,,,,,,,,61f99d74-e7ae-4464-b147-35edaebf7a43,1669,,"[102.7, 45.2]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rachel Williams,31563.0,Center Forward,87,Birmingham City WFC,969,"['0e63290e-205b-45ab-bca8-45c3228764b4', '75f8c3e9-1414-40b9-a257-177919375391']",35,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:35.105,Carry,
,,,,,"[29.1, 64.6]",,,,,,,,,,,,4.701322,,,,,,,,,,,,995ef0d1-0ffa-448e-8a50-9e87c960182b,1673,,"[22.0, 45.1]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maren Nævdal Mjelde,10395.0,Right Midfield,88,Chelsea FCW,971,"['0049b389-6385-4752-afac-55b541dfd7e0', 'f77eb3f9-6dad-4c39-9da6-a0b4ec6dd553']",37,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:41:37.215,Carry,
,,,,,"[50.0, 62.0]",,,,,,,,,,,,1.926643,,,,,,,,,,,,1f3ec5ab-a6df-4d52-95c1-f6d464443811,1676,,"[40.2, 56.4]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,88,Chelsea FCW,971,"['47b82e34-c88f-44c2-aa84-dc19aa1de0da', '5a76868d-1f17-41e4-bf27-df5b672aab50']",43,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:41:43.053,Carry,
,,,,,"[56.4, 71.7]",,,,,,,,,,,,2.47738,,,,,,,,,,,,98acfafe-9f45-4386-9504-e8557922c29a,1679,,"[63.3, 73.5]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Erin Cuthbert,4660.0,Right Center Forward,88,Chelsea FCW,971,"['9c3eb1e3-1629-4b4a-b2e9-92f2b68f2a42', 'b8e66c1b-22e5-439d-bd23-99117d74a562', 'dafcd127-b269-4996-8f85-ae7644bddc5a']",45,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:41:45.844,Carry,True
,,,,,"[11.1, 37.4]",,,,,,,,,,,,0.120697,,,,,,,,,,,,c9464310-e28e-49e3-bb6d-dd7bcd4ad762,1686,,"[27.6, 19.9]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,89,Birmingham City WFC,969,"['0ad645ff-98d8-43ab-ada7-3e7d4e949343', '435ac5b1-9144-410f-9944-0b5c750b6d92']",55,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:55.715,Carry,
