bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.249087,,,,,,,,,,,29e77967-b87d-4a8f-b498-d5c8dd39b8ec,274,,"[4.5, 53.9]",2275072,7,,,,,0.31005517,,Right Foot,,,,"[14.8, 57.2]",,Ground Pass,,10.815729,,,Millie Bright,4642.0,,,,,,1,Regular Play,Ann-Katrin Berger,15560.0,Goalkeeper,22,Chelsea FCW,971,"['63a6a552-cd40-4b29-853e-529155624279', 'b7de1edf-6e80-45bd-9dc8-7add898631a9']",8,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:08.205,Pass,True
,,,,,,,,,,,,,,,,,1.657108,,,,,,,,,,,5e5e1ea7-0916-40be-8d67-568d60a94034,278,,"[15.4, 59.3]",2275072,7,,,,,2.1677942,,Right Foot,,,,"[5.0, 74.6]",,Ground Pass,,18.5,,,Magdalena Lilly Eriksson,4633.0,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,22,Chelsea FCW,971,"['b8a0732d-c127-40e3-ab7e-03b58a8445e2', 'e305be2f-d92c-458a-a55f-317fe7972338']",9,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:09.692,Pass,True
,,,,,,,,,,,,,,,,,1.743319,,,,,,,,,,,8cad2e9e-408a-40fe-9f9c-bd3d2ff3cef5,281,,"[6.1, 70.6]",2275072,7,,,,,-1.7792616,,Right Foot,,,,"[2.8, 55.0]",,Ground Pass,,15.945219,,,Ann-Katrin Berger,15560.0,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,22,Chelsea FCW,971,"['760f41ac-019f-4e1e-8556-2c488a4c8787', 'b8a0732d-c127-40e3-ab7e-03b58a8445e2']",11,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:11.448,Pass,True
,,,,,,,,,,,,,,,,,0.361051,,,,,,,,,,,02088740-7ad3-4f4d-b892-5d2d5214a690,285,,"[2.3, 55.1]",2275072,7,,,,,0.23210384,,Right Foot,,,,"[7.8, 56.4]",,High Pass,,5.6515484,,Incomplete,,,,,,,,1,Regular Play,Ann-Katrin Berger,15560.0,Goalkeeper,22,Chelsea FCW,971,"['21ea362c-e427-42cf-96f1-4470fa9f22f6', '2748807b-eb0a-4e65-8360-d1b041055ebb']",13,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:13.610,Pass,True
,,,,,,,,,,,,,,,,,2.956729,,,,,,,,,,,36209c94-9c31-4068-9ae9-dbbee33b2977,287,,"[7.0, 44.1]",2275072,7,,,,,0.4393609,,Right Foot,,,,"[57.0, 67.6]",,High Pass,,55.247173,,Incomplete,,,,,,,Goal Kick,1,From Goal Kick,Ann-Katrin Berger,15560.0,Goalkeeper,23,Chelsea FCW,971,['d3526219-9b30-4c41-9f0c-bfde742aaa8f'],45,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:45.049,Pass,
,,,,,,,,,,,,,,,,,1.65875,,,,,,,,,,,d3526219-9b30-4c41-9f0c-bfde742aaa8f,288,,"[63.1, 12.5]",2275072,7,,,,,-0.1523375,,Head,,,,"[87.2, 8.8]",,Low Pass,,24.38237,,,Brooke Chaplen,15723.0,,,,,Recovery,1,Regular Play,Mayumi Pacheco,15724.0,Left Back,24,Reading WFC,974,"['24c31068-cb44-483e-962c-868675ec2fdb', '36209c94-9c31-4068-9ae9-dbbee33b2977']",48,,,,,,,,,,,,,,,,,,Reading WFC,974,00:07:48.006,Pass,
,,,,,,,,,,,,,,,,,1.747163,,,,,,,,,,,43349df4-d4e5-440f-a78d-41bbd50857de,294,,"[21.2, 59.8]",2275072,7,,,,,1.361931,,Keeper Arm,,,,"[25.1, 78.2]",,Ground Pass,,18.808775,,,Maren Nævdal Mjelde,10395.0,,,,,,1,From Keeper,Ann-Katrin Berger,15560.0,Goalkeeper,26,Chelsea FCW,971,['69abea8f-bf95-4cd7-b2d6-443fe47b41df'],58,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:58.944,Pass,
,,,,,,,,,,,,,,,,,1.834567,,,,,,,,,,,91885743-2d98-4f10-b3a7-7457885873e4,298,,"[24.5, 78.0]",2275072,8,,,,,0.084901795,,Right Foot,,,,"[48.0, 80.0]",,High Pass,,23.584953,,Out,,,,,,,,1,From Keeper,Maren Nævdal Mjelde,10395.0,Right Back,26,Chelsea FCW,971,['7e32e2d0-f19c-4d50-8289-0f7297548db9'],1,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:08:01.488,Pass,True
,,,,,,,,,,,,,,,,,1.483474,,,,,,,,,,,2980f098-e605-4a20-81b3-bfe531d185da,299,,"[73.6, 0.1]",2275072,8,,,,,0.015150356,,,,,,"[93.4, 0.4]",,High Pass,,19.802273,,Incomplete,Brooke Chaplen,15723.0,,,,,Throw-in,1,From Throw In,Mayumi Pacheco,15724.0,Left Back,27,Reading WFC,974,"['672602d8-861b-4e8e-87f7-f76196cf87d0', 'a8210ba6-d2ca-499e-836c-4c04877122af']",23,,,,,,,,,,,,,,,,,,Reading WFC,974,00:08:23.938,Pass,
,,,,,,,,,,,,,,,,,1.632849,,,,,,,,,,,328ea8b1-b73e-46c0-a942-44abfd81ea8c,304,,"[29.0, 79.6]",2275072,8,,,,,3.1309547,,Left Foot,,,,"[19.6, 79.7]",,Ground Pass,,9.400532,,,Maren Nævdal Mjelde,10395.0,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,28,Chelsea FCW,971,['45558e38-bab9-4147-b284-fb7528e77dc1'],27,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:08:27.912,Pass,
