50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,True,,,,,1.721489,,,,,,,,,,,,,,,,,,762bba36-6731-4029-bfda-eb04c9b9c9f7,54,,,"[94.6, 7.4]",2275154,1,,,,,0.693552,,Left Foot,,,"[102.9, 14.3]",High Pass,,10.793516,,,,Lauren James,31531.0,,,,,,Interception,1,From Throw In,Martha Harris,32618.0,Left Back,6,Manchester United,1475,"['3107be49-f075-49ba-b46b-4b1e888d91a0', 'c9c0ae82-5ad8-474a-b46f-6998d8e4726c']",28,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:28.083,Pass,
,,,,,,,,,,,,,,,0.954906,,,,,,,,,,,,,,,,,,f5db817b-11c4-4f3a-9ce8-b7cdb5cab43a,57,,,"[102.9, 14.7]",2275154,1,,,,,-1.8692952,,Right Foot,,,"[102.1, 12.1]",Low Pass,,2.720294,,,,Leah Galton,31539.0,,,,,,,1,From Throw In,Lauren James,31531.0,Center Forward,6,Manchester United,1475,['7949b260-ae4a-47c1-af95-87a36ca98aa2'],29,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:29.845,Pass,
,,,,,,,,,,,,,,,1.193884,,,,,,,,,,,,,,,,,,1f0f5b7c-e095-4451-afb6-4a39cc705138,66,,,"[118.7, 12.5]",2275154,1,,,,,1.6632153,,Left Foot,True,,"[116.8, 33.0]",Ground Pass,,20.58786,,Incomplete,,Jackie Groenen,10654.0,,,,,,,1,From Throw In,Leah Galton,31539.0,Left Wing,6,Manchester United,1475,"['0be0ed2f-0137-495f-8596-7593db90d7cb', 'e3a6f2ad-3728-4306-ba67-52f98e5ea348']",36,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:36.630,Pass,
,,,,,,,,,,,,,,,4.168992,,,,,,,,,,,,,,,,,,50ed7c31-5f77-4647-95a3-ea266f334c3e,69,,,"[6.0, 51.3]",2275154,1,,,,,0.50490147,,Left Foot,,,"[56.3, 79.1]",Low Pass,,57.471123,,Out,,,,,,,,,Recovery,1,From Throw In,Sophie Louise Ingle,15549.0,Right Defensive Midfield,6,Manchester United,1475,,39,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:39.392,Pass,
,,,,,,,,,,,,,,,4.77819,,,,,,,,,,,,,,,,,,9c26832e-0e60-4c15-bade-4c6d7f1247c0,70,,,"[66.2, 0.1]",2275154,2,,,,,0.1428714,,,,,"[109.3, 6.3]",High Pass,,43.543655,,Incomplete,,Lauren James,31531.0,,,,,,Throw-in,1,From Throw In,Martha Harris,32618.0,Left Back,7,Manchester United,1475,"['bc94ef58-e078-4fe7-91e9-ff5cd80ddc65', 'c8e86656-a5dc-4fe3-875b-6721a14e13e4']",14,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:14.901,Pass,
,,,,,,,,,,,,,,,1.723765,,,,,,,,,,,,,,,,,,c8e86656-a5dc-4fe3-875b-6721a14e13e4,72,,,"[10.8, 73.8]",2275154,2,,,,,-2.0035486,,Left Foot,,,"[2.3, 55.4]",Ground Pass,,20.268448,,,,Ann-Katrin Berger,15560.0,,,,,,Recovery,1,Regular Play,Millie Bright,4642.0,Right Center Back,8,Chelsea FCW,971,"['9c26832e-0e60-4c15-bade-4c6d7f1247c0', 'bf9b1534-2089-445b-a421-aaba89600b3f']",19,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:19.679,Pass,
,,,,,,,,,,,,,,,2.243901,,,,,,,,,,,,,,,,,,75071623-60d8-4049-b201-b7397bd90bfa,76,,,"[3.3, 62.4]",2275154,2,,,,,0.06037992,,Right Foot,,,"[43.0, 64.8]",High Pass,,39.772476,,Incomplete,,Erin Cuthbert,4660.0,,,,,,,1,Regular Play,Ann-Katrin Berger,15560.0,Goalkeeper,8,Chelsea FCW,971,"['69991811-1c35-4c5d-adf8-2cc8f0a3f391', '8f8f803a-6b8e-4d59-a6dc-f76aa00a90ca', 'a3fd3138-811c-4293-b073-732742a9cff2']",22,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:22.389,Pass,True
,,,,,,,,,,,,,,,2.773127,,,,,,,,,,,,,,,,,,a3fd3138-811c-4293-b073-732742a9cff2,79,,,"[77.1, 15.3]",2275154,2,,,,True,-1.0812179,,,,,"[84.4, 1.6]",High Pass,,15.523531,,Out,,,,,,,,,Recovery,1,Regular Play,Katie Zelem,31540.0,Right Center Midfield,8,Chelsea FCW,971,"['75071623-60d8-4049-b201-b7397bd90bfa', '835da3b2-58f1-4a4c-a562-b1ae0cee6a78']",24,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:24.633,Pass,True
,,,,,,,,,,,,,,,1.933662,,,,,,,,,,,,,,,,,,16012e5c-bf4f-4873-aa10-5c9723df7d90,80,,,"[35.2, 80.0]",2275154,2,,True,,,-2.2120402,,,,,"[24.6, 65.8]",High Pass,,17.720045,,,,Sophie Louise Ingle,15549.0,,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,9,Chelsea FCW,971,['d0290199-1534-40c4-bdb4-18051b84925c'],30,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:30.309,Pass,
,,,,,,,,,,,,,,,1.194781,,,,,,,,,,,,,,,,,,ee2c9259-f944-4e48-9272-52511646da91,82,,,"[42.3, 61.2]",2275154,2,,,,,0.26625204,,Left Foot,,,"[51.1, 63.6]",Ground Pass,,9.121404,,,,Erin Cuthbert,4660.0,,,,,,,1,From Throw In,Sophie Louise Ingle,15549.0,Right Defensive Midfield,9,Chelsea FCW,971,['991166bc-b921-43d3-9ad0-bf862e653f62'],32,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:32.242,Pass,
,,,,,,,,,,,,,,,0.757486,,,,,,,,,,,,,,,,,,ba6b4206-cdf2-47b3-8fb4-ccf045f7de03,90,,,"[45.1, 60.3]",2275154,2,,,,,2.0392516,,Right Foot,,,"[40.9, 68.6]",Ground Pass,,9.302151,,,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Throw In,Erin Cuthbert,4660.0,Right Midfield,9,Chelsea FCW,971,['0c3ebb8e-861a-4a3d-9881-b46631012ad0'],36,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:36.839,Pass,
,,,,,,,,,,,,,,,0.962331,,,,,,,,,,,,,,,,,,73c3148c-45f3-4c55-95d2-8f3f6c1ee53d,92,,,"[40.9, 68.6]",2275154,2,,,,,-1.4012681,,Right Foot,,,"[42.8, 57.5]",Ground Pass,,11.261438,,,,Erin Cuthbert,4660.0,,,,,,,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,9,Chelsea FCW,971,['412e9086-1b38-4cb4-92ef-717e6cb68b7e'],37,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:37.596,Pass,
,,,,,,,,,,,,,,,2.48284,,,,,,,,,,,,,,,,,,e8b46821-86bd-4d18-820b-363e63e9810b,96,,,"[30.5, 75.2]",2275154,2,,,,,-0.046083853,,Right Foot,,,"[71.7, 73.3]",High Pass,,41.243786,,,,Bethany England,15550.0,,,,,,,1,From Throw In,Erin Cuthbert,4660.0,Right Midfield,9,Chelsea FCW,971,['710e9904-3ab8-49e1-95a9-f7de42652676'],41,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:41.922,Pass,
,,,,,,,,,,,,,,,3.560057,,,,,,,,,,,,,,,,,,487d4791-5281-46d9-b912-daae901d684b,102,,,"[34.0, 5.4]",2275154,2,,,,,2.3163834,,Right Foot,,,"[11.1, 30.2]",Low Pass,,33.75574,,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,10,Manchester United,1475,['b3076e63-5ca9-4ddd-b737-9d5b26176e23'],46,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:46.074,Pass,
,,,,,,,,,,,,,,,2.59916,,,,,,,,,,,,,,,,,,7718615a-f11b-42dd-b535-a210673d5fa0,106,,,"[12.3, 33.1]",2275154,2,,,,,-0.5267871,,Right Foot,,,"[55.8, 7.8]",High Pass,,50.32236,,,,Leah Galton,31539.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,10,Manchester United,1475,"['417cb7b2-1615-45b9-9892-2c1bb039189f', '8aed40ed-8187-4822-895c-d60e31b585aa']",49,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:49.714,Pass,True
,,,,,,,,,,,,,,,2.208494,,,,,,,,,,,,,,,,,,3a45a876-728b-4a59-874b-1d3a608fe32a,109,,,"[55.8, 7.8]",2275154,2,,,,True,1.198527,,,,,"[64.0, 28.8]",High Pass,,22.544178,,Pass Offside,,Lauren James,31531.0,,,,,,,1,Regular Play,Leah Galton,31539.0,Left Wing,10,Manchester United,1475,"['0e909b82-7900-4622-ab39-5ce62f5f619c', 'c3b1c226-cede-4b3a-9bba-3248ddbf8007']",52,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:52.333,Pass,True
,,,,,,,,,,,,,,,5.540683,,,,,,,,,,,,,,,,,,0f9ea97f-7710-4ce2-a5a6-d21b504036d0,111,,,"[57.9, 32.2]",2275154,3,,,,,0.62087566,,Left Foot,,,"[118.3, 75.4]",High Pass,,74.259,,,,Ramona Bachmann,4659.0,,,True,,,Free Kick,1,From Free Kick,Magdalena Lilly Eriksson,4633.0,Left Center Back,11,Chelsea FCW,971,['ee2375bd-0d58-42ea-bae8-fa51d509b1ac'],20,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:20.720,Pass,
,,,,,,,,,,,,,,,1.371439,,,,,,,,,,,,,,,,,,da07d96a-3406-4784-a2eb-374c8184b44c,114,,,"[118.5, 75.7]",2275154,3,,,,,3.1115265,,Right Foot,,,"[105.2, 76.1]",Ground Pass,,13.306014,,,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Free Kick,Ramona Bachmann,4659.0,Right Center Forward,11,Chelsea FCW,971,['74ff6c58-3a6e-4809-986e-63076f37b09e'],27,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:27.705,Pass,
,,,,,,,,,,,,,,,0.784533,,,,,,,,,,,,,,,,,,ce9aa24f-8be6-4a53-8a82-c626930d80bf,117,,,"[105.2, 76.1]",2275154,3,,,,,-2.9304993,,Right Foot,,,"[99.6, 74.9]",Ground Pass,,5.7271285,,,,Ramona Bachmann,4659.0,,,,,,,1,From Free Kick,Maren Nævdal Mjelde,10395.0,Right Back,11,Chelsea FCW,971,['d3ba889c-759b-4447-b327-de42202b7d2a'],32,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:32.089,Pass,
