ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.335398,,,,,,,,,,,,,dedda05e-cc1b-48b5-8b02-8e4bbeeea15b,46,,"[88.3, 75.1]",3754037,1,,,,,-2.502861,,Right Foot,,,"[78.2, 67.6]",,Ground Pass,,12.580143,,,,James McCarthy,3607.0,,,,,,1,From Throw In,Muhamed Bešić,3476.0,Right Back,4,Everton,29,['4f126815-a895-4a81-ad53-82e90d88b163'],2,,,,,,,,,,,,,,,,Everton,29,00:01:02.416,Pass,
,,,,,,,,,,,,,,,1.182767,,,,,,,,,,,,,18258634-d743-47dc-9d8a-3a879a6637b6,49,,"[78.2, 67.6]",3754037,1,,,,,1.3811827,,Left Foot,,,"[80.1, 77.5]",,Ground Pass,,10.080674,,,,Muhamed Bešić,3476.0,,,,,,1,From Throw In,James McCarthy,3607.0,Right Center Midfield,4,Everton,29,['eff7d775-00cb-468f-98f5-ccac26adc04a'],3,,,,,,,,,,,,,,,,Everton,29,00:01:03.896,Pass,
,,,,,,,,,,,,,,,1.743645,,,,,,,,,,,,,01973c38-ea2e-440b-85d8-25a7096094c9,52,,"[69.3, 75.1]",3754037,1,,,,,-1.8317245,,Right Foot,,,"[64.2, 56.0]",,Ground Pass,,19.769169,,,,James McCarthy,3607.0,,,,,,1,From Throw In,Muhamed Bešić,3476.0,Right Back,4,Everton,29,['21faa260-3119-43e7-9bf1-58641b050d34'],6,,,,,,,,,,,,,,,,Everton,29,00:01:06.837,Pass,
,,,,,,,,,,,,,,,1.596968,,,,,,,,,,,,,77dfa94d-0164-4fa4-a908-866db328bd97,55,,"[63.0, 47.3]",3754037,1,,,,,-1.8023401,,Left Foot,,,"[57.2, 22.7]",,Ground Pass,,25.274492,,,,Matthew Pennington,4700.0,,,,,,1,From Throw In,James McCarthy,3607.0,Right Center Midfield,4,Everton,29,['a9e2d82d-08f1-4ed5-b69b-721768e992e4'],9,,,,,,,,,,,,,,,,Everton,29,00:01:09.372,Pass,
,,,,,,,,,,,,,,,1.39737,,,,,,,,,,,,,7dfdfc2d-3111-4f9e-9cf0-63b3a20132bd,66,,"[28.6, 61.5]",3754037,1,,,,,2.3255293,,Left Foot,,,"[20.7, 69.9]",,Ground Pass,,11.531261,,,,Simon Francis,3608.0,,,,,Recovery,1,Regular Play,Andrew Surman,3344.0,Left Center Midfield,5,AFC Bournemouth,28,['22756e1e-7558-4eea-b9a1-2c5c8dc33663'],20,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:20.830,Pass,
,,,,,,,,,,,,,,,1.96172,,,,,,,,,,,,,6d1d96f3-1adb-4891-a064-361fb01fa4f2,70,,"[20.4, 72.3]",3754037,1,,,,,0.14131123,,Right Foot,,,"[68.2, 79.1]",,High Pass,,48.281258,,Out,,,,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,5,AFC Bournemouth,28,['d9542f1b-c6f0-4751-8ca6-72d200a102d0'],23,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:23.477,Pass,True
,,,,,,,,,,,,,,,0.85968,,,,,,,,,,,,,d388ed64-2213-463d-a6a2-b5ddd905c328,71,,"[65.4, 0.1]",3754037,1,,,,,2.2879775,,,,,"[57.9, 8.7]",,Low Pass,,11.410959,,,,Darron Gibson,20067.0,,,,,Throw-in,1,From Throw In,Leighton Baines,3518.0,Left Back,6,Everton,29,['d541f9f8-7c8e-4615-9f5f-87869cecf4fe'],42,,,,,,,,,,,,,,,,Everton,29,00:01:42.618,Pass,
,,,,,,,,,,,,,,,0.791461,,,,,,,,,,,,,41e25849-4393-4e55-9bf8-9c990f0b255a,74,,"[58.9, 8.0]",3754037,1,,,,,-0.43722203,,Right Foot,,,"[68.1, 3.7]",,Ground Pass,,10.155294,,,,Leighton Baines,3518.0,,,,,,1,From Throw In,Darron Gibson,20067.0,Left Center Midfield,6,Everton,29,['41a94dbe-89ee-49c0-bd56-41e34e17a6c0'],43,,,,,,,,,,,,,,,,Everton,29,00:01:43.557,Pass,
,,,,,,,,,,,,,,,1.272913,,,,,,,,,,,,,f62e70b9-434c-42d6-8dd8-71cc56b5c935,80,,"[70.0, 5.1]",3754037,1,,,,,2.551857,,Left Foot,,,"[56.7, 14.0]",,Ground Pass,,16.003124,,,,Darron Gibson,20067.0,,,,,Free Kick,1,From Free Kick,Leighton Baines,3518.0,Left Back,7,Everton,29,['e83e9620-84fe-459f-8ce4-f1e8d8965de3'],51,,,,,,,,,,,,,,,,Everton,29,00:01:51.027,Pass,
,,,,,,,,,,,,,,,3.431204,,,,,,,,,,,,,965cf975-d7d2-4354-abb7-605a7dd9189c,83,,"[57.0, 18.1]",3754037,1,,,,,1.1084741,,Right Foot,,,"[87.1, 78.5]",,High Pass,,67.48459,,,,Aaron Lennon,3953.0,,,True,,,1,From Free Kick,Darron Gibson,20067.0,Left Center Midfield,7,Everton,29,['bbef527c-d605-4121-8bbe-64e1caa2c82b'],53,,,,,,,,,,,,,,,,Everton,29,00:01:53.736,Pass,
,,,,,,,,,,,,,,,1.045405,,,,,,,,,,,,,faeac7dc-c418-4e4b-b44d-09c31731b6ca,86,,"[87.4, 77.7]",3754037,1,,,,,-1.7619808,,Right Foot,,,"[86.2, 71.5]",,Low Pass,,6.3150616,,,,Muhamed Bešić,3476.0,,,,,,1,From Free Kick,Aaron Lennon,3953.0,Right Wing,7,Everton,29,['afbc470c-1498-41ba-80b6-62670069572f'],57,,,,,,,,,,,,,,,,Everton,29,00:01:57.287,Pass,
,,,,,,,,,,,,,,,1.457887,,,,,,,,,,,,,c6cb9c0e-898c-41fd-950e-5e71ed6d3e3b,89,,"[91.2, 72.4]",3754037,2,,,,,-0.55011225,,Right Foot,,,"[109.3, 61.3]",,Ground Pass,,21.232523,,Incomplete,,Aaron Lennon,3953.0,,,,,,1,From Free Kick,Muhamed Bešić,3476.0,Right Back,7,Everton,29,"['0ebe52be-4662-4c33-b70f-c449df8d41c1', 'faf86dd1-8a76-4609-a6b3-26cf296ecf49']",4,,,,,,,,,,,,,,,,Everton,29,00:02:04.450,Pass,
