ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.483384,,,,,,,,,,,,e61f5f0c-c488-4c24-b3a9-e34d12462670,3333,,"[41.3, 24.8]",3754029,90,,,,,1.3383411,35f8c477-bed0-4913-ae9e-c5003f457163,Right Foot,,,"[47.1, 49.3]",,Ground Pass,,25.177172,,,Josh Onomah,16067.0,True,,,,,2,From Counter,Christian Dannemann Eriksen,3043.0,Right Wing,192,Tottenham Hotspur,38,['24f734b4-dfed-4b35-861e-55042e922c3b'],48,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:45:48.607,Pass,
,,,,,,,,,,,,,,,,3.034373,,,,,,,,,,,,bfbf265f-2701-4566-be7f-e4877802fa27,3338,,"[44.3, 25.3]",3754029,91,,True,,,1.0095103,,Keeper Arm,,,"[54.8, 42.0]",,Low Pass,,19.726631,,,Carles Gil de Pareja Vicent,6800.0,,,,,,2,From Keeper,Bradley Guzan,12608.0,Goalkeeper,194,Aston Villa,59,['d1c3265f-13e5-4960-8a08-0cc1c6cc8f1e'],4,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:04.616,Pass,
,,,,,,,,,,,,,,,,0.915107,,,,,,,,,,,,7f6c1213-1db1-4cba-bd46-f7418128e7a3,3340,,"[63.5, 53.3]",3754029,91,,,,,0.87985307,,Left Foot,,,"[67.8, 58.5]",,Ground Pass,,6.747592,,,Leandro Bacuna,9533.0,,,,,,2,Regular Play,Carles Gil de Pareja Vicent,6800.0,Right Wing,195,Aston Villa,59,['062b79b4-e30a-4036-9456-6f57d153fa97'],9,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:09.923,Pass,
,,,,,,,,,,,,,,,,0.972826,,,,,,,,,,,,02051655-75b3-4ff0-9e77-ad268280d692,3343,,"[68.7, 59.9]",3754029,91,,,,,2.383965,,Right Foot,,,"[65.0, 63.4]",,Ground Pass,,5.0931325,,,Carles Gil de Pareja Vicent,6800.0,,,,,,2,Regular Play,Leandro Bacuna,9533.0,Right Defensive Midfield,196,Aston Villa,59,['0a6641cc-8032-4557-a47f-fdcb0da76335'],10,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:10.838,Pass,
,,,,,,,,,,,,,,,,1.654608,,,,,,,,,,,,b3f675cb-aa20-4767-9b52-e367af415c5a,3346,,"[70.5, 66.8]",3754029,91,,,,,0.5952699,,Left Foot,,,"[86.3, 77.5]",,Ground Pass,,19.082191,,,Alan Hutton,9642.0,,,,,,2,Regular Play,Carles Gil de Pareja Vicent,6800.0,Right Wing,197,Aston Villa,59,['11fa0124-fa3d-4e4a-be50-fe4e6b2586e0'],12,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:12.957,Pass,
,,,,,,,,,,,,,,,,1.63184,,,,,,,,,,,,4a658956-701c-46cf-97e0-8e143e0f2589,3349,,"[86.3, 77.5]",3754029,91,,,,,-1.1505996,,Right Foot,,,"[101.0, 44.6]",,High Pass,,36.034706,,Incomplete,Rudy Gestede,19362.0,,,,,,2,Regular Play,Alan Hutton,9642.0,Right Back,198,Aston Villa,59,"['866517e9-c647-4fc1-a85e-56d56ccc2dee', 'dd401314-98b2-43c0-9cd0-ea2de15fa41e']",14,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:14.662,Pass,
,,,,,,,,,,,,,,,,1.431923,,,,,,,,,,,,36735145-2cbb-4bde-b7a3-3c707fc79174,3356,,"[34.9, 7.9]",3754029,91,,,,,0.059885483,,Right Foot,,,"[81.6, 10.7]",,High Pass,,46.783863,,,Harry Kane,10955.0,,,,,Free Kick,2,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,199,Tottenham Hotspur,38,['9155bc54-e371-4315-a464-1590620405ee'],48,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:46:48.534,Pass,
,,,,,,,,,,,,,,,,1.954349,,,,,,,,,,,,d08d8e8c-5d89-458f-9694-b2ada3cfca13,3358,,"[81.6, 10.7]",3754029,91,,,,True,0.39852244,,,,,"[98.7, 17.9]",,Low Pass,,18.553976,,Incomplete,Josh Onomah,16067.0,,,,,,2,From Free Kick,Harry Kane,10955.0,Center Forward,199,Tottenham Hotspur,38,"['1c909cff-7671-4e36-a9db-793794838382', '4cbcd862-c0ab-4bdf-b64a-ab3b2cdddf18', '7d57eae0-65c9-4443-97ae-10f654961d37']",50,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:46:50.046,Pass,True
,,,,,,,,,,,,,,,,1.238398,,,,,,,,,,,,1c909cff-7671-4e36-a9db-793794838382,3361,,"[21.4, 62.2]",3754029,91,,,,,-1.7936965,,Right Foot,,,"[19.7, 54.7]",,Low Pass,,7.6902537,,,Joleon Lescott,20285.0,,,,,Recovery,2,Regular Play,Alan Hutton,9642.0,Right Back,200,Aston Villa,59,"['1669fb6c-c6e8-4798-9ec8-3ab613409e0a', 'd08d8e8c-5d89-458f-9694-b2ada3cfca13']",52,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:52.000,Pass,
,,,,,,,,,,,,,,,,2.616008,,,,,,,,,,,,621cd0b1-1e23-4835-a39a-4c0f15c6e152,3364,,"[19.7, 54.7]",3754029,91,,,,,-0.28467327,,Left Foot,,,"[59.0, 43.2]",,High Pass,,40.948017,,,Rudy Gestede,19362.0,,,,,,2,Regular Play,Joleon Lescott,20285.0,Left Center Back,200,Aston Villa,59,['19dc6c39-73fe-4879-899e-94e048c97bbf'],54,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:54.239,Pass,
,,,,,,,,,,,,,,,,3.377983,,,,,,,,,,,,17a56877-fb29-4cdf-8cd0-70367664c2c6,3367,,"[59.0, 43.2]",3754029,91,,,,True,-1.6297829,,,,,"[57.5, 17.8]",,High Pass,,25.444252,,,Scott Sinclair,11117.0,,,,,,2,Regular Play,Rudy Gestede,19362.0,Center Attacking Midfield,200,Aston Villa,59,"['a6f8ddcc-6bf0-40dc-8ce5-6c8da4a5a0c1', 'b5de69b6-abce-4fff-87b6-da6e37697aa4']",56,,,,,,,,,,,,,,,,,,Aston Villa,59,00:46:56.855,Pass,True
,,,,,,,,,,,,,,,,1.440172,,,,,,,,,,,,7d97766e-a3b1-4738-8a1f-27074b6831da,3374,,"[18.9, 74.3]",3754029,92,,,,,-0.1882215,,Right Foot,,,"[33.6, 71.5]",,Ground Pass,,14.964291,,,Erik Lamela,3585.0,,,,,,2,Regular Play,Kyle Walker,3205.0,Right Back,201,Tottenham Hotspur,38,['a640874b-991f-4657-b6ec-c35c1b8d96fd'],8,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:08.280,Pass,
,,,,,,,,,,,,,,,,1.248967,,,,,,,,,,,,e54c328b-ff4d-416d-9f73-a1376de36e13,3377,,"[46.8, 70.0]",3754029,92,,,,,-1.9987448,,Left Foot,,,"[44.2, 64.3]",,Ground Pass,,6.264982,,,Eric Dier,10956.0,,,,,,2,Regular Play,Erik Lamela,3585.0,Left Wing,201,Tottenham Hotspur,38,['92e8d418-7dd8-4e43-b80d-ebceb08f0351'],12,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:12.903,Pass,
,,,,,,,,,,,,,,,,0.611638,,,,,,,,,,,,3051618c-f083-4645-b18e-973e93193655,3380,,"[47.4, 64.0]",3754029,92,,,,,0.7504474,,Right Foot,,,"[54.8, 70.9]",,Ground Pass,,10.117806,,,Erik Lamela,3585.0,,,,,,2,Regular Play,Eric Dier,10956.0,Right Center Midfield,201,Tottenham Hotspur,38,['c1184a01-de6e-46bc-baf6-5b5331824317'],15,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:15.205,Pass,
,,,,,,,,,,,,,,,,1.058972,,,,,,,,,,,,04ae52a7-251b-4ecb-ad53-8f02a7f2b62e,3383,,"[51.4, 69.2]",3754029,92,,,,,-2.3969882,,Left Foot,,,"[36.1, 55.1]",,Ground Pass,,20.80625,,,Toby Alderweireld,20005.0,,,,,,2,Regular Play,Erik Lamela,3585.0,Left Wing,201,Tottenham Hotspur,38,['73bb1622-fb91-4ed8-accd-dd70de1f23c7'],17,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:17.361,Pass,
,,,,,,,,,,,,,,,,1.79299,,,,,,,,,,,,fe6db47e-3bd6-4430-92ad-19aefd37a8d3,3387,,"[35.2, 56.0]",3754029,92,,,,,-2.7875953,,Left Foot,,,"[7.6, 45.8]",,Ground Pass,,29.42448,,,Hugo Lloris,3099.0,,,,,,2,Regular Play,Toby Alderweireld,20005.0,Right Center Back,201,Tottenham Hotspur,38,['16d99e36-cef2-42a6-b24b-36558381eb18'],19,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:19.411,Pass,
,,,,,,,,,,,,,,,,3.157168,,,,,,,,,,,,1a559d08-600b-41a6-959b-a7b5ece3703b,3390,,"[7.6, 38.3]",3754029,92,,,,,-0.6552653,,Left Foot,,,"[41.3, 12.4]",,Ground Pass,,42.50294,,,Ben Davies,3086.0,,,,,,2,Regular Play,Hugo Lloris,3099.0,Goalkeeper,201,Tottenham Hotspur,38,['d261721b-f3c6-4aa1-9418-29c219d9638a'],22,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:22.917,Pass,
,,,,,,,,,,,,,,,,1.396991,,,,,,,,,,,,3f9c4017-0068-431c-ba03-c8136ac6a831,3394,,"[41.1, 12.1]",3754029,92,,,,,-0.4261317,,Left Foot,,,"[56.3, 5.2]",,Ground Pass,,16.692812,,,Josh Onomah,16067.0,,,,,,2,Regular Play,Ben Davies,3086.0,Left Back,201,Tottenham Hotspur,38,['149b018b-1ccc-47c0-81e0-1399a6717e20'],26,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:26.455,Pass,
,,,,,,,,,,,,,,,,1.018845,,,,,,,,,,,,76a7ab90-0242-4ebf-a90b-b2741f9d8870,3398,,"[56.3, 4.9]",3754029,92,,,,,1.4083072,,Right Foot,,,"[58.3, 17.1]",,Ground Pass,,12.362847,,,Ben Davies,3086.0,,,,,,2,Regular Play,Josh Onomah,16067.0,Left Center Midfield,201,Tottenham Hotspur,38,['9d50f8e5-fba0-4a24-9c2d-484cbb4d4bea'],27,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:27.993,Pass,
,,,,,,,,,,,,,,,,0.610009,,,,,,,,,,,,442d43db-1fd2-45e1-a823-c439ec6fe8ca,3401,,"[74.1, 21.6]",3754029,92,,,,,0.7853982,,Left Foot,,,"[82.8, 30.3]",,Ground Pass,,12.303658,,,Christian Dannemann Eriksen,3043.0,,,,,,2,Regular Play,Ben Davies,3086.0,Left Back,201,Tottenham Hotspur,38,['460d2bda-a9f3-4138-8160-f22b1a934b0c'],31,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:31.262,Pass,
,,,,,,,,,,,,,,,,0.994281,,,,,,,,,,,,6417c390-d48a-414b-bcf6-1b13287076f1,3405,,"[89.4, 40.6]",3754029,92,,,,,0.6393859,,Right Foot,,,"[105.0, 52.2]",,Ground Pass,,19.440165,,,Erik Lamela,3585.0,,,,,,2,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,201,Tottenham Hotspur,38,['36a64818-12ef-4af2-87a1-277fd7a82a29'],34,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:34.716,Pass,
,,,,,,,,,,,,,,,,1.378314,,,,,,,,,,,,9dff43f8-6f54-47c0-a3c9-37123d935e9a,3408,,"[105.0, 52.2]",3754029,92,,,,,-1.6301326,dfecad19-7f7b-4fd2-9eb3-30856f2f032b,Right Foot,,,"[103.8, 32.0]",True,Ground Pass,,20.235613,,,Harry Kane,10955.0,,,,,,2,Regular Play,Erik Lamela,3585.0,Left Wing,201,Tottenham Hotspur,38,['6c35510c-1922-4a2f-a0f5-5e44027b0052'],35,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:47:35.823,Pass,
,,,,,,,,,,,,,,,,0.884194,,,,,,,,,,,,267fe111-018f-463b-8306-79c22d678176,3412,,"[61.0, 40.1]",3754029,93,,True,,,2.070143,,Right Foot,,,"[59.8, 42.3]",,Ground Pass,,2.505993,,,Jordan Ayew,3450.0,,,,,Kick Off,2,From Kick Off,Rudy Gestede,19362.0,Center Attacking Midfield,202,Aston Villa,59,['30f30262-9aa5-461c-9619-e97145e169e1'],29,,,,,,,,,,,,,,,,,,Aston Villa,59,00:48:29.186,Pass,
