50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.77311,,,,,,,,,,,,41a8ad2f-f0fe-4df5-b529-230096d98936,51,,"[113.6, 74.4]",3754084,0,,,,-3.048116,,Right Foot,,,,"[107.2, 73.8]",Ground Pass,,6.4280634,,,Stéphane Sessègnon,2966.0,,,,,,,1,From Throw In,Craig Dawson,3523.0,Right Back,3,West Bromwich Albion,27,['77742724-b565-4867-a515-36fdf9b0dba1'],57,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:57.869,Pass,
,,,,,,,,,,,,,,,,1.498953,,,,,,,,,,,,cd9a0790-8510-437d-8281-c82551554c7c,59,,"[95.4, 80.0]",3754084,1,,,,-0.45815316,,,,,,"[110.0, 72.8]",Low Pass,,16.27882,,,José Salomón Rondón Giménez,4041.0,,,,,,Throw-in,1,From Throw In,Craig Dawson,3523.0,Right Back,4,West Bromwich Albion,27,['ce50421a-f360-49c6-9f43-c372eb5782a9'],21,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:21.790,Pass,
,,,,,,,,,,,,,,,,0.994769,,,,,,,,,,,,1866ea1c-43c7-4d24-bdfa-fcba81933544,66,,"[115.3, 80.0]",3754084,1,,,,-2.490516,,,,,,"[104.8, 72.0]",Low Pass,,13.200378,,,Stéphane Sessègnon,2966.0,,,,,,Throw-in,1,From Throw In,Craig Dawson,3523.0,Right Back,5,West Bromwich Albion,27,['e76367ac-621d-4a56-bb85-d9a66fcf4dc2'],36,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:36.191,Pass,
,,,,,,,,,,,,,,,,1.231393,,,,,,,,,,,,3487477c-31b8-4513-b8b1-a0970c150d57,70,,"[110.6, 76.9]",3754084,1,,,,-3.113822,,Right Foot,,,,"[103.4, 76.7]",Ground Pass,,7.2027774,Incomplete,,Craig Dawson,3523.0,,,,,,,1,From Throw In,Stéphane Sessègnon,2966.0,Right Midfield,5,West Bromwich Albion,27,"['27426854-ad86-4619-bab2-e8370fc13153', '3438463f-96e9-4e5a-961d-19f817b42b7a', '895fd1cf-4a3b-4321-8a36-b595e49d9a75']",41,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:41.888,Pass,True
,,,,,,,,,,,,,,,,1.975057,,,,,,,,,,,,0637e5aa-ff44-4b91-b226-4503b7d80ba7,75,,"[20.0, 0.1]",3754084,2,,,,0.23447284,,,,,,"[44.7, 6.0]",High Pass,,25.394882,,,Libor Kozák,28247.0,,,,,,Throw-in,1,From Throw In,Aly Cissokho,27146.0,Left Back,6,Aston Villa,59,['1e432fd4-f65b-4abc-a579-b5d96c44df04'],0,,,,,,,,,,,,,,,,Aston Villa,59,00:02:00.319,Pass,
,,,,,,,,,,,,,,,,2.574886,,,,,,,,,,,,ac250cd9-e653-4637-ada3-4fbb3915d1d1,77,,"[44.7, 6.3]",3754084,2,,,,0.1798535,,Head,,,,"[64.5, 9.9]",High Pass,,20.12461,Incomplete,,Jordan Ayew,3450.0,,,,,,,1,From Throw In,Libor Kozák,28247.0,Center Forward,6,Aston Villa,59,"['3f17d5c6-6fff-4024-93c7-789f728c5756', 'd3aacc5c-79a9-4421-ba4e-9c71f1514b71']",2,,,,,,,,,,,,,,,,Aston Villa,59,00:02:02.294,Pass,
,,,,,,,,,,,,,,,,0.798295,,,,,,,,,,,,d3aacc5c-79a9-4421-ba4e-9c71f1514b71,79,,"[55.6, 70.2]",3754084,2,,,,0.11272761,,Right Foot,,,,"[66.2, 71.4]",Low Pass,,10.667708,,,Craig Dawson,3523.0,,,,,,Recovery,1,From Throw In,Jonas Olsson,20527.0,Left Center Back,6,Aston Villa,59,"['4184165e-a68f-4794-897c-c781692f0664', 'ac250cd9-e653-4637-ada3-4fbb3915d1d1']",4,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:02:04.869,Pass,
,,,,,,,,,,,,,,,,3.445135,,,,,,,,,,,,c5eeed0f-a3b9-4a16-8ff7-fa907130d1d8,83,,"[66.8, 71.0]",3754084,2,,,,-0.045561153,,Right Foot,,,,"[99.7, 69.5]",High Pass,,32.934177,Pass Offside,,José Salomón Rondón Giménez,4041.0,,,,,,,1,From Throw In,Craig Dawson,3523.0,Right Back,6,Aston Villa,59,"['75a4e148-e0e1-441b-aa4b-31d350e83da8', '94b43c04-65b0-4e53-8b07-166963255fc6']",6,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:02:06.536,Pass,True
,,,,,,,,,,,,,,,,3.420097,,,,,,,,,,,,61aa0bee-9e8f-4f7c-9b24-5b6854bc2bce,85,,"[24.4, 10.9]",3754084,2,,,,0.19438896,,Right Foot,,,,"[88.4, 23.5]",High Pass,,65.22852,Incomplete,,Libor Kozák,28247.0,,,,,,Free Kick,1,From Free Kick,Mark Bunn,18672.0,Goalkeeper,7,Aston Villa,59,"['223a32d4-18a1-41de-9262-b16a8f87ef9c', '372cb576-5148-4f16-ac3a-0e53b65f8e5e']",39,,,,,,,,,,,,,,,,Aston Villa,59,00:02:39.331,Pass,
,,,,,,,,,,,,,,,,1.27578,,,,,,,,,,,,a52aa00d-98c5-4216-a569-d753082e97ba,88,,"[62.5, 22.0]",3754084,2,,,,0.21608497,,Head,,,,"[78.9, 25.6]",High Pass,,16.790474,,,Libor Kozák,28247.0,,,,,,Recovery,1,From Free Kick,Joleon Lescott,20285.0,Left Center Back,7,Aston Villa,59,['f35c56b9-2823-43d0-8853-7c78e0ae3be7'],44,,,,,,,,,,,,,,,,Aston Villa,59,00:02:44.738,Pass,
