bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.223819,,,,,,,,,,,c005bd00-e777-4e81-a4d9-48900d356cf9,50,,"[27.1, 55.3]",3753996,0,,,,,-1.4119096,,Right Foot,,,,"[32.5, 21.6]",,Ground Pass,,34.129898,,,,John Terry,20287.0,,,,,Free Kick,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,6,Chelsea,33,['48ebe544-4b9b-4be5-8007-ec15ff0a637e'],57,,,,,,,,,,,,,,,,Chelsea,33,00:00:57.956,Pass,
,,,,,,,,,,,,,,,,,2.44145,,,,,,,,,,,a0c2d6bc-00d9-49c5-9752-bff805d345b5,53,,"[32.7, 21.0]",3753996,1,,,,,-1.1740234,,Right Foot,,,,"[40.2, 3.1]",,Ground Pass,,19.40773,,,,Robert Kenedy Nunes do Nascimento,3666.0,,,,,,1,From Free Kick,John Terry,20287.0,Left Center Back,6,Chelsea,33,['d9cca26f-b763-4725-bba4-13bf6715f4ca'],0,,,,,,,,,,,,,,,,Chelsea,33,00:01:00.370,Pass,
,,,,,,,,,,,,,,,,,2.708788,,,,,,,,,,,3f046e6a-42dc-464e-9328-a72bb0dd23f9,56,,"[43.3, 8.1]",3753996,1,,,,,1.5873824,,Left Foot,,,,"[42.6, 50.3]",,Ground Pass,,42.205807,,,,Francesc Fàbregas i Soler,3478.0,,True,,,,1,From Free Kick,Robert Kenedy Nunes do Nascimento,3666.0,Left Back,6,Chelsea,33,['beb68f31-db0c-4de2-812b-c9965afb22b9'],4,,,,,,,,,,,,,,,,Chelsea,33,00:01:04.452,Pass,
,,,,,,,,,,,,,,,,,1.673948,,,,,,,,,,,b9180441-69cd-4b6f-b1d9-760fcd57b8fb,59,,"[44.3, 50.8]",3753996,1,,,,,0.9785166,,Right Foot,,,,"[62.4, 77.7]",,Ground Pass,,32.422523,,,,Branislav Ivanović,5594.0,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,6,Chelsea,33,['723e2355-326e-45c0-bec1-9bb9d71607cc'],7,,,,,,,,,,,,,,,,Chelsea,33,00:01:07.924,Pass,
,,,,,,,,,,,,,,,,,1.781161,,,,,,,,,,,5aa6491e-244f-46ee-a556-129cf4b8c8a4,62,,"[63.9, 74.6]",3753996,1,,,,,-2.519721,,Right Foot,,,,"[40.6, 57.9]",,Ground Pass,,28.666706,,,,Kurt Happy Zouma,3456.0,,,,,,1,From Free Kick,Branislav Ivanović,5594.0,Right Back,6,Chelsea,33,['b5d9a304-5f12-44e1-a817-c7b3ac34286c'],11,,,,,,,,,,,,,,,,Chelsea,33,00:01:11.981,Pass,
,,,,,,,,,,,,,,,,,1.559905,,,,,,,,,,,159721d5-8de9-4e42-b916-b00036eed9ca,65,,"[40.6, 57.9]",3753996,1,,,,,-1.5246005,,Right Foot,,,,"[42.5, 16.8]",,Ground Pass,,41.143894,,,,John Terry,20287.0,,True,,,,1,From Free Kick,Kurt Happy Zouma,3456.0,Right Center Back,6,Chelsea,33,['295efda2-5928-424e-82fa-67dcf3c5e7ae'],14,,,,,,,,,,,,,,,,Chelsea,33,00:01:14.698,Pass,
,,,,,,,,,,,,,,,,,1.44621,,,,,,,,,,,a7c6d097-b449-4023-9122-1e802523850f,68,,"[43.9, 16.0]",3753996,1,,,,,-0.8682123,,Left Foot,,,,"[55.5, 2.3]",,Ground Pass,,17.951323,,,,Robert Kenedy Nunes do Nascimento,3666.0,,,,,,1,From Free Kick,John Terry,20287.0,Left Center Back,6,Chelsea,33,['30c7d3f8-cc31-4ab8-b4c5-6f1264a37fa2'],17,,,,,,,,,,,,,,,,Chelsea,33,00:01:17.393,Pass,
,,,,,,,,,,,,,,,,,1.62781,,,,,,,,,,,570b71c3-e7a1-4a08-8db0-b674982f6422,71,,"[56.2, 2.3]",3753996,1,,,,,2.2630394,,Left Foot,,,,"[43.1, 18.1]",,Ground Pass,,20.524376,,,,John Terry,20287.0,,,,,,1,From Free Kick,Robert Kenedy Nunes do Nascimento,3666.0,Left Back,6,Chelsea,33,['0725c6f6-fbd4-4cd7-bfd8-fd8f71f5a16c'],20,,,,,,,,,,,,,,,,Chelsea,33,00:01:20.678,Pass,
,,,,,,,,,,,,,,,,,1.228677,,,,,,,,,,,d74a1196-3ff6-461a-a8a5-0e02f9bab7a2,74,,"[43.1, 18.1]",3753996,1,,,,,1.6252878,,Left Foot,,,,"[41.3, 51.1]",,Ground Pass,,33.049053,,,,Kurt Happy Zouma,3456.0,,,,,,1,From Free Kick,John Terry,20287.0,Left Center Back,6,Chelsea,33,['6803c499-18cd-4813-83d7-4c55ace6e46a'],22,,,,,,,,,,,,,,,,Chelsea,33,00:01:22.774,Pass,
,,,,,,,,,,,,,,,,,1.886692,,,,,,,,,,,6af27f30-80f3-457d-b48a-2175a686382d,77,,"[41.5, 51.5]",3753996,1,,,,,0.91206497,,Right Foot,,,,"[62.4, 78.5]",,Ground Pass,,34.14396,,,,Branislav Ivanović,5594.0,,,,,,1,From Free Kick,Kurt Happy Zouma,3456.0,Right Center Back,6,Chelsea,33,['c2959538-8047-42a2-a7d3-dea4c49ca259'],25,,,,,,,,,,,,,,,,Chelsea,33,00:01:25.283,Pass,
