ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[37.5, 29.2]",,,,,,,,,,,0.039999,,,,,,,,,,,,,e72df6e1-e2cf-4584-8ec3-75b678661bb2,1088,,"[37.5, 29.2]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tom Carroll,3310.0,Left Defensive Midfield,50,Tottenham Hotspur,38,"['1fe1ccb2-0316-4264-9e19-0dedb13c1aec', 'bd4c7905-075e-44fe-8637-beb191445772']",19,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:19.863,Carry,
,,,,"[53.3, 23.9]",,,,,,,,,,,0.04,,,,,,,,,,,,,35d6aa49-5774-48bd-bbea-079180460118,1091,,"[53.3, 23.9]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,50,Tottenham Hotspur,38,"['9848eaad-04d2-460c-b893-c34b0a54c6c5', 'd0bdb74a-9507-496c-8213-f20f23243659']",21,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:21.112,Carry,
,,,,"[51.2, 40.6]",,,,,,,,,,,0.039999,,,,,,,,,,,,,e4c266c8-cff9-4f93-8ed4-ba886a47b7cf,1094,,"[51.2, 40.8]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,50,Tottenham Hotspur,38,"['025ea991-c065-4f9f-a667-3f820dfcf564', '6b6eda43-7940-4969-b001-087d7caf3197']",22,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:22.530,Carry,
,,,,"[35.3, 59.8]",,,,,,,,,,,7.491259,,,,,,,,,,,,,4ada37a0-2432-4fa4-94c0-a6f3cc0f069c,1099,,"[40.0, 57.7]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Séamus Coleman,4589.0,Right Back,50,Tottenham Hotspur,38,"['386f9380-7203-487f-932e-ea1e1304a0b5', '60efff81-fdc0-4d37-bc91-f6a4bffef905', '92567947-9e70-46fc-9e2d-d2c2c04356a3']",24,,,,,,,,,,,,,,,,,Everton,29,00:27:24.686,Carry,True
,,,,"[85.2, 24.7]",,,,,,,,,,,0.575939,,,,,,,,,,,,,2175ae24-f5fb-40d5-9a75-3ab7c851e0dc,1105,,"[83.7, 24.3]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tom Carroll,3310.0,Left Defensive Midfield,50,Tottenham Hotspur,38,"['1b116ad6-d979-4fd2-9c8d-06c51a343623', '914743cd-217f-4ef8-afa8-eaf1d8df981f', 'abd345c2-ba25-420e-950e-862b8eb66f22']",32,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:32.983,Carry,True
,,,,"[117.1, 4.6]",,,,,,,,,,,2.391796,,,,,,,,,,,,,a888021f-9537-45e6-84e5-e88e7657f0b8,1111,,"[109.6, 0.8]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,50,Tottenham Hotspur,38,"['7332e0c5-edce-4415-9ac1-66e55a44f34c', 'e8585f3f-dcd5-40ec-96ef-62cd58590442']",38,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:38.112,Carry,
,,,,"[36.4, 22.4]",,,,,,,,,,,0.08,,,,,,,,,,,,,4b5beaa7-c940-4893-bc1d-4d21889f55b4,1121,,"[36.4, 22.4]",3754140,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Tom Cleverley,3683.0,Left Center Midfield,51,Everton,29,"['127f3df3-8a9f-4403-80b7-a13c4126f5ea', '5da604ec-aa13-4520-8e8c-679afea26e85']",10,,,,,,,,,,,,,,,,,Everton,29,00:28:10.940,Carry,
,,,,"[61.2, 53.2]",,,,,,,,,,,1.215409,,,,,,,,,,,,,b621920f-1718-4b41-a653-e4edb4e84ea6,1125,,"[63.1, 54.9]",3754140,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Romelu Lukaku Menama,3289.0,Center Forward,51,Everton,29,"['11840c1d-7478-4271-8574-f1d0448ecb5e', 'bf41f394-812c-440d-8da8-a07481f194fd', 'c7dfd164-2237-40a9-b8fa-a651acb56a65']",13,,,,,,,,,,,,,,,,,Everton,29,00:28:13.610,Carry,True
,,,,"[73.2, 42.5]",,,,,,,,,,,1.042767,,,,,,,,,,,,,baf64bc9-c33d-4962-a5e2-72db518dda01,1128,,"[67.2, 41.0]",3754140,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Arouna Koné,26696.0,Left Wing,51,Everton,29,"['1bae5289-f923-41f3-a282-12df5e1e6d3f', '2c5eabd6-3de2-473e-96f2-30fc5265dc82', '60f9486a-a746-4e86-a86c-73355108a187']",15,,,,,,,,,,,,,,,,,Everton,29,00:28:15.882,Carry,True
,,,,"[44.3, 27.3]",,,,,,,,,,,4.248276,,,,,,,,,,,,,7f3baec3-158d-429a-af1b-08d5e85f44a7,1132,,"[43.1, 35.7]",3754140,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eric Dier,10956.0,Right Defensive Midfield,52,Tottenham Hotspur,38,"['4822d7b3-8bd8-4578-9675-4aae146282c8', 'e506fa87-fd27-498d-b3a3-a69838eaf64a']",18,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:28:18.034,Carry,
