50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.001449,,,,,,,,,,,,f7a33e17-3e06-4d1a-8a51-9f24f21a497b,56,,"[47.1, 76.7]",3754293,1,,,,,0.18362233,,Right Foot,,,,"[54.1, 78.0]",Ground Pass,7.119691,,,,,Glenn Whelan,9625.0,,,,,,,1,Regular Play,Glen Johnson,4724.0,Right Back,5,Stoke City,30,['94bf9f26-5812-4d11-95b2-40ec9d38e777'],12,,,,,,,,,,,,,,,,Stoke City,30,00:01:12.419,Pass,
,,,,,,,,,,,,,,,,,0.514805,,,,,,,,,,,,720794d6-2741-4351-bdac-cf6b0d84777e,59,,"[54.1, 78.0]",3754293,1,,,,,-1.591412,,Left Foot,,,,"[53.9, 68.3]",Low Pass,9.702062,,,,,Xherdan Shaqiri,3533.0,,,,,,,1,Regular Play,Glenn Whelan,9625.0,Left Center Midfield,5,Stoke City,30,['c8eb1a98-f220-401a-b4a9-8ad9ba84cb5d'],13,,,,,,,,,,,,,,,,Stoke City,30,00:01:13.468,Pass,
,,,,,,,,,,,,,,,,,2.281144,,,,,,,,,,,,c1ff2db2-09e0-463a-9f77-0321b935ca85,63,,"[54.4, 67.6]",3754293,1,,,,,-2.1118605,,Left Foot,,,,"[40.7, 44.8]",High Pass,26.599436,,,,,Philipp Wollscheid,40121.0,,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Right Wing,5,Stoke City,30,"['2039113e-dcd4-4e7d-b901-2eb2da3b463c', '9c297df2-79e7-4e0f-a8af-2bdd419900a0']",15,,,,,,,,,,,,,,,,Stoke City,30,00:01:15.071,Pass,True
,,,,,,,,,,,,,,,,,1.891964,,,,,,,,,,,,42ac2d55-d6d6-4428-bfd4-f75fdabb089a,66,,"[24.4, 35.0]",3754293,1,,,,,2.9058363,,Right Foot,,,,"[6.5, 39.3]",Ground Pass,18.409237,,,,,Jack Butland,3537.0,,,,,,,1,Regular Play,Philipp Wollscheid,40121.0,Left Center Back,5,Stoke City,30,['a17ea5d1-f304-42f5-97b3-f9f9485bcbbe'],22,,,,,,,,,,,,,,,,Stoke City,30,00:01:22.134,Pass,
,,,,,,,,,,,,,,,,,7.689428,,,,,,,,,,,,842b3d63-2dbd-4eaf-8841-844093776b78,68,,"[6.5, 39.3]",3754293,1,,,,,-0.38621652,,Right Foot,,,,"[102.9, 0.1]",High Pass,104.06536,,,Out,,,,,,,,,,1,Regular Play,Jack Butland,3537.0,Goalkeeper,5,Stoke City,30,,24,,,,,,,,,,,,,,,,Stoke City,30,00:01:24.026,Pass,
,,,,,,,,,,,,,,,,,0.470262,,,,,,,,,,,,f76bc425-b60c-4f0f-bfa8-edc1d25535aa,69,,"[24.8, 80.0]",3754293,1,,True,,,-0.17148343,,,,,,"[42.7, 76.9]",High Pass,18.166452,,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,6,Chelsea,33,['c9846acb-b2ad-477c-812a-6b0c8916d37f'],52,,,,,,,,,,,,,,,,Chelsea,33,00:01:52.220,Pass,
,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,c9846acb-b2ad-477c-812a-6b0c8916d37f,70,,"[77.4, 3.2]",3754293,1,,True,,,-0.261326,,Head,,,,"[86.0, 0.9]",High Pass,8.902246,,,,,Marko Arnautović,3325.0,,,,,,Recovery,1,Regular Play,Erik Pieters,3467.0,Left Back,7,Stoke City,30,"['daf5e0c3-7f48-4aac-a727-271924d1d71f', 'f76bc425-b60c-4f0f-bfa8-edc1d25535aa']",52,,,,,,,,,,,,,,,,Stoke City,30,00:01:52.691,Pass,
,,,,,,,,,,,,,,,,,0.997538,,,,,,,,,,,,b410ee46-bc32-4ecd-b055-c9b3f1a9e7d6,73,,"[34.1, 80.0]",3754293,2,,,,,-0.35744968,,,,,,"[50.7, 73.8]",High Pass,17.720045,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,Throw-in,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,8,Chelsea,33,['296c9f1a-3f23-4315-95c1-e01c7f5c9ce8'],0,,,,,,,,,,,,,,,,Chelsea,33,00:02:00.468,Pass,
,,,,,,,,,,,,,,,,,0.875132,,,,,,,,,,,,28e96456-138c-455d-b92c-93e181a627c8,75,,"[50.7, 73.8]",3754293,2,,,,,2.6704264,,Right Foot,,,,"[40.1, 79.2]",Low Pass,11.896218,,,,,César Azpilicueta Tanco,3957.0,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,8,Chelsea,33,['f1fe3079-9526-49f6-897d-aeb7d2a17c58'],1,,,,,,,,,,,,,,,,Chelsea,33,00:02:01.466,Pass,
,,,,,,,,,,,,,,,,,2.548191,,,,,,,,,,,,b52b5663-d0cf-4ce8-9f85-308b56cb45e7,77,,"[40.1, 79.2]",3754293,2,,,,,-0.21470727,,Right Foot,,,,"[72.2, 72.2]",High Pass,32.854374,,,Unknown,,,,,,,,,,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,8,Chelsea,33,,2,,,,,,,,,,,,,,,,Chelsea,33,00:02:02.341,Pass,
