ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,4.40292,,,,,,,,,,,13eb33c1-7cac-454d-a5c4-c34159f04459,45,,"[35.0, 8.1]",3754072,0,,,,,0.02343321,,Head,,,"[60.6, 8.7]",,High Pass,,25.60703,,Incomplete,,Odion Jude Ighalo,5458.0,,,,,Recovery,1,From Throw In,Miguel Ángel Britos Cabrera,3288.0,Left Center Back,5,Sunderland,41,"['420b7b0c-d817-4063-b4ef-df96be115d82', '4e2cea61-4c8f-4bba-95db-823e1d91ce91', 'd61557b3-3f2d-491b-99b6-cb25578c4c63']",56,,,,,,,,,,,,,,,,,,Watford,23,00:00:56.251,Pass,
,,,,,,,,,,,,,,,,1.037441,,,,,,,,,,,d61557b3-3f2d-491b-99b6-cb25578c4c63,47,,"[59.5, 71.4]",3754072,1,,,,,-1.2793396,,Head,,,"[63.7, 57.4]",,High Pass,,14.616429,,,,Ola Toivonen,4417.0,,,,,Recovery,1,From Throw In,DeAndre Yedlin,3658.0,Right Wing Back,5,Sunderland,41,"['13eb33c1-7cac-454d-a5c4-c34159f04459', 'ec80dc6e-34e7-491e-87fa-0aee1fea9c51']",0,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:00.654,Pass,
,,,,,,,,,,,,,,,,0.999558,,,,,,,,,,,23dd4b4c-c48c-46b0-9bb3-dfbfaca29728,49,,"[63.7, 57.4]",3754072,1,,,,,1.1659045,,Head,,,"[70.3, 72.8]",,Low Pass,,16.754702,,,,Fabio Borini,7171.0,,,,,,1,From Throw In,Ola Toivonen,4417.0,Right Defensive Midfield,5,Sunderland,41,['2fd37edf-ee6f-49ed-83fb-2f48bbd97f1e'],1,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:01.691,Pass,
,,,,,,,,,,,,,,,,0.491629,,,,,,,,,,,d214fcf6-2cbf-4278-9c96-3809124946ff,53,,"[75.1, 75.9]",3754072,1,,,,,-2.961739,,Left Foot,,,"[67.4, 74.5]",,Ground Pass,,7.826238,,,,DeAndre Yedlin,3658.0,,,,,,1,From Throw In,Fabio Borini,7171.0,Right Center Midfield,5,Sunderland,41,['b0a0f7ae-7ebf-4e08-8fa0-5ae9f9744784'],5,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:05.860,Pass,
,,,,,,,,,,,,,,,,1.480917,,,,,,,,,,,2c296c48-14e1-4381-ab62-3501b5a36aa9,57,,"[67.9, 72.0]",3754072,1,,,,,-1.929567,,Right Foot,,,"[62.8, 58.4]",,Ground Pass,,14.524806,,,,Yann Gérard M''Vila,4429.0,,,,,,1,From Throw In,DeAndre Yedlin,3658.0,Right Wing Back,5,Sunderland,41,"['55f24fd8-47d3-4978-8b42-3e9d0c12bc21', 'de47866c-540d-4b4f-a216-7852f9e56518']",7,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:07.405,Pass,True
,,,,,,,,,,,,,,,,1.850079,,,,,,,,,,,b4a8bf32-0c2d-4e23-8d27-1cdcca1684c2,61,,"[63.7, 60.3]",3754072,1,,,,,-3.0935528,,Right Foot,,,"[42.9, 59.3]",,Ground Pass,,20.824024,,,,John O''Shea,16890.0,,,,,,1,From Throw In,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,5,Sunderland,41,['f7aa8110-4a7d-440a-be3a-e1b35c10195c'],8,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:08.995,Pass,
,,,,,,,,,,,,,,,,1.736552,,,,,,,,,,,83b3296c-817b-4ffb-883c-978a0b85da71,64,,"[47.0, 62.4]",3754072,1,,,,,0.13841274,,Right Foot,,,"[87.2, 68.0]",,High Pass,,40.588177,,Incomplete,,Fabio Borini,7171.0,,,,,,1,From Throw In,John O''Shea,16890.0,Center Back,5,Sunderland,41,"['9871bf03-4b43-4eec-b70c-61160924f2bc', 'f1ba8c09-b9fe-4e63-9eaf-aaf6e65f0c38']",12,,,,,,,,,,,,,,,,,,Sunderland,41,00:01:12.227,Pass,
,,,,,,,,,,,,,,,,1.174626,,,,,,,,,,,9871bf03-4b43-4eec-b70c-61160924f2bc,66,,"[32.9, 12.1]",3754072,1,,,,,0.66194165,,Head,,,"[40.6, 18.1]",,Low Pass,,9.76166,,,,Ben Watson,3626.0,,,,,Recovery,1,Regular Play,Nathan Aké,3306.0,Left Back,6,Watford,23,"['83b3296c-817b-4ffb-883c-978a0b85da71', 'b776c8cf-c3d9-4b4a-b938-6a614809c679']",13,,,,,,,,,,,,,,,,,,Watford,23,00:01:13.963,Pass,
,,,,,,,,,,,,,,,,0.522026,,,,,,,,,,,ebcc6e4d-114f-42ee-b25d-0f98b056de22,70,,"[40.4, 19.2]",3754072,1,,,,,0.6128202,,Right Foot,,,"[46.8, 23.7]",,Ground Pass,,7.823682,,,,Etienne Capoue,3721.0,,,,,,1,Regular Play,Ben Watson,3626.0,Left Defensive Midfield,6,Watford,23,"['128cc0c2-63ae-4230-93ff-2605d00a4fb2', 'df1737cf-f328-49be-ac55-c6b93fff0d32']",15,,,,,,,,,,,,,,,,,,Watford,23,00:01:15.702,Pass,True
,,,,,,,,,,,,,,,,1.98188,,,,,,,,,,,3aff361e-f9ae-497c-a3ee-e7249d7c560e,72,,"[46.8, 23.7]",3754072,1,,,,,-1.2172095,,Left Foot,,,"[55.4, 0.4]",,Low Pass,,24.836466,,Out,,José Manuel Jurado Marín,6870.0,,,,,,1,Regular Play,Etienne Capoue,3721.0,Right Defensive Midfield,6,Watford,23,['34059d29-0920-40a7-b77d-2e7f893e31e3'],16,,,,,,,,,,,,,,,,,,Watford,23,00:01:16.224,Pass,
