ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.285331,,,,,,,,,,,,,,,9d6b4db5-31d4-4db9-bb9c-c765ff0eb13e,54,,"[27.9, 80.0]",3754027,1,,True,,,-2.3036115,,,,,,"[10.8, 61.0]",,Low Pass,,25.561886,,,Toby Alderweireld,20005.0,,,,,Throw-in,1,From Throw In,Kieran Trippier,3308.0,Right Back,7,Tottenham Hotspur,38,['cc23dd4d-db8c-45e1-896e-bccc516daf14'],30,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:30.744,Pass,
,,,,,,,,,,,,,,,,2.957673,,,,,,,,,,,,,,,0aff5e60-9ba9-4d1c-90ae-47678295ccc2,56,,"[11.8, 60.9]",3754027,1,,,,,-1.0116796,,Right Foot,,,,"[44.4, 8.8]",,High Pass,,61.458687,,,Danny Rose,3594.0,,True,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,7,Tottenham Hotspur,38,['ac3ad9de-d7ab-4487-95aa-0cfec43ebe8a'],33,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:33.752,Pass,
,,,,,,,,,,,,,,,,0.584806,,,,,,,,,,,,,,,701a1a37-4bb6-49d5-b537-9eeb9a7429c7,60,,"[64.5, 16.3]",3754027,1,,,,,-2.5113988,,Left Foot,,,,"[56.0, 10.1]",,Ground Pass,,10.520931,,,Christian Dannemann Eriksen,3043.0,,,,,,1,From Throw In,Danny Rose,3594.0,Left Back,7,Tottenham Hotspur,38,['fb02c158-99e4-4e60-b723-e9c9f501e30f'],40,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:40.861,Pass,
,,,,,,,,,,,,,,,,0.733281,,,,,,,,,,,,,,,fc6f153e-665c-4e0d-a90a-6388a8f7b49b,63,,"[56.0, 10.1]",3754027,1,,,,,2.077895,,Left Foot,,,,"[48.0, 24.5]",,Ground Pass,,16.47301,,,Mousa Sidi Yaya Dembélé,3037.0,,,,,,1,From Throw In,Christian Dannemann Eriksen,3043.0,Left Wing,7,Tottenham Hotspur,38,['56133d82-d38c-489c-9829-88a6b697dbe1'],42,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:42.507,Pass,
,,,,,,,,,,,,,,,,1.505591,,,,,,,,,,,,,,,4ddb6876-b6e9-48cf-b4a6-9a5b4c590ebd,66,,"[48.0, 24.5]",3754027,1,,,,,1.3068326,,Left Foot,,,,"[53.0, 43.0]",,Ground Pass,,19.163769,,,Eric Dier,10956.0,,,,,,1,From Throw In,Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,7,Tottenham Hotspur,38,['cc915aa6-92c9-4792-adb2-ec0f76fcf69b'],44,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:44.127,Pass,
,,,,,,,,,,,,,,,,3.174916,,,,,,,,,,,,,,,f16edd3b-d612-46c9-9f88-d6bf6107b913,69,,"[52.9, 46.7]",3754027,1,,,,,0.73823553,,Right Foot,,,,"[88.4, 79.0]",,High Pass,,47.99521,,,Kieran Trippier,3308.0,,,,,,1,From Throw In,Eric Dier,10956.0,Right Defensive Midfield,7,Tottenham Hotspur,38,['02ae897a-e84e-4c0d-acf8-784ca1cc629c'],46,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:46.627,Pass,
,,,,,,,,,,,,,,,,1.243947,,,,,,,,,,,,,,,e2bd315d-295d-4f1b-b001-5d13ab2ab219,72,,"[88.9, 78.0]",3754027,1,,,,,-2.8489602,,Right Foot,,,,"[73.3, 73.3]",,Ground Pass,,16.292637,,,Eric Dier,10956.0,,,,,,1,From Throw In,Kieran Trippier,3308.0,Right Back,7,Tottenham Hotspur,38,['9eea2180-ec43-4e3d-a3f1-ad73742fcb9c'],52,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:52.764,Pass,
,,,,,,,,,,,,,,,,1.130579,,,,,,,,,,,,,,,b92349a7-c2bf-40f8-a167-bb4053c17710,75,,"[74.9, 73.7]",3754027,1,,,,,0.33351472,,Right Foot,,,,"[87.6, 78.1]",,Ground Pass,,13.44061,,,Kieran Trippier,3308.0,,,,,,1,From Throw In,Eric Dier,10956.0,Right Defensive Midfield,7,Tottenham Hotspur,38,['391005e8-9305-46a4-b26b-7482b516f2ca'],55,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:55.266,Pass,
,,,,,,,,,,,,,,,,1.197749,,,,,,,,,,,,,,,7a105a03-8883-4e71-b9ea-10c1e5de1a63,83,,"[111.9, 74.3]",3754027,2,,,,,-1.5514189,ac5c74a1-7760-4ceb-af30-38397914f55a,Left Foot,True,,,"[112.4, 48.5]",,High Pass,,25.804844,,,Jan Vertonghen,3077.0,True,,,,Free Kick,1,From Free Kick,Erik Lamela,3585.0,Right Wing,8,Tottenham Hotspur,38,['7e1e9ddc-d6c7-4808-bacc-275af28dd057'],26,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:02:26.679,Pass,
,,,,,,,,,,,,,,,,3.123365,,,,,,,,,,,,,,,9e5269cd-4281-4c45-9656-37259346a108,92,,"[5.4, 36.8]",3754027,2,,,,,-0.37875855,,Drop Kick,,,,"[74.5, 9.3]",,High Pass,,74.37109,Incomplete,,Jeremain Lens,16457.0,,,,,,1,From Keeper,Jordan Pickford,3468.0,Goalkeeper,9,Sunderland,41,"['2b984421-4b08-430e-81c3-37ef9e3d340c', 'e0a6e4a2-729d-4117-b06c-87db0ba8d191']",34,,,,,,,,,,,,,,,,,Sunderland,41,00:02:34.964,Pass,
