50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,1.000155,,,,,,,,,,,,,d16fabc6-86c4-490c-aebd-2df921ed51aa,48,,"[93.5, 59.3]",3754292,0,,,,,-0.968302,,Left Foot,,,,"[107.6, 38.8]",,High Pass,,24.880917,,,,Georginio Wijnaldum,3567.0,,,,,,1,From Kick Off,Daryl Janmaat,3650.0,Right Back,2,Newcastle United,37,['c0eb354d-90e1-4752-9334-6edbb0afeaa6'],42,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:42.963,Pass,
,,,,,,,,,,,,,1.796512,,,,,,,,,,,,,d5de1d92-7e31-4af2-8663-5f7b5063ca25,56,,"[24.6, 34.1]",3754292,0,,,,,0.20583418,,Right Foot,,,,"[51.9, 39.8]",,High Pass,,27.888708,,,,Victor Chinedu Anichebe,40130.0,,,,,,1,From Kick Off,Claudio Ariel Yacob,3967.0,Right Defensive Midfield,2,Newcastle United,37,['2842b788-a985-46d9-9d44-035092f14cb7'],48,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:48.497,Pass,
,,,,,,,,,,,,,1.048892,,,,,,,,,,,,,77e0dc39-4a48-424c-b271-a8b9ba7ff79c,61,,"[77.3, 41.2]",3754292,0,,,,,2.752805,,Right Foot,,,,"[69.0, 44.6]",,Ground Pass,,8.969393,,,,Cheik Ismaël Tioté,42900.0,,,,,Recovery,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,"['322c61cf-45de-4125-992f-f1de6d5dd1cc', 'f0bd2164-584b-48ff-a848-d85b288ce00c']",51,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:51.626,Pass,True
,,,,,,,,,,,,,0.933263,,,,,,,,,,,,,64893a9e-f635-4370-93fe-fd3e715261bc,64,,"[69.0, 44.6]",3754292,0,,,,,-2.4980915,,Right Foot,,,,"[58.6, 36.8]",,Ground Pass,,13.0,,,,Fabricio Coloccini,26207.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,2,Newcastle United,37,['fd132635-906b-447c-b11b-276f842024d2'],53,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:53.645,Pass,
,,,,,,,,,,,,,1.780374,,,,,,,,,,,,,2826ab51-8efe-4222-b146-d77eafa8f24f,67,,"[57.8, 40.6]",3754292,0,,,,,1.2447168,,Right Foot,,,,"[69.5, 75.2]",,Ground Pass,,36.52465,,,,Daryl Janmaat,3650.0,,,,,,1,From Kick Off,Fabricio Coloccini,26207.0,Left Center Back,2,Newcastle United,37,['e525ed41-248f-44a0-a247-7eae80bc23a9'],55,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:55.608,Pass,
,,,,,,,,,,,,,1.421837,,,,,,,,,,,,,e4acf913-dac8-4312-91fd-d72d75e50113,70,,"[71.0, 72.2]",3754292,0,,,,,-2.0548031,,Right Foot,,,,"[61.8, 54.7]",,Ground Pass,,19.770939,,,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Kick Off,Daryl Janmaat,3650.0,Right Back,2,Newcastle United,37,['9a4a47a4-a283-4332-aff0-0c52eb3f4c05'],58,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:58.534,Pass,
,,,,,,,,,,,,,1.474167,,,,,,,,,,,,,56a0473f-3aba-4054-80ca-5d3a4a846549,73,,"[60.1, 57.3]",3754292,1,,,,,3.0436413,,Right Foot,,,,"[42.8, 59.0]",,Ground Pass,,17.383326,,,,Steven Taylor,3722.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,2,Newcastle United,37,['5c9b85b3-bbe1-486f-a629-aed5f1cb1988'],1,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:01.396,Pass,
,,,,,,,,,,,,,1.373052,,,,,,,,,,,,,8a142bcd-d3b0-40fb-b4d5-1c228f6e95b9,76,,"[45.1, 56.5]",3754292,1,,,,,-0.6902093,,Right Foot,,,,"[56.0, 47.5]",,Ground Pass,,14.135417,,,,Jonjo Shelvey,3057.0,,,,,,1,From Kick Off,Steven Taylor,3722.0,Right Center Back,2,Newcastle United,37,['e610c862-bb93-4854-ad35-0a6601abced0'],4,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:04.167,Pass,
,,,,,,,,,,,,,4.448527,,,,,,,,,,,,,93067cb7-99c2-485e-bd84-f4d0e7653c3f,79,,"[62.1, 45.5]",3754292,1,,,,,-0.56370604,,Right Foot,,,,"[120.0, 8.9]",,High Pass,,68.497955,,Out,,Andros Townsend,3297.0,,,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,['fbd7500e-9703-4cb8-944e-3611c91ae406'],7,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:07.417,Pass,
,,,,,,,,,,,,,2.553535,,,,,,,,,,,,,a343bab2-c7e4-44ac-b3a8-accf1c6738c8,81,,"[6.0, 44.0]",3754292,1,,True,,,0.105405,,Right Foot,,,,"[75.0, 51.3]",,High Pass,,69.385086,,Incomplete,,Victor Chinedu Anichebe,40130.0,,,,,Goal Kick,1,From Goal Kick,Ben Foster,4053.0,Goalkeeper,3,West Bromwich Albion,27,"['3b473a0b-f15c-48de-970e-4e2cba82b2a1', 'aea99290-8f59-40d9-bdc7-f3fc72d066d4']",40,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:40.907,Pass,
,,,,,,,,,,,,,1.341326,,,,,,,,,,,,,3b473a0b-f15c-48de-970e-4e2cba82b2a1,83,,"[45.1, 28.8]",3754292,1,,,,,-1.94013,,Head,,,,"[39.1, 13.3]",,High Pass,,16.62077,,,,Rolando Aarons,3391.0,,,,,Interception,1,Regular Play,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,4,Newcastle United,37,"['6b71cdfc-1bf0-4059-a6d6-fd69c47c14ce', 'a343bab2-c7e4-44ac-b3a8-accf1c6738c8']",43,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:43.461,Pass,
,,,,,,,,,,,,,2.189875,,,,,,,,,,,,,2e7d2d66-07f6-44e6-8574-9c15053048c0,87,,"[37.0, 13.3]",3754292,1,,,,,0.0,,Left Foot,,,,"[63.0, 13.3]",,High Pass,,26.0,,Incomplete,,Andros Townsend,3297.0,,,,,,1,Regular Play,Rolando Aarons,3391.0,Left Back,4,Newcastle United,37,"['89c4f65b-c168-4b34-9451-e46d159f431d', 'a15e0bea-ae6c-4131-9158-1d893181c045', 'b4afbc7c-f6db-4eb3-b462-5da2b1da3091']",45,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:45.321,Pass,True
,,,,,,,,,,,,,1.964663,,,,,,,,,,,,,a15e0bea-ae6c-4131-9158-1d893181c045,89,,"[57.1, 66.8]",3754292,1,,,,,-0.3178995,,Head,,,,"[80.5, 59.1]",,High Pass,,24.634325,,Incomplete,,Victor Chinedu Anichebe,40130.0,,,,,Recovery,1,Regular Play,James Grant Chester,9628.0,Right Back,4,Newcastle United,37,"['2e7d2d66-07f6-44e6-8574-9c15053048c0', 'b21add93-6dd6-421c-a100-bab656d73a22', 'dffeabf4-cff7-42ec-8e55-9953a82bb36e']",47,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:47.511,Pass,
,,,,,,,,,,,,,1.218427,,,,,,,,,,,,,b21add93-6dd6-421c-a100-bab656d73a22,91,,"[39.6, 21.0]",3754292,1,,,,,-0.021735707,,Head,,,,"[48.8, 20.8]",,High Pass,,9.202173,,,,Georginio Wijnaldum,3567.0,,,,,Interception,1,Regular Play,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,4,Newcastle United,37,"['03da657a-9696-43c6-bba0-941421bf8da3', 'a15e0bea-ae6c-4131-9158-1d893181c045']",49,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:49.476,Pass,
,,,,,,,,,,,,,1.37779,,,,,,,,,,,,,f435dafc-780d-495b-8570-fcbb4e5dcfe6,94,,"[48.8, 20.8]",3754292,1,,,,True,-0.67474097,,,,,True,"[52.8, 17.6]",,High Pass,,5.1224995,,,,Andros Townsend,3297.0,,,,,,1,Regular Play,Georginio Wijnaldum,3567.0,Center Attacking Midfield,4,Newcastle United,37,"['0d129c49-56a6-4d36-9ad0-0b6665534cbc', 'a12afb61-b2c4-405c-a6fe-ce33ca9dcaea']",50,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:50.694,Pass,True
,,,,,,,,,,,,,1.710827,,,,,,,,,,,,,d69a8299-5a5c-410c-a8a3-f2421755d310,96,,"[52.8, 17.6]",3754292,1,,,,,0.6796489,,Head,,,,"[62.7, 25.6]",,High Pass,,12.728315,,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,1,Regular Play,Andros Townsend,3297.0,Left Wing,4,Newcastle United,37,"['75f038a5-f05e-4740-b847-6f2be40c1288', '77fdec36-4878-4c16-a959-132d6a9c9f3f']",52,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:52.072,Pass,
,,,,,,,,,,,,,0.928187,,,,,,,,,,,,,75f038a5-f05e-4740-b847-6f2be40c1288,99,,"[57.4, 54.5]",3754292,1,,,,True,-0.22024873,,,,,,"[64.1, 53.0]",,Low Pass,,6.8658576,,,,Sandro Ranieri Guimarães Cordeiro,7121.0,,,,,Recovery,1,Regular Play,Gareth McAuley,3596.0,Right Center Back,4,Newcastle United,37,"['47f8a6f3-1b69-43d2-a5d4-756b4a594b2e', 'd69a8299-5a5c-410c-a8a3-f2421755d310', 'f7dfb8ae-9c8e-43c1-9a49-7f549769b11a']",53,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:53.783,Pass,True
,,,,,,,,,,,,,0.147066,,,,,,,,,,,,,af56e129-3c07-4e00-bedd-1d9726cec895,101,,"[64.1, 53.0]",3754292,1,,,,,-1.2220253,,Right Foot,,,,"[64.9, 50.8]",,Low Pass,,2.34094,,Incomplete,,,,,,,,,1,Regular Play,Sandro Ranieri Guimarães Cordeiro,7121.0,Left Defensive Midfield,4,Newcastle United,37,['070fd6a8-0462-441b-8db2-f4c4ba251917'],54,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:54.711,Pass,
,,,,,,,,,,,,,1.175821,,,,,,,,,,,,,e918d6f1-2f1b-4fcd-94a6-27823b74f1ab,106,,"[57.5, 19.8]",3754292,1,,,,,-1.1703175,,Left Foot,,,,"[63.3, 6.1]",,Ground Pass,,14.877164,,,,Rolando Aarons,3391.0,,,,,,1,Regular Play,Georginio Wijnaldum,3567.0,Center Attacking Midfield,4,Newcastle United,37,['64f3e4d7-32ef-431f-a91c-d845786f6ff7'],58,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:58.007,Pass,
,,,,,,,,,,,,,1.927879,,,,,,,,,,,,,fdc75dc8-e8fe-4786-83ad-5c7391754ff1,112,,"[27.6, 23.6]",3754292,2,,True,,,1.4177607,,Right Foot,,,,"[33.6, 62.5]",,Ground Pass,,39.360004,,,,Steven Taylor,3722.0,,,,,Recovery,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,5,Newcastle United,37,['d94a3708-7b3b-48c4-a103-2c31e84b1055'],9,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:09.436,Pass,
