bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.036995,,,,,,,,,,,,,ca0dccba-fa0e-410b-8b36-7cfbbe3db102,45,,,"[34.2, 33.4]",3754235,0,,,,,-0.4081491,,Left Foot,,,"[49.0, 27.0]",Ground Pass,,16.124516,,,Manuel Lanzini,3595.0,,,,,,1,Regular Play,Angelo Obinze Ogbonna,3843.0,Left Center Back,3,West Ham United,40,['ce9adc70-0ce8-43be-99d1-247d57897c7a'],45,,,,,,,,,,,,,,,,West Ham United,40,00:00:45.908,Pass,
,,,,,,,,,,,,,,,,1.036689,,,,,,,,,,,,,1438161c-f058-440d-a4e8-cd58d50d80e4,48,,,"[55.0, 24.7]",3754235,0,,,,,-0.67956793,,Right Foot,,,"[70.1, 12.5]",Ground Pass,,19.412624,,,Mauro Matías Zárate,27853.0,,,,,,1,Regular Play,Manuel Lanzini,3595.0,Left Center Midfield,3,West Ham United,40,['6b17e4d5-de8c-4f38-9be5-82ccf27c7590'],48,,,,,,,,,,,,,,,,West Ham United,40,00:00:48.588,Pass,
,,,,,,,,,,,,,,,,0.964215,,,,,,,,,,,,,ac9686aa-401a-4456-9ec8-807e879dd92d,55,,,"[50.8, 48.1]",3754235,0,,,,,-1.7835281,,Right Foot,,,"[48.1, 35.6]",Ground Pass,,12.788276,,,James McClean,3514.0,,,,,,1,Regular Play,Claudio Ariel Yacob,3967.0,Left Defensive Midfield,4,West Bromwich Albion,27,['8865b4f5-56a6-4bb9-9a72-2ae3d4ea1f1f'],54,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:54.743,Pass,
,,,,,,,,,,,,,,,,2.033447,,,,,,,,,,,,,68ae9237-e535-42e7-9258-a72604606857,58,,,"[56.0, 26.7]",3754235,0,,,,,-2.2073045,,Right Foot,,,"[37.3, 1.4]",Ground Pass,,31.46077,,,Jonathan Grant Evans,11012.0,,,,,,1,Regular Play,James McClean,3514.0,Left Midfield,4,West Bromwich Albion,27,['758d6a7d-d233-4295-883b-04019b4f1350'],58,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:58.313,Pass,
,,,,,,,,,,,,,,,,1.104375,,,,,,,,,,,,,a754cb87-7f3c-4105-9c14-48fdebb20c3f,62,,,"[42.0, 5.4]",3754235,1,,,,,0.4301673,,Right Foot,,,"[50.5, 9.3]",Ground Pass,,9.352005,,,Claudio Ariel Yacob,3967.0,,,,,,1,Regular Play,Jonathan Grant Evans,11012.0,Left Back,4,West Bromwich Albion,27,"['328568ff-8d65-464b-a128-0599baefd8a3', '470ea2b9-1e63-4fb2-88b9-7eab8bc2d30e']",2,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:02.247,Pass,True
,,,,,,,,,,,,,,,,1.351267,,,,,,,,,,,,,23d0158e-53b6-42ef-945e-fda7e2749851,68,,,"[71.6, 72.9]",3754235,1,,,,,-0.08777389,,Right Foot,,,"[84.1, 71.8]",Ground Pass,,12.548306,Incomplete,,Diafra Sakho,3962.0,,,,,Recovery,1,Regular Play,Victor Moses,3963.0,Right Midfield,4,West Bromwich Albion,27,"['5553dfa9-621d-4300-8c50-38e2ab114ee3', 'a81cb044-e3db-4d67-8c1b-592c9abb5562']",4,,,,,,,,,,,,,,,,West Ham United,40,00:01:04.675,Pass,
,,,,,,,,,,,,,,,,3.763525,,,,,,,,,,,,,a81cb044-e3db-4d67-8c1b-592c9abb5562,70,,,"[36.0, 8.3]",3754235,1,,,,,-0.28605145,,Right Foot,,,"[58.1, 1.8]",Low Pass,,23.036058,,,James McClean,3514.0,,,,,Recovery,1,Regular Play,Jonathan Grant Evans,11012.0,Left Back,4,West Bromwich Albion,27,"['23d0158e-53b6-42ef-945e-fda7e2749851', 'cc1399b6-02cd-45e8-b7c7-0b35ac1f5724']",6,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:06.027,Pass,
,,,,,,,,,,,,,,,,2.638208,,,,,,,,,,,,,f36ea4c2-9254-4fc0-a27c-6cbeb1a113ab,73,,,"[54.1, 1.4]",3754235,1,,,,,0.010637896,,Left Foot,,,"[91.7, 1.8]",High Pass,,37.602127,Incomplete,,,,,,,,,1,Regular Play,James McClean,3514.0,Left Midfield,4,West Bromwich Albion,27,['0f933160-e9c5-4549-9780-01e7ef9afe60'],9,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:09.938,Pass,
,,,,,,,,,,,,,,,,2.322644,,,,,,,,,,,,,e2e6bb9c-f9ea-4c9e-8955-72031da6d502,76,,,"[7.6, 78.5]",3754235,1,,,,,0.05371173,,Right Foot,,,"[35.5, 80.0]",High Pass,,27.940294,Out,,,,,,,,,1,Regular Play,Carl Jenkinson,21254.0,Right Back,4,West Bromwich Albion,27,,15,,,,,,,,,,,,,,,,West Ham United,40,00:01:15.812,Pass,
,,,,,,,,,,,,,,,,2.541255,,,,,,,,,,,,,9c598283-3c80-4615-ac2b-cf45c200be3a,77,,,"[89.0, 0.1]",3754235,1,,,,,3.065435,,,,,"[64.1, 2.0]",Low Pass,,24.972385,,,Jonas Olsson,20527.0,,,,,Throw-in,1,From Throw In,Jonathan Grant Evans,11012.0,Left Back,5,West Bromwich Albion,27,['3e77ffca-f2cc-41d6-8799-29ea216c9513'],32,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:32.700,Pass,
