50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_saved_to_post,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.350372,,,,,,,,,,,,,,,,,7e8be6bf-8e51-4fc3-b877-991f2cb94112,59,,"[45.6, 45.5]",3754252,0,,,,,-0.92798823,,Right Foot,,"[62.9, 22.4]",,Ground Pass,,28.860006,,,,Georginio Wijnaldum,3567.0,,,,,,Recovery,1,Regular Play,Daryl Janmaat,3650.0,Right Back,4,Everton,29,"['6b681411-0c06-49c0-8cf2-77488eacf2e0', 'e405e0a9-2d0e-4d79-89fb-f6be222ae2a9']",45,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:45.775,Pass,
,,,,,,,,,,,,,,,,,,,3.318335,,,,,,,,,,,,,,,,,591397e0-f583-45f3-8918-006f64a399a7,67,,"[64.7, 55.8]",3754252,0,,,,,-0.06484403,,Right Foot,,"[95.5, 53.8]",,Ground Pass,,30.864866,,,Incomplete,Romelu Lukaku Menama,3289.0,,,,,,,1,Regular Play,Ross Barkley,4275.0,Center Attacking Midfield,4,Everton,29,"['47ada3f6-44e2-44a7-aea1-fd869f30c986', '5b955c67-e088-4b8d-8329-edc54ea2eed8']",51,,,,,,,,,,,,,,,,,,Everton,29,00:00:51.838,Pass,
,,,,,,,,,,,,,,,,,,,1.644385,,,,,,,,,,,,,,,,,47ada3f6-44e2-44a7-aea1-fd869f30c986,70,,"[24.6, 26.3]",3754252,0,,,,,2.583432,,Right Foot,,"[4.1, 39.1]",,Ground Pass,,24.167953,,,,Rob Elliot,3096.0,,,,,,Recovery,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,4,Everton,29,"['591397e0-f583-45f3-8918-006f64a399a7', '7b8e422e-9fb9-47bf-bfba-51da1567840e', 'f5adb231-078c-4c08-a3d3-4ea03e1d64c5']",55,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:55.157,Pass,True
,,,,,,,,,,,,,,,,,,,1.841394,,,,,,,,,,,,,,,,,ab10075e-41f2-44c4-b7f7-bdc22cf0a644,73,,"[4.1, 39.1]",3754252,0,,,,,0.0,,Left Foot,,"[54.2, 39.1]",,Low Pass,,50.1,,,Incomplete,Ayoze Pérez Gutiérrez,3076.0,,,,,,,1,Regular Play,Rob Elliot,3096.0,Goalkeeper,4,Everton,29,"['c6312767-7d52-4fab-9149-9b186223904e', 'f30bd5a7-b3eb-4c1b-a3a0-a8c7d5d0072a']",56,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:56.996,Pass,
,,,,,,,,,,,,,,,,,,,1.372809,,,,,,,,,,,,,,,,,c6312767-7d52-4fab-9149-9b186223904e,75,,"[65.9, 41.0]",3754252,0,,,,,1.5874615,,Left Foot,,"[65.5, 65.0]",,Low Pass,,24.003334,,,,James McCarthy,3607.0,,,,,,Recovery,1,Regular Play,Gareth Barry,3633.0,Left Defensive Midfield,4,Everton,29,"['6c3206e1-3a08-428f-83d6-e77b62707be7', 'ab10075e-41f2-44c4-b7f7-bdc22cf0a644']",58,,,,,,,,,,,,,,,,,,Everton,29,00:00:58.837,Pass,
,,,,,,,,,,,,,,,,,,,1.878227,,,,,,,,,,,,,,,,,75ce57ad-1187-4f1f-8b58-9b4ded1ffc07,78,,"[63.4, 59.6]",3754252,1,,,,,-2.7123444,,Left Foot,,"[43.3, 50.4]",,Ground Pass,,22.105429,,,,Phil Jagielka,20046.0,,,,,,,1,Regular Play,James McCarthy,3607.0,Right Defensive Midfield,4,Everton,29,['af955956-a33a-48c5-a5be-744823a6d5b0'],0,,,,,,,,,,,,,,,,,,Everton,29,00:01:00.972,Pass,
,,,,,,,,,,,,,,,,,,,1.972082,,,,,,,,,,,,,,,,,fdda035e-407f-4bb5-ae1e-f987e37a6c0c,81,,"[43.1, 47.4]",3754252,1,,,,,-1.5503213,,Right Foot,,"[43.7, 18.1]",,Ground Pass,,29.306143,,,,José Ramiro Funes Mori,4629.0,,,,,,,1,Regular Play,Phil Jagielka,20046.0,Right Center Back,4,Everton,29,['55f23d7a-3d4e-48e2-97c6-08a3424c635c'],4,,,,,,,,,,,,,,,,,,Everton,29,00:01:04.040,Pass,
,,,,,,,,,,,,,,,,,,,1.628957,,,,,,,,,,,,,,,,,d4b30189-9e96-4f95-a762-b0a03d3a4bbb,84,,"[51.0, 15.5]",3754252,1,,,,,1.8940024,,Left Foot,,"[44.1, 36.1]",,Ground Pass,,21.72487,,,,Phil Jagielka,20046.0,,,,,,,1,Regular Play,José Ramiro Funes Mori,4629.0,Left Center Back,4,Everton,29,['21e39f5f-2801-4911-bb53-45d1117cb6e9'],8,,,,,,,,,,,,,,,,,,Everton,29,00:01:08.959,Pass,
,,,,,,,,,,,,,,,,,,,2.716972,,,,,,,,,,,,,,,,,12aa73f4-5470-42d5-adc3-fb6f9b5e13f5,87,,"[44.8, 38.6]",3754252,1,,,,,0.7977772,,Right Foot,,"[80.7, 75.4]",,High Pass,,51.410603,,,,Aaron Lennon,3953.0,,,,,,,1,Regular Play,Phil Jagielka,20046.0,Right Center Back,4,Everton,29,['d8d3c38c-8bc4-4cda-877f-4a5f9598eabb'],11,,,,,,,,,,,,,,,,,,Everton,29,00:01:11.791,Pass,
,,,,,,,,,,,,,,,,,,,0.826895,,,,,,,,,,,,,,,,,500569eb-4aeb-47ed-822d-35f9db328d94,100,,"[38.5, 34.2]",3754252,1,,,,,-0.44204602,,Right Foot,,"[51.6, 28.0]",,Ground Pass,,14.493102,,,,Ayoze Pérez Gutiérrez,3076.0,,,,,,,1,Regular Play,Henri Saivet,5110.0,Right Defensive Midfield,5,Newcastle United,37,['beed700c-e23a-4ee2-9c58-5b3cd275d53c'],24,,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:24.284,Pass,
,,,,,,,,,,,,,,,,,,,1.113597,,,,,,,,,,,,,,,,,35a96a1a-8caf-4eda-aa90-8f9ed638ec2e,104,,"[52.4, 25.8]",3754252,1,,,,,-0.9312091,,Right Foot,,"[64.6, 9.4]",,Ground Pass,,20.440157,,,,Andros Townsend,3297.0,,,,,,,1,Regular Play,Ayoze Pérez Gutiérrez,3076.0,Center Forward,5,Newcastle United,37,"['83dfec87-90df-45ea-98b6-9c47a36e1981', '871e2f28-32df-4165-ba9d-c3120941dbfc']",26,,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:26.126,Pass,True
,,,,,,,,,,,,,,,,,,,0.750213,,,,,,,,,,,,,,,,,685fff8c-7db2-42bb-ac5e-8ab5c6d41d7f,107,,"[88.4, 39.3]",3754252,1,,,,,-1.1441689,,Left Foot,,"[95.4, 23.9]",,Ground Pass,,16.916264,,,,Moussa Sissoko,3091.0,,,,,,,1,Regular Play,Andros Townsend,3297.0,Left Wing,5,Newcastle United,37,['fe467626-7231-4e65-901b-b71f6ba13407'],33,,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:33.772,Pass,
,,,,,,,,,,,,,,,,,,,1.568737,,,,,,,,,,,,,,,,,5b4d4621-c31e-4e3b-a218-969f8da6900a,111,,"[6.0, 44.0]",3754252,2,,,,,1.025271,,Right Foot,,"[18.2, 64.1]",,Ground Pass,,23.512762,,,,Phil Jagielka,20046.0,,,,,,Goal Kick,1,From Goal Kick,Joel Robles Blázquez,16309.0,Goalkeeper,6,Everton,29,['f825236f-bf1c-43fb-8c2e-53506a4579cd'],1,,,,,,,,,,,,,,,,,,Everton,29,00:02:01.192,Pass,
,,,,,,,,,,,,,,,,,,,2.196637,,,,,,,,,,,,,,,,,5d154734-1981-4ac3-b1dc-369a2f9b9ebb,114,,"[18.5, 64.1]",3754252,2,,,,,-1.9340878,,Right Foot,,"[9.3, 39.9]",,Ground Pass,,25.889767,,,,Joel Robles Blázquez,16309.0,,,,,,,1,From Goal Kick,Phil Jagielka,20046.0,Right Center Back,6,Everton,29,['65ce6636-e916-4cae-87a0-638fa87d83fe'],2,,,,,,,,,,,,,,,,,,Everton,29,00:02:02.801,Pass,
,,,,,,,,,,,,,,,,,,,3.035535,,,,,,,,,,,,,,,,,4ae5394f-284e-4e80-a47d-fed0666861b2,117,,"[10.5, 38.0]",3754252,2,,,,,-0.67301285,,Right Foot,,"[52.9, 4.2]",,High Pass,,54.22361,,,,Bryan Oviedo,5836.0,,,,,,,1,From Goal Kick,Joel Robles Blázquez,16309.0,Goalkeeper,6,Everton,29,['6054d968-bacb-4d91-b3fa-ba3f74cf98be'],7,,,,,,,,,,,,,,,,,,Everton,29,00:02:07.373,Pass,
,,,,,,,,,,,,,,,,,,,1.907797,,,,,,,,,,,,,,,,,e8b60a2a-47a7-4403-a646-9a3853a2fffb,124,,"[54.6, 3.6]",3754252,2,,,,,2.958193,,Right Foot,,"[42.2, 5.9]",,Ground Pass,,12.611503,,,,José Ramiro Funes Mori,4629.0,,,,,,,1,From Goal Kick,Bryan Oviedo,5836.0,Left Back,6,Everton,29,['dc5b2a11-2468-4205-aa54-42dbeff44039'],12,,,,,,,,,,,,,,,,,,Everton,29,00:02:12.247,Pass,
,,,,,,,,,,,,,,,,,,,2.012657,,,,,,,,,,,,,,,,,b4711103-f249-46cf-a490-44adef1ebeb7,127,,"[44.1, 6.1]",3754252,2,,,,,1.8253405,,Left Foot,,"[35.8, 38.0]",,Ground Pass,,32.9621,,,,Phil Jagielka,20046.0,,,,,,,1,From Goal Kick,José Ramiro Funes Mori,4629.0,Left Center Back,6,Everton,29,['92a6c1be-f9a6-4eef-85b3-abcb3d30fe10'],15,,,,,,,,,,,,,,,,,,Everton,29,00:02:15.988,Pass,
