bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.257193,,,,,,,,,,,,,,,8c81d2b6-f461-4f6b-bbad-18af1f115299,51,,"[56.1, 19.2]",3754219,0,,,,0.16962492,,Left Foot,,,"[74.2, 22.3]",,Ground Pass,,18.36355,,,,Glenn Murray,3085.0,,,,,,1,Regular Play,Charlie Daniels,3345.0,Left Back,4,AFC Bournemouth,28,"['c5109956-4699-454b-8327-9558412452c5', 'd40f4847-5f96-42f9-bc66-92141f3215ff']",43,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:43.298,Pass,True
,,,,,,,,,,,,,,,,0.663993,,,,,,,,,,,,,,,268ea199-023d-4b2e-8afa-3c6b7b35a999,55,,"[69.6, 9.4]",3754219,0,,,,-1.714535,,Right Foot,,,"[68.5, 1.8]",,Ground Pass,,7.6791925,,,,Junior Stanislas,3463.0,,,,,,1,Regular Play,Glenn Murray,3085.0,Center Forward,4,AFC Bournemouth,28,['47e567a8-2986-4e59-bde9-829e64e4c32d'],46,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:46.474,Pass,
,,,,,,,,,,,,,,,,0.72438,,,,,,,,,,,,,,,e3af2006-a98f-4e7f-b720-3bf68652edae,58,,"[70.4, 2.0]",3754219,0,,,,-0.058491763,,Left Foot,,,"[92.6, 0.7]",,Ground Pass,,22.238031,,Out,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Junior Stanislas,3463.0,Left Midfield,4,AFC Bournemouth,28,"['0500971f-2cc8-4521-91e2-898ca8d10626', 'ba5c5c84-53f8-4c38-9599-76d857cf4dae']",47,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:47.138,Pass,True
,,,,,,,,,,,,,,,,1.494925,,,,,,,,,,,,,,,04eb1e4d-20d9-4294-8268-36dd354db6d8,60,,"[28.5, 80.0]",3754219,1,,,,-0.088845946,,,,,"[63.3, 76.9]",,High Pass,,34.9378,,,,José Salomón Rondón Giménez,4041.0,,,,,Throw-in,1,From Throw In,Craig Dawson,3523.0,Right Back,5,West Bromwich Albion,27,['a3011443-5ffb-44ce-9907-7fa2896eb21b'],12,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:12.882,Pass,
,,,,,,,,,,,,,,,,1.334958,,,,,,,,,,,,,,,994dd400-208d-474d-818e-d1a048f5b606,62,,"[64.0, 76.9]",3754219,1,,,True,-0.94270825,,,,,"[70.1, 68.5]",,High Pass,,10.381233,,Incomplete,,Craig Gardner,9485.0,,,,,,1,From Throw In,José Salomón Rondón Giménez,4041.0,Center Forward,5,West Bromwich Albion,27,"['22e2411d-cf27-4ac1-83bd-25976da6a0bd', '84f47727-e425-4907-8c7c-57c477e58220', 'cfc36c0a-680f-44e9-8a3b-5855a1e6e2ca']",14,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:14.417,Pass,True
,,,,,,,,,,,,,,,,0.787352,,,,,,,,,,,,,,,22e2411d-cf27-4ac1-83bd-25976da6a0bd,65,,"[50.0, 11.6]",3754219,1,,,,0.18164884,,Left Foot,,,"[59.8, 13.4]",,Low Pass,,9.963935,,,,Dan Gosling,3343.0,,,,,Recovery,1,From Counter,Andrew Surman,3344.0,Center Defensive Midfield,6,AFC Bournemouth,28,"['1795a9c6-c3b1-40a1-a1e1-23d14d8d3307', '994dd400-208d-474d-818e-d1a048f5b606']",15,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:15.752,Pass,
,,,,,,,,,,,,,,,,1.715049,,,,,,,,,,,,,,,0ae7d3e9-8f18-4218-bc30-40bc3db5e9d4,74,,"[66.8, 21.5]",3754219,1,,,,0.23233445,,Right Foot,,,"[89.2, 26.8]",,High Pass,,23.01847,,Incomplete,,Glenn Murray,3085.0,,,,,,1,From Counter,Dan Gosling,3343.0,Right Center Midfield,6,AFC Bournemouth,28,"['17c4aed1-005e-4c2f-ab8c-e8092c7a2531', 'e0e17151-b874-41d1-8a64-bd32d081397c', 'f59bddc8-0346-4e29-87c8-1c40afb2c0b0']",18,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:18.879,Pass,True
,,,,,,,,,,,,,,,,1.149898,,,,,,,,,,,,,,,e0e17151-b874-41d1-8a64-bd32d081397c,76,,"[30.9, 53.3]",3754219,1,,,,-0.83939964,,Right Foot,,,"[34.4, 49.4]",,Low Pass,,5.240229,,,,Darren Fletcher,4022.0,,,,,Recovery,1,Regular Play,Gareth McAuley,3596.0,Right Center Back,7,West Bromwich Albion,27,"['0ae7d3e9-8f18-4218-bc30-40bc3db5e9d4', '40cf11ea-7875-4f12-9a2e-4140fde9f912']",20,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:20.594,Pass,
,,,,,,,,,,,,,,,,0.98298,,,,,,,,,,,,,,,d3d52081-044f-4feb-9fd2-1b102325f608,79,,"[33.7, 50.4]",3754219,1,,,,2.1236374,,Right Foot,,,"[27.9, 59.8]",,Ground Pass,,11.045361,,,,Craig Dawson,3523.0,,,,,,1,Regular Play,Darren Fletcher,4022.0,Right Center Midfield,7,West Bromwich Albion,27,['9a78983f-057d-4e39-a564-f637e4177b37'],21,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:21.784,Pass,
,,,,,,,,,,,,,,,,1.495798,,,,,,,,,,,,,,,d97ca19c-fcea-492c-80ac-e44ed770363e,82,,"[26.5, 60.5]",3754219,1,,,,-0.33489197,,Right Foot,,,"[51.5, 51.8]",,High Pass,,26.47055,,Incomplete,,,,,,,,,1,Regular Play,Craig Dawson,3523.0,Right Back,7,West Bromwich Albion,27,['42534dc0-b656-4e0a-8342-ac74df234c56'],22,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:22.870,Pass,
,,,,,,,,,,,,,,,,1.138226,,,,,,,,,,,,,,,6a6497e1-e235-4a60-a4d0-716bcbbe0df6,85,,"[75.3, 27.1]",3754219,1,,,,-1.1010759,,Left Foot,,,"[85.3, 7.4]",,Ground Pass,,22.092758,,,,Junior Stanislas,3463.0,,,,,,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,8,AFC Bournemouth,28,['52d067bc-cb79-4854-bc19-2ab63956b01c'],25,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:25.617,Pass,
,,,,,,,,,,,,,,,,0.972124,,,,,,,,,,,,,,,409258f5-2598-41d2-b61b-c23c06f10599,88,,"[101.0, 15.4]",3754219,1,,,,1.617637,,Right Foot,,,"[100.4, 28.2]",,Ground Pass,,12.8140545,,,,Glenn Murray,3085.0,,,,,,1,Regular Play,Junior Stanislas,3463.0,Left Midfield,8,AFC Bournemouth,28,['116313f9-5b7e-4465-a25b-6e5552829b94'],30,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:30.252,Pass,
,,,,,,,,,,,,,,,,1.330201,,,,,,,,,,,,,,,ca1ae31d-0340-4c59-9dce-e507e4980f6b,91,,"[99.5, 30.7]",3754219,1,,,,-2.2242227,1be2cefc-b366-455c-9d03-4b10852ee83e,Left Foot,,,"[94.6, 24.3]",,Ground Pass,,8.060397,,,,Junior Stanislas,3463.0,True,,,,,1,Regular Play,Glenn Murray,3085.0,Center Forward,8,AFC Bournemouth,28,['37fd52db-2f81-4b50-9de7-27bfbdc56b6f'],31,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:31.348,Pass,
,,,,,,,,,,,,,,,,1.017237,,,,,,,,,,,,,,,cf6fd76f-6c20-456c-8c55-bc348b39faf1,95,,"[106.5, 0.1]",3754219,1,True,,,2.8725984,,,,,"[88.0, 5.2]",,Low Pass,,19.190102,,,,Dan Gosling,3343.0,,,,,Throw-in,1,From Throw In,Charlie Daniels,3345.0,Left Back,9,AFC Bournemouth,28,['5f823634-41cb-4f14-a5c0-6ae1cf097892'],53,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:53.308,Pass,
,,,,,,,,,,,,,,,,2.511901,,,,,,,,,,,,,,,660fe8b9-a7c8-401a-ab08-a2f8f28d8037,97,,"[87.8, 5.2]",3754219,1,,,,2.1233182,,Right Foot,,,"[75.9, 24.5]",,Ground Pass,,22.673773,,,,Andrew Surman,3344.0,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,9,AFC Bournemouth,28,['af87ca97-bf89-4742-98f0-d2ff24a6041a'],55,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:55.368,Pass,
,,,,,,,,,,,,,,,,2.426524,,,,,,,,,,,,,,,1b5299ba-c5c9-405f-8ae1-19ac5c17b1b7,100,,"[74.5, 38.6]",3754219,1,,,,1.9406381,,Right Foot,,,"[63.8, 66.2]",,Ground Pass,,29.60152,,,,Adam Smith,6409.0,,,,,,1,From Throw In,Andrew Surman,3344.0,Center Defensive Midfield,9,AFC Bournemouth,28,['835c9e3d-520b-442a-84a8-58b49fd90bc8'],57,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:57.880,Pass,
,,,,,,,,,,,,,,,,2.193756,,,,,,,,,,,,,,,4dd348dd-f702-4fbd-9fd0-13578804751f,112,,"[68.2, 73.6]",3754219,2,,,,-1.9968894,,Left Foot,,,"[55.4, 45.4]",,Ground Pass,,30.969017,,,,Steve Cook,3341.0,,,,,,1,From Throw In,Harry Arter,3304.0,Left Center Midfield,9,AFC Bournemouth,28,['3155fac9-593a-4294-a373-b3ca6a55f18c'],10,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:10.108,Pass,
,,,,,,,,,,,,,,,,1.608755,,,,,,,,,,,,,,,12124bd5-1701-48d8-bf52-e5b8cfb0cf19,115,,"[63.8, 41.2]",3754219,2,,,,-1.2499777,,Right Foot,,,"[74.5, 9.0]",,Ground Pass,,33.931255,,,,Charlie Daniels,3345.0,,,,,,1,From Throw In,Steve Cook,3341.0,Left Center Back,9,AFC Bournemouth,28,['15b1bf29-24fb-4c6f-b3a6-d24dd2e228e0'],13,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:13.892,Pass,
,,,,,,,,,,,,,,,,1.086868,,,,,,,,,,,,,,,b898069e-6a70-4280-8cb0-72e6e9df2f74,119,,"[74.7, 5.8]",3754219,2,,,,2.3228736,,Left Foot,,,"[68.9, 12.0]",,Ground Pass,,8.489994,,,,Dan Gosling,3343.0,,,,,,1,From Throw In,Charlie Daniels,3345.0,Left Back,9,AFC Bournemouth,28,"['8a1f4bf1-9075-46e4-a64a-07ee125714e7', 'b7660137-e366-460d-8764-93f3e927872c']",17,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:17.182,Pass,True
,,,,,,,,,,,,,,,,0.798797,,,,,,,,,,,,,,,84297501-8f0a-48b6-95d7-343bb010e41f,122,,"[73.5, 13.6]",3754219,2,,,,0.35230872,,Right Foot,,,"[87.1, 18.6]",,Ground Pass,,14.489997,,,,Junior Stanislas,3463.0,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,9,AFC Bournemouth,28,['c6d760a1-d970-4494-beb8-72d563cee4a5'],19,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:19.871,Pass,
,,,,,,,,,,,,,,,,1.086774,,,,,,,,,,,,,,,1ff06dda-73c1-4f63-adca-df71f4a5d122,124,,"[87.1, 19.2]",3754219,2,,,,-2.8838873,,Right Foot,,,"[74.2, 15.8]",,Ground Pass,,13.34054,,,,Dan Gosling,3343.0,,,,,,1,From Throw In,Junior Stanislas,3463.0,Left Midfield,9,AFC Bournemouth,28,['7fbd9a48-ecc8-475a-8e44-b746195d209d'],20,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:20.670,Pass,
,,,,,,,,,,,,,,,,1.678422,,,,,,,,,,,,,,,14012aa9-4a1a-438f-96f2-45b3447cb634,127,,"[74.1, 15.8]",3754219,2,,,,-0.030524867,,Right Foot,,,"[100.3, 15.0]",,Ground Pass,,26.212212,,Pass Offside,,Glenn Murray,3085.0,,,,,,1,From Throw In,Dan Gosling,3343.0,Right Center Midfield,9,AFC Bournemouth,28,['1f6a91e6-714a-48d7-bcbd-f92215f44326'],22,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:22.666,Pass,
