bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[89.8, 52.3]",,,,,,,,,,,,0.873099,,,,,,,,,,,,,,,f3e47b68-0cb4-4337-baba-a4b8fe20d020,2152,,"[90.1, 52.3]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabio Borini,7171.0,Right Midfield,123,Sunderland,41,"['2fa10c10-bc42-44ae-9a0f-bc3d7d77da27', '38a9fc61-6d5c-436f-ac20-3b4d91a36374']",16,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:16.300,Carry,
,,,,,"[100.8, 40.9]",,,,,,,,,,,,0.649706,,,,,,,,,,,,,,,34df64bc-d4c3-4342-8f9f-290ffe107ec2,2155,,"[100.8, 40.9]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jermain Defoe,3337.0,Center Forward,123,Sunderland,41,"['523612ce-286a-478e-8205-63a1b0b1600d', 'bdb33ebc-7bb8-4fd9-a697-7fd4a790cae3']",17,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:17.736,Carry,
,,,,,"[117.5, 26.8]",,,,,,,,,,,,2.672647,,,,,,,,,,,,,,,8d4dc6c0-584e-4054-9b39-8b046af7bc0c,2158,,"[117.3, 29.3]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wahbi Khazri,3196.0,Left Midfield,123,Sunderland,41,"['1b1464ef-56c1-4834-af2a-7fb1725b8157', '8d08906f-9e1a-43d4-97c2-9aefe1951024']",21,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:21.004,Carry,
,,,,,"[108.7, 14.1]",,,,,,,,,,,,0.833487,,,,,,,,,,,,,,,606a11a0-75e5-41c7-bef2-3f343d3a52d5,2166,,"[108.7, 15.7]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Younes Kaboul,4746.0,Left Center Back,125,Sunderland,41,"['23add54e-600f-4f97-b319-296a3d6689f8', 'eb730b90-6176-4c8d-9290-0ad239206082']",57,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:57.626,Carry,
,,,,,"[90.0, 12.9]",,,,,,,,,,,,1.08,,,,,,,,,,,,,,,f1bea6ba-21b4-4e47-a754-df9bb72baa3a,2169,,"[93.7, 12.9]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fabio Borini,7171.0,Right Midfield,125,Sunderland,41,"['4458dfd1-a833-48ce-9798-961ae9fcdb76', 'b6198fc7-d5a1-4d75-ac50-aa2960397e57']",59,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:59.822,Carry,
,,,,,"[67.2, 56.0]",,,,,,,,,,,,0.750691,,,,,,,,,,,,,,,a2f7f5fc-1389-4cf1-8c32-b2726035d0e6,2172,,"[68.3, 62.7]",3754175,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,125,Sunderland,41,"['3792944a-905d-4a71-b9dc-195dbda0f8ef', 'b79beb12-702c-40bc-bea8-559fd213f63e']",4,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:04.185,Carry,
,,,,,"[60.3, 45.9]",,,,,,,,,,,,0.879999,,,,,,,,,,,,,,,1a7187f3-0b6a-416b-8877-b4016a8d9e07,2175,,"[62.0, 47.1]",3754175,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,DeAndre Yedlin,3658.0,Right Back,125,Sunderland,41,"['3e1d83b6-ea35-40d2-a48a-397e71ada052', '49c253b5-6a82-47d7-96d2-e58994f43430']",6,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:06.217,Carry,
,,,,,"[29.4, 52.4]",,,,,,,,,,,,1.412218,,,,,,,,,,,,,,,8bc59126-4730-440c-9a80-5fe4747da765,2178,,"[27.0, 52.4]",3754175,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vito Mannone,9539.0,Goalkeeper,125,Sunderland,41,"['3de0f208-7354-4cea-902d-fbc8c76fa586', 'a9f1944e-5472-4e37-b99a-ec8b1a351add']",10,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:10.340,Carry,
,,,,,"[35.9, 65.8]",,,,,,,,,,,,0.547433,,,,,,,,,,,,,,,c0cac038-c9b2-41b7-b02f-e0cb1d56c491,2186,,"[36.5, 64.2]",3754175,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Craig Dawson,3523.0,Right Back,126,West Bromwich Albion,27,"['56650f93-9c6b-4ba0-874e-e67adc909b6f', '61665f6f-44d0-4679-93dd-5574a325b33d', 'a88b330a-2699-42a6-be49-0353a26695e6']",16,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:19:16.824,Carry,True
,,,,,"[94.4, 66.7]",,,,,,,,,,,,2.147609,,,,,,,,,,,,,,,7c8159d7-701a-4504-bde7-e598a4c6348b,2194,,"[79.3, 74.9]",3754175,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Salomón Rondón Giménez,4041.0,Right Center Forward,126,West Bromwich Albion,27,"['0a3a97c7-346a-4d3c-8d8a-72acbf9a3a80', 'a28bac26-7c83-44c1-b9cf-4b5118242e93']",22,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:19:22.746,Carry,
