ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.101898,,,,,,,,,,,,7ada1e5f-35ca-422e-91a2-39f7b8b18c00,51,,"[66.8, 76.2]",3754262,0,,,,,-1.3439975,,Right Foot,,,"[67.1, 74.9]",,Low Pass,,1.3341664,,Incomplete,,,,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,4,AFC Bournemouth,28,"['09e983fb-f683-4a22-b008-e16d6b954da2', 'e05dab41-f8fb-4bd3-9261-a330f8636a4d']",48,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:48.358,Pass,True
,,,,,,,,,,,,,,,,0.813343,,,,,,,,,,,,9d340857-5f96-4ab6-838e-9f894acd915c,56,,"[68.1, 68.8]",3754262,0,,,,,-1.9347752,,Left Foot,,,"[64.1, 58.3]",,Ground Pass,,11.236102,,,,Andrew Surman,3344.0,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,4,AFC Bournemouth,28,['f72deb1b-e88c-4134-8c96-923eb121ce7a'],52,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:52.068,Pass,
,,,,,,,,,,,,,,,,0.758894,,,,,,,,,,,,63260fe1-a81a-403d-80d4-4ec55641b2c3,60,,"[75.3, 58.4]",3754262,0,,,,,-0.011363147,,Left Foot,,,"[84.1, 58.3]",,Ground Pass,,8.800569,,,,Joshua King,3346.0,,,,,,1,Regular Play,Andrew Surman,3344.0,Right Defensive Midfield,4,AFC Bournemouth,28,"['0690ca80-d2fd-405d-a486-e975ed8d6747', 'f91fb2b3-6507-4850-8d47-9b9d74437029']",54,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:54.983,Pass,True
,,,,,,,,,,,,,,,,2.623715,,,,,,,,,,,,fbd240d3-4d02-4487-ba89-9e9ae04f0568,62,,"[84.1, 58.3]",3754262,0,,,,,1.4063951,,Right Foot,,,"[87.7, 80.0]",,Ground Pass,,21.996592,,Out,,Dan Gosling,3343.0,,,,,,1,Regular Play,Joshua King,3346.0,Center Forward,4,AFC Bournemouth,28,['29cb5ee6-7af4-417c-bf70-c8509642551c'],55,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:55.742,Pass,
,,,,,,,,,,,,,,,,2.15383,,,,,,,,,,,,51b0d73c-124c-44ef-805c-413a4a8a40fc,64,,"[33.5, 0.1]",3754262,1,,,,,0.114540696,,,,,"[56.1, 2.7]",,High Pass,,22.749065,,Incomplete,,Kieran Richardson,42701.0,,,,,Throw-in,1,From Throw In,Aly Cissokho,27146.0,Left Back,5,Aston Villa,59,"['eb8ecb25-499b-4b71-b0b3-036fc22c6634', 'eca51692-e6b0-43da-ab72-d09fa65da875']",10,,,,,,,,,,,,,,,,,Aston Villa,59,00:01:10.470,Pass,
,,,,,,,,,,,,,,,,2.093554,,,,,,,,,,,,eb8ecb25-499b-4b71-b0b3-036fc22c6634,66,,"[64.0, 77.4]",3754262,1,,,,,-3.0894012,,Head,,,"[50.6, 76.7]",,Low Pass,,13.418271,,,,Tommy Elphick,9626.0,,,,,Recovery,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,6,AFC Bournemouth,28,"['2feef210-bd70-45cf-b14f-970afe825b2d', '51b0d73c-124c-44ef-805c-413a4a8a40fc']",12,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:12.623,Pass,
,,,,,,,,,,,,,,,,2.680367,,,,,,,,,,,,13d359ae-9ad0-412b-adf5-bcd732ae7e12,69,,"[52.1, 76.5]",3754262,1,,,,,-2.1269627,,Right Foot,,,"[40.6, 58.0]",,Ground Pass,,21.78302,,,,Steve Cook,3341.0,,,,,,1,Regular Play,Tommy Elphick,9626.0,Right Center Back,6,AFC Bournemouth,28,"['089328b4-fbd7-4d31-b001-acb94d5cd463', 'b5d140fd-9b1a-43d0-a4f5-f056f7e93273']",14,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:14.717,Pass,True
,,,,,,,,,,,,,,,,1.849621,,,,,,,,,,,,ad9416ab-da05-4f43-a8d7-c6079ddba415,72,,"[45.5, 48.9]",3754262,1,,,,,-1.4744414,,Right Foot,,,"[48.1, 22.0]",,Ground Pass,,27.025358,,,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Steve Cook,3341.0,Left Center Back,6,AFC Bournemouth,28,['33b65e94-9270-487d-b471-eb4aa68eb804'],18,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:18.793,Pass,
,,,,,,,,,,,,,,,,2.439621,,,,,,,,,,,,4c92c7a5-14a8-49f2-8fdd-e5d9e1aa5ff5,75,,"[45.9, 20.3]",3754262,1,,,,,2.5250263,,Left Foot,,,"[25.3, 34.9]",,Ground Pass,,25.249159,,,,Steve Cook,3341.0,,,,,,1,Regular Play,Charlie Daniels,3345.0,Left Back,6,AFC Bournemouth,28,['ae1cebc2-955b-4191-b46e-18d1158815a5'],22,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:22.502,Pass,
,,,,,,,,,,,,,,,,2.380647,,,,,,,,,,,,0126b638-dbd3-445c-81dd-b2543c0ca55c,77,,"[25.3, 34.9]",3754262,1,,,,,1.4968573,,Right Foot,,,"[27.1, 59.2]",,Ground Pass,,24.366575,,,,Tommy Elphick,9626.0,,,,,,1,Regular Play,Steve Cook,3341.0,Left Center Back,6,AFC Bournemouth,28,['802bc763-d9c8-4a64-a1a4-e6844b7a1077'],24,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:24.942,Pass,
