50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.512372,,,,,,,,,,,,,046607a3-b763-4983-aef5-f638df7cc0a7,1811,,"[110.2, 65.8]",3754188,49,,,,,-1.4056476,,Left Foot,True,,,"[113.4, 46.6]",,Low Pass,,19.46484,Incomplete,,,,,,,,Free Kick,2,From Free Kick,Dušan Tadić,3831.0,Left Wing,116,Southampton,25,['af6ad82b-52cf-4a7b-9b6a-084cbcefdc7f'],1,,,,,,,,,,,,,,,,Southampton,25,00:04:01.920,Pass,
,,,,,,,,,,,,,,,,1.174793,,,,,,,,,,,,,d3edee07-eb63-41cb-b4b9-1930b18b8b77,1815,,"[87.1, 55.1]",3754188,49,,,,,0.84292626,,Right Foot,,,,"[96.1, 65.2]",,Ground Pass,,13.528119,Incomplete,Dušan Tadić,3831.0,,,,,,,2,From Free Kick,Steven Davis,3828.0,Right Wing,116,Southampton,25,"['6c4392a5-aaed-4bf0-a295-66be6ffd0530', 'ed02386a-9407-40dd-a4d1-0c318ca29ada']",6,,,,,,,,,,,,,,,,Southampton,25,00:04:06.340,Pass,
,,,,,,,,,,,,,,,,0.231186,,,,,,,,,,,,,bd56e3df-5fc4-41ae-b684-4224e02ce5ed,1819,,"[30.6, 11.9]",3754188,49,,,,,-0.124354996,,Right Foot,,,,"[37.0, 11.1]",,Ground Pass,,6.449806,Incomplete,Bamidele Alli,3094.0,,,,,,,2,From Free Kick,Christian Dannemann Eriksen,3043.0,Left Wing,116,Southampton,25,"['1056dd19-0b8d-463b-a82d-e47ce368036b', 'd0a08a89-504c-48e7-ba7d-2e27f8393873']",8,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:04:08.879,Pass,
,,,,,,,,,,,,,,,,0.911677,,,,,,,,,,,,,18990a30-90bc-4034-bad8-da3172ae48ed,1823,,"[75.4, 80.0]",3754188,49,,,,,-0.9216054,,,,,,"[83.9, 68.8]",,Low Pass,,14.060227,,Sadio Mané,3629.0,,,,,,Throw-in,2,From Throw In,Cédric Ricardo Alves Soares,3329.0,Right Back,117,Southampton,25,['9b541f07-7d8f-486e-9622-6e02669f627f'],37,,,,,,,,,,,,,,,,Southampton,25,00:04:37.793,Pass,
,,,,,,,,,,,,,,,,0.78281,,,,,,,,,,,,,f3541ef5-e52a-4a67-9d69-6b519c6fa079,1827,,"[85.8, 74.2]",3754188,49,,,,,-3.1071236,,Left Foot,,,,"[77.1, 73.9]",,Ground Pass,,8.705171,,Cédric Ricardo Alves Soares,3329.0,,,,,,,2,From Throw In,Sadio Mané,3629.0,Center Attacking Midfield,117,Southampton,25,['a4b1000c-4865-46ff-842c-0ce46e7663ce'],39,,,,,,,,,,,,,,,,Southampton,25,00:04:39.904,Pass,
,,,,,,,,,,,,,,,,0.652797,,,,,,,,,,,,,26adb527-1c55-45d3-8a89-fd88b8842b39,1830,,"[77.5, 73.9]",3754188,49,,,,,-0.42483217,,Right Foot,,,,"[90.1, 68.2]",,Low Pass,,13.829317,,Graziano Pellè,11062.0,,,,,,,2,From Throw In,Cédric Ricardo Alves Soares,3329.0,Right Back,117,Southampton,25,['87340391-ca41-427c-b899-bd8755dbe417'],40,,,,,,,,,,,,,,,,Southampton,25,00:04:40.784,Pass,
,,,,,,,,,,,,,,,,2.472063,,,,,,,,,,,,,05ac0431-3c5c-428f-b566-fee6da638ce2,1833,,"[89.9, 68.0]",3754188,49,,,,,0.5003816,,Right Foot,,,,"[110.2, 79.1]",,Low Pass,,23.13655,Out,Sadio Mané,3629.0,,,,,,,2,From Throw In,Graziano Pellè,11062.0,Center Forward,117,Southampton,25,['203314ac-b3f1-448e-a1fb-ab8326368204'],41,,,,,,,,,,,,,,,,Southampton,25,00:04:41.517,Pass,
,,,,,,,,,,,,,,,,1.764807,,,,,,,,,,,,,67628523-e780-4fc8-b88a-eb20d9977ec7,1835,,"[11.8, 0.1]",3754188,49,,,,,0.26188526,,,,,,"[40.9, 7.9]",,High Pass,,30.12723,,Bamidele Alli,3094.0,,,,,,Throw-in,2,From Throw In,Ben Davies,3086.0,Left Back,118,Tottenham Hotspur,38,['b9058844-c0a0-42bb-a527-32ed6788a39d'],54,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:04:54.479,Pass,
,,,,,,,,,,,,,,,,2.538786,,,,,,,,,,,,,869ea135-766d-46bd-840a-fd209fdc879c,1837,,"[40.9, 7.9]",3754188,49,,,,,-0.04051835,,Head,,,,"[63.1, 7.0]",,High Pass,,22.218235,Incomplete,,,,,,,,,2,From Throw In,Bamidele Alli,3094.0,Center Attacking Midfield,118,Tottenham Hotspur,38,['04eb91b2-ca36-408b-a659-435f3d91b692'],56,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:04:56.243,Pass,
,,,,,,,,,,,,,,,,2.103551,,,,,,,,,,,,,04eb91b2-ca36-408b-a659-435f3d91b692,1838,,"[57.0, 73.1]",3754188,49,,,,,-0.43240777,,Right Foot,,,,"[89.5, 58.1]",,High Pass,,35.79455,,Graziano Pellè,11062.0,,,,,,Recovery,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,119,Southampton,25,"['869ea135-766d-46bd-840a-fd209fdc879c', '8d19adde-9a24-4b65-8b91-4f13f64e18f8']",58,,,,,,,,,,,,,,,,Southampton,25,00:04:58.782,Pass,
