50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.484153,,,,,,,,,,,,,,5de658b1-0e8b-4b15-8b1c-5a6520ce0e6a,2536,,,"[93.4, 6.3]",3754139,67,,,,,-0.07233733,,Left Foot,,,"[100.3, 5.8]",,Ground Pass,,6.9180923,Incomplete,,André Ayew Pelé,3347.0,,,,,,2,Regular Play,Neil Taylor,9627.0,Left Back,151,Swansea City,26,"['45b39679-f4f7-4609-9cb7-f716d2f348a1', 'ce6414c4-4b04-43e6-8dda-ee3f0922ff65']",33,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:33.366,Pass,
,,,,,,,,,,,,,,,,,,,,1.435102,,,,,,,,,,,,,,fceb1049-6e75-4d64-8ae4-edf83a7e7d27,2543,,,"[98.9, 0.1]",3754139,67,,True,,,2.8090706,,,,,"[65.6, 11.6]",,High Pass,,35.229816,,,Ashley Williams,3644.0,,,,,Throw-in,2,From Throw In,Neil Taylor,9627.0,Left Back,152,Swansea City,26,['c779dc3b-1f8d-4d57-8751-e0f935ed09bc'],52,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:52.825,Pass,
,,,,,,,,,,,,,,,,,,,,5.881132,,,,,,,,,,,,,,5a126d62-da91-4efb-b6cf-5d6234a3baa2,2545,,,"[65.2, 11.3]",3754139,67,,,,,0.060146347,,Right Foot,,,"[120.0, 14.6]",,High Pass,,54.899273,Out,,Alberto Paloschi,6950.0,,,,,,2,From Throw In,Ashley Williams,3644.0,Left Center Back,152,Swansea City,26,['8b87e02c-0a2a-4011-a74c-5e71a4767026'],55,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:55.147,Pass,
,,,,,,,,,,,,,,,,,,,,1.04381,,,,,,,,,,,,,,5f519eb7-60d2-4606-a3d2-103b6bb02620,2549,,,"[7.0, 44.1]",3754139,68,,True,,,-0.15702978,,Right Foot,,,"[67.0, 34.6]",,Ground Pass,,60.74743,,,Virgil van Dijk,3669.0,,,,,Goal Kick,2,From Goal Kick,Fraser Forster,3970.0,Goalkeeper,153,Southampton,25,['e9a91ee2-3e1b-41a7-9a71-b7b9c01b2dd3'],15,,,,,,,,,,,,,,,,,,Southampton,25,00:23:15.253,Pass,
,,,,,,,,,,,,,,,,,,,,0.158113,,,,,,,,,,,,,,0b55c84a-5a49-438d-8cb4-f0726337c679,2551,,,"[26.4, 68.4]",3754139,68,,,,,0.6435011,,Right Foot,,,"[27.6, 69.3]",,Low Pass,,1.5,Incomplete,,Graziano Pellè,11062.0,,,,,,2,From Goal Kick,Virgil van Dijk,3669.0,Right Center Back,153,Southampton,25,"['27e4c948-4da9-41bc-9e8f-c5309d303fbc', '3ae2e50b-5112-46cc-a881-7c58d70e5809']",18,,,,,,,,,,,,,,,,,,Southampton,25,00:23:18.522,Pass,
,,,,,,,,,,,,,,,,,,,,2.56685,,,,,,,,,,,,,,e1295014-a7af-44bb-b422-68ac4a3eb89f,2555,,,"[5.8, 46.2]",3754139,68,,True,,,-0.061505903,,Drop Kick,,,"[74.0, 42.0]",,High Pass,,68.3292,,,James Ward-Prowse,3328.0,,,,,,2,From Goal Kick,Fraser Forster,3970.0,Goalkeeper,153,Southampton,25,['968a9a99-c087-476e-84a3-bd4eab261d9b'],32,,,,,,,,,,,,,,,,,,Southampton,25,00:23:32.783,Pass,
,,,,,,,,,,,,,,,,,,,,1.618018,,,,,,,,,,,,,,115527d6-09aa-4e5e-8181-e4c10f4639c0,2557,,,"[76.1, 41.8]",3754139,68,,,,,-0.8417487,,Head,,,"[85.3, 31.5]",,High Pass,,13.810503,,,Graziano Pellè,11062.0,,,,,,2,From Goal Kick,James Ward-Prowse,3328.0,Right Center Midfield,153,Southampton,25,['3565ab0e-65fc-4ea5-a54b-97c4e82e7f05'],35,,,,,,,,,,,,,,,,,,Southampton,25,00:23:35.409,Pass,
,,,,,,,,,,,,,,,,,,,,1.899062,,,,,,,,,,,,,,d4ab73fa-acf3-4ebb-a1e3-c25ee815f3c7,2560,,,"[85.3, 31.5]",3754139,68,,,,True,-3.0518346,,,,,"[75.3, 30.6]",,Low Pass,,10.040419,,,Jordy Clasie,16181.0,,,,,,2,From Goal Kick,Graziano Pellè,11062.0,Left Center Forward,153,Southampton,25,"['06a1fd60-6f22-4855-b04f-c19004aef2ef', 'dcd8034c-ad41-4632-954a-c2a5b3bd4462']",37,,,,,,,,,,,,,,,,,,Southampton,25,00:23:37.109,Pass,True
,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,058c5a70-45bf-4587-a95f-e4b84a8e1a09,2563,,,"[76.4, 29.5]",3754139,68,,,,,-2.0412006,,Right Foot,,,"[70.4, 17.7]",,Ground Pass,,13.237824,,,Ryan Bertrand,20045.0,,,,,,2,From Goal Kick,Jordy Clasie,16181.0,Center Defensive Midfield,153,Southampton,25,['00f0ddc7-5e84-4b21-9e16-37b4e4f78678'],40,,,,,,,,,,,,,,,,,,Southampton,25,00:23:40.513,Pass,
,,,,,,,,,,,,,,,,,,,,0.95561,,,,,,,,,,,,,,e84d20d9-7307-4343-870f-086854ac38a3,2566,,,"[71.7, 11.0]",3754139,68,,,,,-0.98279375,,Left Foot,,,"[77.3, 2.6]",,Ground Pass,,10.095544,,,Matt Targett,3651.0,,,,,,2,From Goal Kick,Ryan Bertrand,20045.0,Left Center Back,153,Southampton,25,['2423ed5d-5af7-4b0a-bee0-c7be0937f480'],43,,,,,,,,,,,,,,,,,,Southampton,25,00:23:43.440,Pass,
