50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.245531,,,,,,,,,,,,,e9ebe10c-cd6c-420a-a3f7-32a2525c4ae6,687,,,"[53.3, 13.2]",3754151,22,,,,,3.0177166,,Right Foot,,,,"[27.6, 16.4]",,Ground Pass,,25.898455,,,,Ashley Williams,3644.0,,,,,,1,From Throw In,Alberto Paloschi,6950.0,Center Forward,56,Swansea City,26,['a7b4f220-40d6-47dc-9c0f-4b3d96b6768b'],9,,,,,,,,,,,,,,,,Swansea City,26,00:22:09.249,Pass,
,,,,,,,,,,,,,,,,3.03018,,,,,,,,,,,,,fecce0d6-b5b0-4c7e-9b74-4b7923ace8a2,690,,,"[27.6, 16.4]",3754151,22,,,,,1.4372162,,Right Foot,,,,"[35.3, 73.7]",,High Pass,,57.81505,,,,Àngel Rangel Zaragoza,3973.0,,True,,,,1,From Throw In,Ashley Williams,3644.0,Left Center Back,56,Swansea City,26,['cc84a767-5c16-4391-8c7e-e6e35727769d'],11,,,,,,,,,,,,,,,,Swansea City,26,00:22:11.725,Pass,
,,,,,,,,,,,,,,,,2.928001,,,,,,,,,,,,,2f37ad0c-6334-486b-9403-cd69a7db36f2,692,,,"[35.3, 73.7]",3754151,22,,,,,0.28108776,,Left Foot,,,,"[49.5, 77.8]",,Low Pass,,14.780054,,,,André Ayew Pelé,3347.0,,,,,,1,From Throw In,Àngel Rangel Zaragoza,3973.0,Right Back,56,Swansea City,26,['9d0bcace-b4bb-4439-a995-91a21115364d'],14,,,,,,,,,,,,,,,,Swansea City,26,00:22:14.755,Pass,
,,,,,,,,,,,,,,,,0.835949,,,,,,,,,,,,,7ab10a76-b129-49ee-a6dd-ec0395f396ed,694,,,"[49.5, 77.8]",3754151,22,,,,,-1.8743671,,Left Foot,,,,"[46.9, 69.5]",,Ground Pass,,8.6977005,,,,Jack Frank Porteous Cork,3462.0,,,,,,1,From Throw In,André Ayew Pelé,3347.0,Right Wing,56,Swansea City,26,['e51f9f27-402e-4165-8be4-936c9080eeed'],17,,,,,,,,,,,,,,,,Swansea City,26,00:22:17.683,Pass,
,,,,,,,,,,,,,,,,4.207724,,,,,,,,,,,,,880737b6-52f2-4541-8d51-7a0ef2915cd3,698,,,"[47.1, 73.7]",3754151,22,,,,,0.0811025,,Right Foot,,,,"[87.7, 77.0]",,High Pass,,40.733894,,Incomplete,,Gylfi Þór Sigurðsson,3944.0,,,,,,1,From Throw In,Jack Frank Porteous Cork,3462.0,Right Defensive Midfield,56,Swansea City,26,"['9d6b8ab7-2c54-4dbb-9566-7fc4bcb1ea55', 'd62496ed-ead6-4145-9b44-22e6dd29a5cc']",19,,,,,,,,,,,,,,,,Swansea City,26,00:22:19.772,Pass,
,,,,,,,,,,,,,,,,1.096072,,,,,,,,,,,,,d62496ed-ead6-4145-9b44-22e6dd29a5cc,700,,,"[32.4, 3.1]",3754151,22,,,,,0.032099064,,Left Foot,,,,"[54.2, 3.8]",,High Pass,,21.811235,,,,Robert Brady,10967.0,,,,,Recovery,1,Regular Play,Timm Klose,9461.0,Left Center Back,57,Norwich City,56,"['39130c6d-cfd6-4281-9201-e350aac74ab7', '880737b6-52f2-4541-8d51-7a0ef2915cd3']",23,,,,,,,,,,,,,,,,Norwich City,56,00:22:23.980,Pass,
,,,,,,,,,,,,,,,,0.46481,,,,,,,,,,,,,910d8dc5-5863-4aee-b618-58ef5fb1e800,703,,,"[54.2, 3.8]",3754151,22,,,,,1.2627436,,Left Foot,,,,"[56.3, 10.4]",,Low Pass,,6.926038,,,,Jonathan Howson,9578.0,,,,,,1,Regular Play,Robert Brady,10967.0,Left Back,57,Norwich City,56,['b057fe0f-3377-4569-8aab-31886afb9299'],25,,,,,,,,,,,,,,,,Norwich City,56,00:22:25.101,Pass,
,,,,,,,,,,,,,,,,1.277886,,,,,,,,,,,,,6edde388-fac7-4d91-81e9-ae1b3ac01cd9,707,,,"[54.6, 10.0]",3754151,22,,,,,-1.5160565,,Right Foot,,,,"[55.0, 2.7]",,Low Pass,,7.3109508,,,,Robert Brady,10967.0,,,,,,1,Regular Play,Jonathan Howson,9578.0,Left Defensive Midfield,57,Norwich City,56,"['3bdfd27b-ad08-4c3a-a202-c15f7d5a14b1', 'f2b86db5-b90a-497d-bec8-4ee1e485aa38']",26,,,,,,,,,,,,,,,,Norwich City,56,00:22:26.247,Pass,True
,,,,,,,,,,,,,,,,1.434582,,,,,,,,,,,,,4e919c17-4b1e-41e8-86c4-4b46f52ecedd,710,,,"[56.7, 2.3]",3754151,22,,,,,0.5946141,,Left Foot,,,,"[70.6, 11.7]",,High Pass,,16.780048,,,,Steven Naismith,9528.0,,,,,,1,Regular Play,Robert Brady,10967.0,Left Back,57,Norwich City,56,['463af5f0-0ae1-44d3-9b76-6f4347b922b9'],27,,,,,,,,,,,,,,,,Norwich City,56,00:22:27.555,Pass,
,,,,,,,,,,,,,,,,0.653336,,,,,,,,,,,,,f6332d3b-fed1-4465-93c0-2a6496fb6c97,713,,,"[73.4, 11.7]",3754151,22,,,,,-0.32455167,,Right Foot,,,,"[84.1, 8.1]",,Low Pass,,11.289375,,Incomplete,,Wes Hoolahan,10966.0,,,,,,1,Regular Play,Steven Naismith,9528.0,Left Wing,57,Norwich City,56,"['245e90b7-820c-4436-a8e8-c292d2557bc8', '700afff5-62f2-4b60-aec6-f37a4069ee24']",29,,,,,,,,,,,,,,,,Norwich City,56,00:22:29.661,Pass,
,,,,,,,,,,,,,,,,1.985913,,,,,,,,,,,,,3949cdad-d5c1-4c01-9740-6ca5d51e015c,718,,,"[33.6, 63.3]",3754151,22,,,,,-0.06919628,,Right Foot,,,,"[43.7, 62.6]",,Low Pass,,10.1242285,,Incomplete,,Leon Britton,4631.0,,,,,,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,57,Norwich City,56,"['34d805ca-2d8b-4db7-9151-2337fefdd3f7', '47813f7e-4403-48ac-a26a-8a7bd6855915', 'e747b55e-e3e1-400c-8172-1163b254a4fc']",32,,,,,,,,,,,,,,,,Swansea City,26,00:22:32.826,Pass,True
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,34d805ca-2d8b-4db7-9151-2337fefdd3f7,720,,,"[76.4, 17.5]",3754151,22,,,,,-0.996849,,Right Foot,,,,"[83.9, 5.9]",,Low Pass,,13.813399,,,,Wes Hoolahan,10966.0,,,,,Recovery,1,Regular Play,Jonathan Howson,9578.0,Left Defensive Midfield,57,Norwich City,56,"['3949cdad-d5c1-4c01-9740-6ca5d51e015c', 'c7d63e98-decd-4bad-b714-d0eb8831cebf']",34,,,,,,,,,,,,,,,,Norwich City,56,00:22:34.812,Pass,
,,,,,,,,,,,,,,,,0.938096,,,,,,,,,,,,,a5038135-d68a-4fac-9f7f-f51b5fd6dc90,723,,,"[96.7, 6.1]",3754151,22,,,,,1.3005465,,Left Foot,,,,"[100.8, 20.9]",,Ground Pass,,15.357409,,,,Steven Naismith,9528.0,,,,,,1,Regular Play,Wes Hoolahan,10966.0,Center Attacking Midfield,57,Norwich City,56,['a3163d4b-bf3b-488d-bf75-5654180529b0'],38,,,,,,,,,,,,,,,,Norwich City,56,00:22:38.192,Pass,
,,,,,,,,,,,,,,,,0.08198,,,,,,,,,,,,,b7cc90e8-012f-4ffd-8dd7-cd6d2137ab45,731,,,"[71.9, 65.8]",3754151,22,,,,,0.5247958,,Right Foot,,,,"[73.8, 66.9]",,Ground Pass,,2.1954498,,Incomplete,,Alberto Paloschi,6950.0,,,,,,1,Regular Play,Federico Fernández,3290.0,Right Center Back,57,Norwich City,56,"['71eb98ce-27ba-4315-bdc9-531690d6c984', 'aaf8b28e-debc-4750-add9-abb35fb03c84']",48,,,,,,,,,,,,,,,,Swansea City,26,00:22:48.969,Pass,
,,,,,,,,,,,,,,,,0.845557,,,,,,,,,,,,,aa060500-21fd-4ec8-9e4e-8bf9307472aa,736,,,"[63.8, 8.9]",3754151,22,,,,,0.2852371,,Left Foot,,,,"[77.1, 12.8]",,Ground Pass,,13.860014,,Incomplete,,Steven Naismith,9528.0,,,,,,1,Regular Play,Wes Hoolahan,10966.0,Center Attacking Midfield,57,Norwich City,56,"['c90c236c-b8f2-4436-905a-13bf85baa9de', 'eadd1c33-4573-432f-b0e1-f19aada0c98f']",53,,,,,,,,,,,,,,,,Norwich City,56,00:22:53.782,Pass,
,,,,,,,,,,,,,,,,1.877307,,,,,,,,,,,,,0ed2a95a-f3d5-493d-a27e-235b683759cb,739,,,"[49.5, 5.3]",3754151,22,,,,,1.5707964,,Left Foot,,,,"[49.5, 47.6]",,High Pass,,42.3,,Incomplete,,Gary O''Neil,9452.0,,True,,,Recovery,1,Regular Play,Robert Brady,10967.0,Left Back,57,Norwich City,56,"['42ac4dc5-48ae-436c-83c0-44412b6a1ea6', 'eacccf6b-530a-4f70-89b9-01fa1b5d6871']",57,,,,,,,,,,,,,,,,Norwich City,56,00:22:57.191,Pass,
,,,,,,,,,,,,,,,,1.83184,,,,,,,,,,,,,eacccf6b-530a-4f70-89b9-01fa1b5d6871,741,,,"[70.6, 32.5]",3754151,22,,,,,1.3271782,,Right Foot,,,,"[79.2, 67.1]",,High Pass,,35.65277,,Incomplete,,André Ayew Pelé,3347.0,,,,,Recovery,1,Regular Play,Wayne Routledge,3449.0,Left Wing,57,Norwich City,56,"['0ed2a95a-f3d5-493d-a27e-235b683759cb', '3789ecc7-2468-4a3e-9690-67bd09175b93', '7079fdf2-458e-43ec-aa1b-6bfc1532b14e']",59,,,,,,,,,,,,,,,,Swansea City,26,00:22:59.069,Pass,
,,,,,,,,,,,,,,,,1.257917,,,,,,,,,,,,,3789ecc7-2468-4a3e-9690-67bd09175b93,743,,,"[40.9, 13.0]",3754151,23,,,,,0.8359046,,Right Foot,,,,"[62.5, 36.9]",,High Pass,,32.21444,,,,Wes Hoolahan,10966.0,,,,,Interception,1,Regular Play,Robert Brady,10967.0,Left Back,57,Norwich City,56,"['87323bdc-c645-4e6a-9be5-50ff6e829914', 'eacccf6b-530a-4f70-89b9-01fa1b5d6871']",0,,,,,,,,,,,,,,,,Norwich City,56,00:23:00.901,Pass,
,,,,,,,,,,,,,,,,1.98844,,,,,,,,,,,,,051b7c90-a0cf-48d3-b15a-cb133216472c,749,,,"[70.2, 53.0]",3754151,23,,,,,1.4580687,,Left Foot,,,,"[72.6, 74.2]",,Ground Pass,,21.335417,,,,Àngel Rangel Zaragoza,3973.0,,,,,,1,Regular Play,Leon Britton,4631.0,Left Defensive Midfield,58,Swansea City,26,['ad81005c-d05b-4554-be59-197b35d84c3b'],6,,,,,,,,,,,,,,,,Swansea City,26,00:23:06.284,Pass,
