ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[68.5, 31.5]",,,,,,,,,,,,0.64186,,,,,,,,,,,,,,d3728c1a-8026-4dc2-b106-94835c6a49b8,2870,,,"[68.6, 28.9]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Wilfried Guemiand Bony,3598.0,Left Center Forward,136,Manchester City,36,"['3dbe74fd-da6c-4f3e-98dd-f6aec9283d6b', '4398af68-bd6d-4589-aa76-4a83737691d4', '6dd08cd4-db2b-4c41-b13c-3da50037b938']",47,,,,,,,,,,,,,,,,Manchester City,36,00:28:47.424,Carry,True
,,,"[105.6, 37.2]",,,,,,,,,,,,3.557672,,,,,,,,,,,,,,93557825-5587-49f2-bfb4-c21ffb6b7799,2874,,,"[76.9, 46.4]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Kelechi Promise Iheanacho,3708.0,Right Center Forward,136,Manchester City,36,"['af667465-b74a-4189-b6f7-09d9a0851159', 'd9b806be-d186-4cd5-853b-2b38f823d8ed', 'dbc8cdd6-fbc0-41fc-8bd6-6b65ad676f5a', 'fcf09ece-116d-45c8-bd6c-115aea78df24']",49,,,,,,,,,,,,,,,,Manchester City,36,00:28:49.237,Carry,True
,,,"[109.6, 31.6]",,,,,,,,,,,,0.722602,,,,,,,,,,,,,,5678742e-0cf6-4eda-b6a8-3fda75c66c8d,2877,,,"[105.6, 37.2]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Kelechi Promise Iheanacho,3708.0,Right Center Forward,136,Manchester City,36,"['07de0dbf-caf6-4315-8302-05edf3aeec76', 'af667465-b74a-4189-b6f7-09d9a0851159', 'fcf09ece-116d-45c8-bd6c-115aea78df24']",52,,,,,,,,,,,,,,,,Manchester City,36,00:28:52.794,Carry,True
,,,"[48.3, 12.2]",,,,,,,,,,,,1.406254,,,,,,,,,,,,,,f0cb948c-66b4-4ff7-b423-c61375d0db82,2885,,,"[47.8, 9.7]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Marc Muniesa Martínez,6560.0,Left Back,137,Stoke City,30,"['3b1597a1-3bde-404e-9c0f-7b9c6a33560f', 'f6bd2465-f66b-4ae2-b66b-45dc94e883fd']",11,,,,,,,,,,,,,,,,Stoke City,30,00:30:11.568,Carry,
,,,"[36.9, 28.2]",,,,,,,,,,,,1.11165,,,,,,,,,,,,,,e9bc10bf-f4e9-46e2-975c-f30e392dd9da,2888,,,"[37.7, 24.7]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Philipp Wollscheid,40121.0,Left Center Back,137,Stoke City,30,"['1ef1373c-e9e4-4490-b823-842de2494655', '40cbe6c6-6fda-4f74-ab73-c18a3ff8c977']",14,,,,,,,,,,,,,,,,Stoke City,30,00:30:14.221,Carry,
,,,"[53.6, 57.2]",,,,,,,,,,,,1.737448,,,,,,,,,,,,,,080e4d34-239d-4279-aa14-5f26a77318ee,2891,,,"[49.7, 53.0]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Geoff Cameron,3480.0,Right Defensive Midfield,137,Stoke City,30,"['155408b0-9b64-4f03-89b0-abe0e138e8f4', 'fb9d00c4-a7a0-484a-b105-ce936ae6497e']",16,,,,,,,,,,,,,,,,Stoke City,30,00:30:16.994,Carry,
,,,"[43.8, 7.4]",,,,,,,,,,,,0.772702,,,,,,,,,,,,,,bdb30a4a-0d2b-4a54-912d-a3491d1cec6e,2896,,,"[32.3, 23.1]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Delph,4597.0,Left Midfield,138,Manchester City,36,"['0bf0f9b4-2764-4012-9f45-ff8f931ff860', '309bee10-a729-4899-b3ea-711d40ff2cff', 'ae686eb5-033b-4cd4-a533-516751b5c970']",22,,,,,,,,,,,,,,,,Manchester City,36,00:30:22.375,Carry,True
,,,"[48.5, 18.6]",,,,,,,,,,,,0.290968,,,,,,,,,,,,,,0b5c9b9c-fb88-4173-a0a7-7117d006c5f1,2900,,,"[48.5, 18.6]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,138,Manchester City,36,"['4ad41d1b-6d05-44df-bb8d-5b2edba94d77', 'b819db1c-840a-447a-abdc-88d9067f32bb']",24,,,,,,,,,,,,,,,,Manchester City,36,00:30:24.095,Carry,
,,,"[63.7, 7.8]",,,,,,,,,,,,0.776594,,,,,,,,,,,,,,c3038082-a021-4a0d-921e-53c47d0aa6da,2903,,,"[58.2, 8.0]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Delph,4597.0,Left Midfield,138,Manchester City,36,"['a6067f27-4796-432f-a17d-e2699a2fdb87', 'd7a0a91e-74e0-4378-a26c-660c09dfd878']",25,,,,,,,,,,,,,,,,Manchester City,36,00:30:25.810,Carry,
,,,"[64.3, 14.0]",,,,,,,,,,,,0.593006,,,,,,,,,,,,,,fdd39d48-55b0-4ede-ba39-b40411c93bc9,2907,,,"[68.1, 18.1]",3754307,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kelechi Promise Iheanacho,3708.0,Right Center Forward,138,Manchester City,36,"['2e0125da-a821-45ac-8818-5cc699a020b2', '6418f1d7-209a-4e5d-9779-4d5bd3997290', 'e490a10d-583d-45df-9a32-757e8024f132', 'e9f7fe40-dec0-4434-8d09-9f56fc5338b4']",27,,,,,,,,,,,,,,,,Manchester City,36,00:30:27.544,Carry,True
