ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.574447,,,,,,,,,,,,,38599eaa-16e1-4127-b8be-e382675c772a,87,,"[20.8, 18.4]",3754030,1,,,,,1.3277849,,Left Foot,,,"[29.7, 54.3]",Ground Pass,,36.986755,,,,,Craig Cathcart,3263.0,,,,,,,1,Regular Play,Miguel Ángel Britos Cabrera,3288.0,Left Center Back,4,Watford,23,['3abe707f-2bf9-42cc-9948-b06a8c4ae67c'],16,,,,,,,,,,,,,,,,,Watford,23,00:01:16.081,Pass,
,,,,,,,,,,,,,,,,2.74008,,,,,,,,,,,,,3a2f2621-376f-41be-a75a-6c6574bcefb5,90,,"[42.0, 57.0]",3754030,1,,,,,0.011787273,,Right Foot,,,"[92.9, 57.6]",High Pass,,50.903538,,,Incomplete,,Troy Deeney,3454.0,,,,,,,1,Regular Play,Craig Cathcart,3263.0,Right Center Back,4,Watford,23,"['00480f25-ebb5-43e2-85e8-baf17b992ddd', '2e9d6189-aa75-49f8-8ac6-f4777dd7d17c']",21,,,,,,,,,,,,,,,,,Watford,23,00:01:21.716,Pass,
,,,,,,,,,,,,,,,,2.747292,,,,,,,,,,,,,00480f25-ebb5-43e2-85e8-baf17b992ddd,93,,"[27.2, 22.5]",3754030,1,,,,True,-1.0860746,,,,,"[36.1, 5.6]",High Pass,,19.100262,,,,,Leighton Baines,3518.0,,,,,,Recovery,1,Regular Play,Phil Jagielka,20046.0,Left Center Back,5,Everton,29,"['30ae4e7a-435b-49ff-ab0c-f01dd00d63c6', '3a2f2621-376f-41be-a75a-6c6574bcefb5', '545f1e98-178d-4ee0-816d-af1fac067d3d']",24,,,,,,,,,,,,,,,,,Everton,29,00:01:24.456,Pass,True
,,,,,,,,,,,,,,,,1.113666,,,,,,,,,,,,,f8aa8136-d5b4-4d2a-994d-74f1f1833d5c,97,,"[34.0, 3.6]",3754030,1,,,,,1.056345,,Left Foot,,,"[37.9, 10.5]",Ground Pass,,7.9259067,,,,,Gareth Barry,3633.0,,,,,,,1,Regular Play,Leighton Baines,3518.0,Left Back,5,Everton,29,"['16787022-cc89-4bbc-bf9b-eb2dcde12552', '45ad565e-a1bf-46fe-8f4c-091c9ea311e1']",27,,,,,,,,,,,,,,,,,Everton,29,00:01:27.334,Pass,True
,,,,,,,,,,,,,,,,0.407149,,,,,,,,,,,,,6074019b-7576-4e2d-bac1-254c19c3e945,101,,"[60.1, 15.3]",3754030,1,,,,,-0.51048833,,Left Foot,,,"[67.6, 11.1]",Ground Pass,,8.595929,,,,,Ross Barkley,4275.0,,,,,,,1,Regular Play,Gareth Barry,3633.0,Left Center Midfield,5,Everton,29,"['9f02b03f-7472-4099-b053-878e57811183', 'dd6576c7-4082-47a5-8873-70217a2560f9']",33,,,,,,,,,,,,,,,,,Everton,29,00:01:33.103,Pass,True
,,,,,,,,,,,,,,,,1.427397,,,,,,,,,,,,,db1da780-3d14-4815-8bb3-896191b77fac,105,,"[68.2, 10.5]",3754030,1,,,,,-2.5314126,,Right Foot,,,"[55.9, 1.9]",Ground Pass,,15.008331,,,,,Leighton Baines,3518.0,,,,,,,1,Regular Play,Ross Barkley,4275.0,Center Attacking Midfield,5,Everton,29,"['2224ccbf-c124-4ff0-a506-ac6ea0184048', '782d289e-2459-44fc-859e-21739eb262b4']",33,,,,,,,,,,,,,,,,,Everton,29,00:01:33.590,Pass,True
,,,,,,,,,,,,,,,,1.212292,,,,,,,,,,,,,33ef2439-5740-42de-9b0a-9a3cc9f1cb5d,108,,"[55.9, 1.9]",3754030,1,,,,,2.4928832,,Left Foot,,,"[40.6, 13.5]",Ground Pass,,19.20026,,,,,Phil Jagielka,20046.0,,,,,,,1,Regular Play,Leighton Baines,3518.0,Left Back,5,Everton,29,['c1611960-6b0d-448a-94d3-65b6d00d9675'],36,,,,,,,,,,,,,,,,,Everton,29,00:01:36.061,Pass,
,,,,,,,,,,,,,,,,1.446592,,,,,,,,,,,,,46ac32cd-2b68-4334-ab9d-f3e98f87f208,111,,"[37.5, 11.0]",3754030,1,,,,,1.7081085,,Right Foot,,,"[33.7, 38.5]",Ground Pass,,27.761305,,,,,John Stones,3244.0,,,,,,,1,Regular Play,Phil Jagielka,20046.0,Left Center Back,5,Everton,29,['11906eaa-36cc-4637-b828-a8e6c03b8391'],38,,,,,,,,,,,,,,,,,Everton,29,00:01:38.177,Pass,
,,,,,,,,,,,,,,,,1.48956,,,,,,,,,,,,,79ac1ba1-268a-4ba0-8214-867a424f5d1c,114,,"[33.4, 39.1]",3754030,1,,,,,-1.6062844,,Right Foot,,,"[32.8, 22.2]",Ground Pass,,16.910648,,,,,Phil Jagielka,20046.0,,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,5,Everton,29,['fbed0c9f-e5cd-4032-a307-7a493d202df3'],42,,,,,,,,,,,,,,,,,Everton,29,00:01:42.044,Pass,
,,,,,,,,,,,,,,,,1.848136,,,,,,,,,,,,,28cd96df-0d19-46ca-8eab-80a21d3cebd0,117,,"[37.5, 22.2]",3754030,1,,,,,-1.2304144,,Right Foot,,,"[44.3, 3.0]",Ground Pass,,20.368603,,,,,Gareth Barry,3633.0,,,,,,,1,Regular Play,Phil Jagielka,20046.0,Left Center Back,5,Everton,29,['4623058a-6873-4894-8d0f-a19538feca74'],46,,,,,,,,,,,,,,,,,Everton,29,00:01:46.831,Pass,
,,,,,,,,,,,,,,,,0.99614,,,,,,,,,,,,,368d9fb6-67c4-44a0-a6fc-2c16f4af108c,120,,"[43.2, 3.3]",3754030,1,,,,,0.4413188,,Left Foot,,,"[59.5, 11.0]",Low Pass,,18.027203,,,Incomplete,,Leighton Baines,3518.0,,,,,,,1,Regular Play,Gareth Barry,3633.0,Left Center Midfield,5,Everton,29,"['dbffb58b-91e7-4594-bb68-dea61b865053', 'e3396984-1980-40c2-a51f-e1fa87dacd62']",49,,,,,,,,,,,,,,,,,Everton,29,00:01:49.232,Pass,
,,,,,,,,,,True,,,,,,1.040728,,,,,,,,,,,,,dbffb58b-91e7-4594-bb68-dea61b865053,122,,"[60.6, 69.1]",3754030,1,,,,,0.569864,,Right Foot,,,"[70.9, 75.7]",Ground Pass,,12.233151,,,,,Valon Behrami,5540.0,,,,,,Interception,1,Regular Play,Etienne Capoue,3721.0,Right Center Midfield,6,Watford,23,"['368d9fb6-67c4-44a0-a6fc-2c16f4af108c', '7e72ab8c-fd15-417f-98f2-b908272a8bca']",50,,,,,,,,,,,,,,,,,Watford,23,00:01:50.228,Pass,
,,,,,,,,,,,,,,,,1.201708,,,,,,,,,,,,,479a3f9a-d7e6-486d-a614-42282741e38f,126,,"[69.0, 73.7]",3754030,1,,,,,3.1415927,,Right Foot,,,"[65.0, 73.7]",Ground Pass,,4.0,,,,,Etienne Capoue,3721.0,,,,,,,1,Regular Play,Valon Behrami,5540.0,Right Midfield,6,Watford,23,['6181a4de-d1b5-456a-86bb-4153b878035b'],54,,,,,,,,,,,,,,,,,Watford,23,00:01:54.169,Pass,
