ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.987017,,,,,,,,,,,,,2098cb70-e11d-4d18-a35d-e4df4923471a,44,,"[48.9, 0.1]",3754085,1,,,,,0.6128202,,,,,,"[55.3, 4.6]",,Low Pass,,7.823682,,,,N''Golo Kanté,3961.0,,,,,,Throw-in,1,From Throw In,Christian Fuchs,3812.0,Left Back,5,Leicester City,22,['ec5dc891-a683-4ef9-9219-3b13fd0fbce4'],7,,,,,,,,,,,,,,,,,Leicester City,22,00:01:07.272,Pass,
,,,,,,,,,,,,,,,,,1.189527,,,,,,,,,,,,,74c80ee4-83ca-464b-b400-2ae13455ba54,46,,"[55.3, 4.6]",3754085,1,,,,,-2.9825695,,Right Foot,,,,"[44.7, 2.9]",,Ground Pass,,10.7354555,,,,Christian Fuchs,3812.0,,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Left Center Midfield,5,Leicester City,22,['ab7c8121-7122-4cfe-aeae-803427bcd99c'],8,,,,,,,,,,,,,,,,,Leicester City,22,00:01:08.259,Pass,
,,,,,,,,,,,,,,,,,1.722758,,,,,,,,,,,,,297060da-365f-42e0-a94c-b0c413b308df,49,,"[44.6, 2.3]",3754085,1,,,,,0.19506818,,Left Foot,,,,"[69.4, 7.2]",,High Pass,,25.279438,,,,José Leonardo Ulloa,3671.0,,,,,,,1,From Throw In,Christian Fuchs,3812.0,Left Back,5,Leicester City,22,['faf4ef40-16c0-4a35-8841-08043fda73fe'],10,,,,,,,,,,,,,,,,,Leicester City,22,00:01:10.728,Pass,
,,,,,,,,,,,,,,,,,0.883941,,,,,,,,,,,,,f92e0e58-6181-496b-b75a-6e07951df0be,51,,"[69.4, 6.7]",3754085,1,,,,,-2.5383627,,Other,,,,"[64.9, 3.6]",,Low Pass,,5.4644303,,,,N''Golo Kanté,3961.0,,,,,,,1,From Throw In,José Leonardo Ulloa,3671.0,Right Center Forward,5,Leicester City,22,['8ab4601a-49e3-4bd4-8339-462f0bd022a0'],12,,,,,,,,,,,,,,,,,Leicester City,22,00:01:12.451,Pass,
,,,,,,,,,,,,,,,,,0.885886,,,,,,,,,,,,,6ece64fd-e531-48f9-afe1-8f14e5351be9,54,,"[64.9, 3.6]",3754085,1,,,,,2.1234934,,Right Foot,,,,"[58.3, 14.3]",,Ground Pass,,12.571794,,,,Danny Drinkwater,3662.0,,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Left Center Midfield,5,Leicester City,22,['b34fa211-af3f-4840-8e5d-fb3a71e7941f'],14,,,,,,,,,,,,,,,,,Leicester City,22,00:01:14.757,Pass,
,,,,,,,,,,,,,,,,,3.389652,,,,,,,,,,,,,802264ba-606e-4a50-bc0c-e88d8660ea9f,58,,"[54.6, 13.6]",3754085,1,,,,,2.5146005,,Right Foot,,,,"[18.3, 39.9]",,Ground Pass,,44.826107,,,,Kasper Schmeichel,3815.0,,,,,,,1,From Throw In,Danny Drinkwater,3662.0,Right Center Midfield,5,Leicester City,22,"['24df4b4b-be42-46ce-9fc6-12dcd763e961', 'f3878abf-65a7-489a-973a-0bc74a00b48a']",17,,,,,,,,,,,,,,,,,Leicester City,22,00:01:17.025,Pass,True
,,,,,,,,,,,,,,,,,1.45156,,,,,,,,,,,,,c6590ac0-3b20-447a-8d14-5b1c03ab43a4,61,,"[19.9, 40.6]",3754085,1,,,,,0.8544128,,Right Foot,,,,"[30.0, 52.2]",,Ground Pass,,15.380833,,,,Wes Morgan,3813.0,,,,,,,1,From Throw In,Kasper Schmeichel,3815.0,Goalkeeper,5,Leicester City,22,['3e32fb89-b358-468a-8cf0-d3019636b55d'],22,,,,,,,,,,,,,,,,,Leicester City,22,00:01:22.187,Pass,
,,,,,,,,,,,,,,,,,1.146806,,,,,,,,,,,,,d9680062-3b93-42f6-b2a6-d50ca0f6ce49,64,,"[35.5, 60.9]",3754085,1,,,,,0.90365565,,Right Foot,,,,"[44.4, 72.2]",,Ground Pass,,14.384019,,,,Danny Simpson,3270.0,,,,,,,1,From Throw In,Wes Morgan,3813.0,Right Center Back,5,Leicester City,22,['bf795bcf-f8f3-4725-a261-529acf9747ca'],26,,,,,,,,,,,,,,,,,Leicester City,22,00:01:26.748,Pass,
,,,,,,,,,,,,,,,,,2.606704,,,,,,,,,,,,,681e1b2e-9bfd-480e-ad4f-7d91b35f19f1,67,,"[42.8, 68.9]",3754085,1,,,,,-2.5838184,,Right Foot,,,,"[21.0, 55.3]",,Ground Pass,,25.694357,,,,Wes Morgan,3813.0,,,,,,,1,From Throw In,Danny Simpson,3270.0,Right Back,5,Leicester City,22,['e70b34af-5037-4a6a-9516-ff9be2816c1c'],28,,,,,,,,,,,,,,,,,Leicester City,22,00:01:28.870,Pass,
,,,,,,,,,,,,,,,,,1.497693,,,,,,,,,,,,,94e581bd-e315-428a-b555-3b9cbb043743,70,,"[20.6, 55.7]",3754085,1,,,,,-2.3040032,,Left Foot,,,,"[7.9, 41.6]",,Ground Pass,,18.976301,,,,Kasper Schmeichel,3815.0,,,,,,,1,From Throw In,Wes Morgan,3813.0,Right Center Back,5,Leicester City,22,"['ae8348ec-d850-463d-8202-9183bc9fc283', 'ca3339c5-c261-435a-beb3-915e7e66b0fd']",31,,,,,,,,,,,,,,,,,Leicester City,22,00:01:31.476,Pass,True
