50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.898981,,,,,,,,,,,,,,0a80c066-794c-4ca9-a157-422382bb6adf,55,,"[75.5, 0.1]",3754206,0,,True,,,1.0777454,,,,,"[79.1, 6.8]",,Low Pass,,7.605919,,,,,Gnégnéri Yaya Touré,3087.0,,,,,Throw-in,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,6,Manchester City,36,['9560f2f8-ad1f-485b-8a07-5a6d86e877bc'],57,,,,,,,,,,,,,,,,Manchester City,36,00:00:57.273,Pass,
,,,,,,,,,,,,,,,,,,,1.905146,,,,,,,,,,,,,,84afcb3c-9076-4096-aee9-b463cd87fad3,57,,"[70.2, 18.6]",3754206,0,,True,,,2.1717699,,Right Foot,,,"[56.9, 38.0]",,Ground Pass,,23.521267,,,,,Vincent Kompany,3101.0,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,6,Manchester City,36,['616f48c7-2fa0-46e7-b081-7332e2a7e02f'],59,,,,,,,,,,,,,,,,Manchester City,36,00:00:59.602,Pass,
,,,,,,,,,,,,,,,,,,,1.826368,,,,,,,,,,,,,,23868893-8019-4fdb-aa23-710560b4d1ee,59,,"[63.3, 43.1]",3754206,1,,,,,0.77658784,,Right Foot,,,"[86.2, 65.6]",,Ground Pass,,32.103893,,,,,Jesús Navas González,6821.0,,,,,,1,From Throw In,Vincent Kompany,3101.0,Right Center Back,6,Manchester City,36,['f3268c54-22b1-4ff1-83f9-6db44681f039'],2,,,,,,,,,,,,,,,,Manchester City,36,00:01:02.884,Pass,
,,,,,,,,,,,,,,,,,,,0.04078,,,,,,,,,,,,,,583065a1-765b-4b69-bdf2-f15d3dcf2b68,63,,"[87.1, 71.9]",3754206,1,,,,,-1.9756881,,Right Foot,,,"[85.9, 69.1]",,Ground Pass,,3.0463092,,,Incomplete,,Pablo Javier Zabaleta Girod,3052.0,,,,,,1,From Throw In,Jesús Navas González,6821.0,Right Wing,6,Manchester City,36,"['145595f3-648e-4b3e-a110-d53fe707f8dd', 'c038172c-a9ff-484c-92b0-4bea79121fb9', 'f6d93add-f2f4-411a-8360-7101f805889a']",6,,,,,,,,,,,,,,,,Manchester City,36,00:01:06.901,Pass,True
,,,,,,,,,,,,,,,,,,,0.28941,,,,,,,,,,,,,,ceaea6b7-942d-42a7-9337-6f6340fccdd2,74,,"[85.2, 77.2]",3754206,1,,,,,-2.8076475,,Right Foot,,,"[80.3, 75.5]",,High Pass,,5.186521,,,Incomplete,,Pablo Javier Zabaleta Girod,3052.0,,,,,Recovery,1,From Throw In,Jesús Navas González,6821.0,Right Wing,6,Manchester City,36,"['9964e1e9-0949-43e4-8eb1-1654874b755d', 'b3655895-985c-45f8-b579-ba3a7114b4f5', 'c88150fa-1ac2-4970-9e36-b1205243eeca']",11,,,,,,,,,,,,,,,,Manchester City,36,00:01:11.566,Pass,True
,,,,,,,,,,,,,,,,,,,0.964769,,,,,,,,,,,,,,673d9a5b-6fbe-468a-9501-5195fcac82cd,77,,"[78.8, 80.0]",3754206,1,,,,,-1.1621095,,,,,"[84.3, 67.3]",,Low Pass,,13.839798,,,Incomplete,,Kevin De Bruyne,3089.0,,,,,Throw-in,1,From Throw In,Pablo Javier Zabaleta Girod,3052.0,Right Back,7,Manchester City,36,"['2ba4e855-b040-4740-a771-e18fdc9b19e5', '705690e9-405b-493a-b724-9796505b77ed']",33,,,,,,,,,,,,,,,,Manchester City,36,00:01:33.335,Pass,
,,,,,,,,,,,,,,,,,,,2.461367,,,,,,,,,,,,,,08d855b0-bd8b-4752-8cb6-6114ad07c544,84,,"[75.1, 40.3]",3754206,1,,,,,-1.9413404,,Right Foot,,,"[64.3, 12.5]",,Ground Pass,,29.824152,,,,,Aleksandar Kolarov,5596.0,,,,,,1,From Throw In,Fernando Francisco Reges,16003.0,Left Defensive Midfield,7,Manchester City,36,['8eb2126d-27e5-4d46-a01c-16e30b1ef67a'],38,,,,,,,,,,,,,,,,Manchester City,36,00:01:38.428,Pass,
,,,,,,,,,,,,,,,,,,,2.082947,,,,,,,,,,,,,,10350bf6-8554-45e6-8352-49636152fca6,87,,"[68.5, 7.1]",3754206,1,,,,,2.7128146,,Left Foot,,,"[51.0, 15.1]",,Ground Pass,,19.241882,,,,,Eliaquim Mangala,3389.0,,,,,,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,7,Manchester City,36,['a65147d0-8fd8-41d1-a18f-0672d0d697cc'],45,,,,,,,,,,,,,,,,Manchester City,36,00:01:45.127,Pass,
,,,,,,,,,,,,,,,,,,,1.073272,,,,,,,,,,,,,,67186c0d-84ba-47cb-b175-7a3be62a65bd,90,,"[51.3, 18.9]",3754206,1,,,,,0.8093936,,Left Foot,,,"[63.5, 31.7]",,Ground Pass,,17.68276,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Throw In,Eliaquim Mangala,3389.0,Left Center Back,7,Manchester City,36,['f4c8480c-bde7-4ef3-ac00-cc64bdb71451'],48,,,,,,,,,,,,,,,,Manchester City,36,00:01:48.470,Pass,
,,,,,,,,,,,,,,,,,,,1.970291,,,,,,,,,,,,,,d850f4a2-5690-4d88-8d56-38f6e1a3652f,93,,"[63.0, 31.3]",3754206,1,,,,,2.479651,,Right Foot,,,"[39.9, 49.3]",,Ground Pass,,29.284979,,,,,Vincent Kompany,3101.0,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,7,Manchester City,36,"['79384eea-5af3-4340-8d48-7663fc4df910', '86359d5f-f63e-421b-aacd-a03d6cac28dc']",49,,,,,,,,,,,,,,,,Manchester City,36,00:01:49.543,Pass,True
