ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.478093,,,,,,,,,,,,,,3c7d9f9c-d743-4631-8e13-e6a44abc38ed,2115,,"[108.1, 8.3]",3753994,57,,,,1.005407,,Right Foot,,,"[117.3, 22.8]",,Ground Pass,,17.172361,Incomplete,,Ryan Bertrand,20045.0,,,,,,2,From Free Kick,Sadio Mané,3629.0,Right Wing,119,Southampton,25,"['ca7fa073-4e84-416b-93c2-f3af6120627a', 'da7a69dc-5091-4c6f-b038-330d9d7e5c4a']",18,,,,,,,,,,,,,,,,Southampton,25,00:12:18.068,Pass,
,,,,,,,,,,,,,,,2.204604,,,,,,,,,,,,,,985fd93d-7ad3-4b2c-9506-825d6c701a06,2119,,"[1.9, 67.1]",3753994,57,,,,0.3117509,,Right Foot,,,"[32.0, 76.8]",,Ground Pass,,31.624357,,,Jason Puncheon,19688.0,,,,,,2,Regular Play,Joel Ward,3443.0,Right Back,120,Crystal Palace,31,['5ac2acdc-227d-4ee2-acdc-38eb08e30511'],21,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:21.229,Pass,
,,,,,,,,,,,,,,,1.428153,,,,,,,,,,,,,,ac414db7-1a84-4cff-8cb3-692240fb8ab7,2123,,"[25.8, 77.6]",3753994,57,,,,-0.807421,,Left Foot,,,"[36.9, 66.0]",,Ground Pass,,16.055218,,,James McArthur,3464.0,,,,,,2,Regular Play,Jason Puncheon,19688.0,Right Midfield,120,Crystal Palace,31,"['9180978d-cdee-4a78-a313-be9686ea75ea', 'd6ac8b6f-a067-4025-84ad-af36246cdd0b']",25,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:25.233,Pass,True
,,,,,,,,,,,,,,,2.381237,,,,,,,,,,,,,,7e615ce6-4e63-40dd-8d2d-ce621180858e,2127,,"[36.9, 65.4]",3753994,57,,,,-1.5848799,,Right Foot,,,"[36.5, 37.0]",,Ground Pass,,28.402817,,,Mile Jedinak,5489.0,,,,,,2,Regular Play,James McArthur,3464.0,Right Defensive Midfield,120,Crystal Palace,31,"['7a2fc714-01e8-4803-8c1a-af3c2bda7587', '901938ff-205d-467e-9dd6-f9642793a679']",27,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:27.125,Pass,True
,,,,,,,,,,,,,,,1.528864,,,,,,,,,,,,,,6e017076-0ad2-4f68-9d52-4a1fde9f9835,2133,,"[50.6, 26.6]",3753994,57,,,,0.37596095,,Right Foot,,,"[65.8, 32.6]",,Ground Pass,,16.341358,,,James McArthur,3464.0,,,,,,2,Regular Play,Mile Jedinak,5489.0,Left Defensive Midfield,120,Crystal Palace,31,['59766f48-f783-43e3-ae14-286c9c677549'],34,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:34.315,Pass,
,,,,,,,,,,,,,,,1.520936,,,,,,,,,,,,,,2f2a0714-cc58-4eab-976b-9331d0ca1274,2136,,"[82.2, 36.3]",3753994,57,,,,-1.163998,,Right Foot,,,"[93.1, 11.0]",,Ground Pass,,27.54814,,,Dwight Gayle,3092.0,,,,,,2,Regular Play,James McArthur,3464.0,Right Defensive Midfield,120,Crystal Palace,31,['41bad613-af68-4d9e-8be2-3c0b32412323'],37,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:37.938,Pass,
,,,,,,,,,,,,,,,0.840301,,,,,,,,,,,,,,d6f4a73a-fdb4-4c5a-9879-59f68c71a42f,2140,,"[90.4, 30.9]",3753994,57,,,,0.72374797,,Right Foot,,,"[99.0, 38.5]",,Low Pass,,11.4769335,,,Emmanuel Adebayor,26699.0,,,,,,2,Regular Play,Dwight Gayle,3092.0,Right Center Forward,120,Crystal Palace,31,"['34977b2c-4ea8-4c37-81c9-af21468985fe', 'a83b4f09-2f31-4f6c-930a-7dfedf3e5cb7']",46,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:46.557,Pass,True
,,,,,,,,,,,,,,,0.769777,,,,,,,,,,,,,,bfa1efcc-dee3-4008-9743-72edc4f55abc,2143,,"[97.9, 50.7]",3753994,57,,,,1.7963976,46b857fb-f02d-4b23-aa63-dccd6120e855,Right Foot,,,"[95.1, 62.9]",,Ground Pass,,12.517188,,,Sullay Kaikai,4116.0,True,,,,,2,Regular Play,Emmanuel Adebayor,26699.0,Left Center Forward,120,Crystal Palace,31,['2cab5f82-26c8-40c1-90ea-5e17454d8e23'],49,,,,,,,,,,,,,,,,Crystal Palace,31,00:12:49.674,Pass,
,,,,,,,,,,,,,,,2.361663,,,,,,,,,,,,,,65a061f0-3d10-4608-831f-e6cab65e7ab4,2150,,"[22.9, 42.0]",3753994,57,,,True,0.38328415,,,,,"[35.3, 47.0]",,Low Pass,,13.370116,,,Shane Long,3842.0,,,,,Recovery,2,Regular Play,Victor Wanyama,3098.0,Left Center Midfield,121,Southampton,25,"['13fec4f6-6d1b-4c3d-bfff-d0b5cdda7dbc', 'ceedcca5-6c77-4df6-a4e5-c388823e2047']",54,,,,,,,,,,,,,,,,Southampton,25,00:12:54.438,Pass,True
,,,,,,,,,,,,,,,0.895405,,,,,,,,,,,,,,0c4c9a29-694c-428e-a9da-825493834cf7,2160,,"[72.0, 65.6]",3753994,58,,,,-2.158799,,Right Foot,,,"[68.2, 59.9]",,Ground Pass,,6.8505473,,,José Miguel da Rocha Fonte,3960.0,,,,,Free Kick,2,From Free Kick,Steven Davis,3828.0,Center Attacking Midfield,122,Southampton,25,['4e4b6731-a2b7-49d7-b7a2-6d9fd3441585'],32,,,,,,,,,,,,,,,,Southampton,25,00:13:32.192,Pass,
,,,,,,,,,,,,,,,0.600991,,,,,,,,,,,,,,95565cc7-e875-46fb-8974-324388e59c24,2163,,"[68.2, 59.9]",3753994,58,,,,1.0138948,,Right Foot,,,"[71.5, 65.2]",,Ground Pass,,6.2433963,,,Steven Davis,3828.0,,,,,,2,From Free Kick,José Miguel da Rocha Fonte,3960.0,Right Center Back,122,Southampton,25,['8248a901-85d3-415b-b9f7-d4f02f7c6fbe'],33,,,,,,,,,,,,,,,,Southampton,25,00:13:33.114,Pass,
,,,,,,,,,,,,,,,1.379062,,,,,,,,,,,,,,f2d083e0-069a-48e1-bff0-301160e8829a,2166,,"[78.1, 66.9]",3753994,58,,,,-2.7383113,,Right Foot,,,"[63.1, 60.5]",,Ground Pass,,16.30828,,,José Miguel da Rocha Fonte,3960.0,,,,,,2,From Free Kick,Steven Davis,3828.0,Center Attacking Midfield,122,Southampton,25,['02a7ee88-7ec6-42c1-b1d4-68b435f9de11'],36,,,,,,,,,,,,,,,,Southampton,25,00:13:36.568,Pass,
,,,,,,,,,,,,,,,2.134438,,,,,,,,,,,,,,e7e3713a-8032-459d-b766-86bf76b82694,2169,,"[63.7, 59.4]",3753994,58,,,,-1.6755074,,Right Foot,,,"[60.4, 28.0]",,Ground Pass,,31.572931,,,Virgil van Dijk,3669.0,,,,,,2,From Free Kick,José Miguel da Rocha Fonte,3960.0,Right Center Back,122,Southampton,25,['9c5fdf85-3965-4328-ac5c-f45da043217f'],38,,,,,,,,,,,,,,,,Southampton,25,00:13:38.942,Pass,
,,,,,,,,,,,,,,,1.254699,,,,,,,,,,,,,,20fbae17-9435-4167-a88e-437f8caee088,2172,,"[75.9, 23.8]",3753994,58,,,,1.2796384,,Right Foot,,,"[85.1, 54.5]",,Ground Pass,,32.04887,,,Dušan Tadić,3831.0,,,,,,2,From Free Kick,Virgil van Dijk,3669.0,Left Center Back,122,Southampton,25,['385dbfe3-3a97-4b3a-a920-7e8e4cd9453d'],45,,,,,,,,,,,,,,,,Southampton,25,00:13:45.994,Pass,
,,,,,,,,,,,,,,,0.901471,,,,,,,,,,,,,,d8526e02-9da4-4ee2-91e5-32031e2f599d,2175,,"[88.1, 49.2]",3753994,58,,,,-0.4913222,,Left Foot,,,"[99.5, 43.1]",,Ground Pass,,12.929423,,,Graziano Pellè,11062.0,,,,,,2,From Free Kick,Dušan Tadić,3831.0,Left Wing,122,Southampton,25,['6dcc2062-5aa5-4fe1-b0ab-8c0d2295767d'],49,,,,,,,,,,,,,,,,Southampton,25,00:13:49.224,Pass,
,,,,,,,,,,,,,,,0.848625,,,,,,,,,,,,,,db465e3a-7f54-4e66-9dce-50d9395d0957,2179,,"[100.3, 42.7]",3753994,58,,,,2.9937432,,Right Foot,,,"[90.9, 44.1]",,Ground Pass,,9.503683,,,Sadio Mané,3629.0,,,,,,2,From Free Kick,Graziano Pellè,11062.0,Right Center Midfield,122,Southampton,25,"['92584c0e-de1b-48a1-8cfd-9161e985e25a', 'f72d3d9c-acac-4d46-af93-b8e81a785b55']",51,,,,,,,,,,,,,,,,Southampton,25,00:13:51.565,Pass,True
