ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,True,Incomplete,,,,0.0,,,,,,,,,,,,674057d3-e632-45bb-a057-e5ee9c771680,2468,,"[49.9, 69.5]",3753993,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Steven Whittaker,11124.0,Right Back,144,Norwich City,56,['4599dd09-ebab-4491-b6a9-600551d12e00'],38,,,,,,,,,,,,,,,,Norwich City,56,00:19:38.468,Dribble,True
,,,,,,,,,,True,Complete,True,,,0.0,,,,,,,,,,,,e1cdf89f-1a11-48d3-9ec5-df1bffa31d00,2521,,"[98.9, 48.1]",3753993,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Nathan Redmond,3286.0,Right Wing,146,Norwich City,56,['d421885f-69b8-48bd-8f72-7d01f8882393'],45,,,,,,,,,,,,,,,,Norwich City,56,00:20:45.798,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,34e58173-f5a2-4766-a86f-038d7f51521f,2527,,"[96.1, 42.5]",3753993,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Graham Dorrans,16334.0,Right Defensive Midfield,146,Norwich City,56,['a75c95ac-bda1-49fe-8116-590b25a9d135'],47,,,,,,,,,,,,,,,,Norwich City,56,00:20:47.292,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,84ed69fb-1e20-4020-8400-9d90e9fe298b,2531,,"[100.0, 42.9]",3753993,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Graham Dorrans,16334.0,Right Defensive Midfield,146,Norwich City,56,['3a0a2b77-5042-414f-a67c-08f7ff68e4a7'],48,,,,,,,,,,,,,,,,Norwich City,56,00:20:48.056,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,95468f36-ce34-4d9f-afc1-e467a837966b,2620,,"[79.6, 1.2]",3753993,68,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Bradley Johnson,4804.0,Center Attacking Midfield,150,Norwich City,56,['2cc1abd6-3e17-4386-97fa-6ac8e195a5df'],55,,,,,,,,,,,,,,,,Norwich City,56,00:23:55.140,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,67ba5538-4ae1-46a0-8a80-262bf19a9d62,2712,,"[112.8, 73.5]",3753993,71,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Billy Jones,10503.0,Right Back,157,Sunderland,41,['b62f5809-c450-4ad3-863f-ca296a13e18e'],38,,,,,,,,,,,,,,,,Sunderland,41,00:26:38.288,Dribble,True
,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,1f308d18-a156-41f7-bf38-05dfac4e5a1b,2750,,"[106.4, 11.3]",3753993,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jonathan Howson,9578.0,Left Wing,159,Norwich City,56,['3279dce8-539c-4ef4-ba28-5c5ab41a1552'],46,,,,,,,,,,,,,,,,Norwich City,56,00:27:46.138,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,e1f38140-7e5a-4eed-bc01-67ee2538b4ae,2835,,"[48.2, 7.4]",3753993,75,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Brady,10967.0,Left Back,163,Norwich City,56,['1f31a9f6-2f5b-45bc-899b-ec613cba199e'],6,,,,,,,,,,,,,,,,Norwich City,56,00:30:06.069,Dribble,True
,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,f876d8ca-d08e-4452-b652-78a07d3f092d,2987,,"[91.2, 76.1]",3753993,79,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Nathan Redmond,3286.0,Right Wing,170,Norwich City,56,['c5437853-01ce-435a-b23d-0709bbd4f763'],37,,,,,,,,,,,,,,,,Norwich City,56,00:34:37.522,Dribble,True
,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,e3326408-eb6e-4619-a85a-58323bb2be6d,3288,,"[96.3, 7.4]",3753993,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jeremain Lens,16457.0,Left Midfield,182,Sunderland,41,['4d9a4c2e-17a7-4a49-ac66-96d6c9f7fadf'],53,,,,,,,,,,,,,,,,Sunderland,41,00:41:53.702,Dribble,True
