50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.102788,,,,,,,,,,,,,,7cbef82b-6882-4901-89e5-8ccb014f1938,63,,"[12.4, 16.0]",3753992,0,,,,,0.5144513,,Left Foot,,,,"[28.5, 25.1]",,Ground Pass,,18.493782,,,Erik Lamela,3585.0,,,,,,Recovery,1,Regular Play,Ryan Mason,40127.0,Left Defensive Midfield,5,Tottenham Hotspur,38,"['2854da90-9bef-4298-8d06-4f0ebaa8177e', 'f2371517-fe53-4be9-a347-db1fb09dcec9']",59,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:59.664,Pass,True
,,,,,,,,,,,,,,,,,,1.601048,,,,,,,,,,,,,,ef37d2c3-9ee7-4faf-a907-29c478cfa8a6,67,,"[29.2, 23.9]",3753992,1,,,,,-0.07827114,,Left Foot,,,,"[44.5, 22.7]",,Ground Pass,,15.346987,,,Christian Dannemann Eriksen,3043.0,,,,,,,1,Regular Play,Erik Lamela,3585.0,Right Wing,5,Tottenham Hotspur,38,"['371d48e6-10e2-4670-abe6-581310ef5c86', 'c3c6d1de-e9c9-47c4-955d-b46791b587a1']",2,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:02.080,Pass,True
,,,,,,,,,,,,,,,,,,1.131922,,,,,,,,,,,,,,c7beed45-42f7-4641-8144-4ab01178353f,70,,"[45.2, 22.7]",3753992,1,,,,,-0.93614453,,Right Foot,,,,"[51.9, 13.6]",,Ground Pass,,11.300443,Incomplete,,Harry Kane,10955.0,,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,5,Tottenham Hotspur,38,"['2ad4763b-2b6d-4931-acec-652d86988786', '68c437d9-35af-4980-8d6b-ba488d13ec81', 'ca15702c-2439-4541-8b41-1daefe233f5c']",3,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:03.681,Pass,True
,,,,,,,,,,,,,,,,,,1.155955,,,,,,,,,,,,,,ca15702c-2439-4541-8b41-1daefe233f5c,73,,"[68.2, 66.5]",3753992,1,,,,,-1.149166,,Right Foot,,,,"[80.4, 39.3]",,High Pass,,29.810736,Incomplete,,Steven Davis,3828.0,,,,,,Interception,1,Regular Play,José Miguel da Rocha Fonte,3960.0,Right Center Back,5,Tottenham Hotspur,38,"['138f97a4-518c-467c-886f-d4c9dc44c833', '2ab28e8f-c502-43ea-abb9-e0235daaf977', '65c07db2-a91e-4e87-9446-991798f26e0a', 'c7beed45-42f7-4641-8144-4ab01178353f']",4,,,,,,,,,,,,,,,,Southampton,25,00:01:04.812,Pass,True
,,,,,,,,,,,,,,,,,,1.624862,,,,,,,,,,,,,,138f97a4-518c-467c-886f-d4c9dc44c833,76,,"[39.7, 40.8]",3753992,1,,,,True,-0.30937153,,,,,,"[61.6, 33.8]",,Low Pass,,22.99152,,,Heung-Min Son,3083.0,,,,,,Recovery,1,Regular Play,Eric Dier,10956.0,Right Defensive Midfield,5,Tottenham Hotspur,38,"['8d5240dc-8f1a-4e02-8578-77d03b275bea', 'ca15702c-2439-4541-8b41-1daefe233f5c', 'fa405750-9e2e-4198-a240-1850b0adc2f7']",5,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:05.968,Pass,True
,,,,,,,,,,,,,,,,,,1.130789,,,,,,,,,,,,,,be40d9f9-c9bc-4a0f-95e7-eac432923a97,84,,"[44.6, 39.1]",3753992,1,,,,,-1.5092627,,Right Foot,,,,"[45.9, 18.0]",,Ground Pass,,21.140009,,,Ryan Bertrand,20045.0,,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Left Center Back,6,Southampton,25,['0a2f8064-3d03-4ba2-9b9c-0272a9b8b154'],10,,,,,,,,,,,,,,,,Southampton,25,00:01:10.146,Pass,
,,,,,,,,,,,,,,,,,,1.054757,,,,,,,,,,,,,,dee7a4ea-f75c-446a-b4e7-a845bdbb8a9f,88,,"[35.8, 12.9]",3753992,1,,,,,0.6995172,,Right Foot,,,,"[44.0, 19.8]",,Ground Pass,,10.716809,,,Jordy Clasie,16181.0,,,,,,,1,Regular Play,Ryan Bertrand,20045.0,Left Back,6,Southampton,25,"['5a535eac-dd77-49a1-8fe8-751400b072cd', '8d5d258f-5d42-4aea-a610-40f17fe0fe94']",13,,,,,,,,,,,,,,,,Southampton,25,00:01:13.682,Pass,True
,,,,,,,,,,,,,,,,,,1.301966,,,,,,,,,,,,,,c9f99878-720c-4341-9787-74df5dec68d7,90,,"[44.0, 19.8]",3753992,1,,,,,-1.2968682,,Right Foot,,,,"[47.4, 7.7]",,Ground Pass,,12.568612,,,Ryan Bertrand,20045.0,,,,,,,1,Regular Play,Jordy Clasie,16181.0,Left Defensive Midfield,6,Southampton,25,['56186084-33d2-4c03-9b26-1f3b3d4831a2'],14,,,,,,,,,,,,,,,,Southampton,25,00:01:14.737,Pass,
,,,,,,,,,,,,,,,,,,2.875914,,,,,,,,,,,,,,4e3ae409-c04f-4499-9858-70d6d63d7f61,94,,"[56.7, 6.2]",3753992,1,,,,,0.57309103,,Left Foot,,,,"[111.4, 41.5]",,High Pass,,65.1013,Incomplete,,,,,,,,,,1,Regular Play,Ryan Bertrand,20045.0,Left Back,6,Southampton,25,"['8f83fa88-49ed-4400-8ac2-14622d76f7e1', 'a27f2cf6-ada9-4316-bcab-b1a33f65c57b']",17,,,,,,,,,,,,,,,,Southampton,25,00:01:17.549,Pass,True
,,,,,,,,,,,,,,,,,,2.009664,,,,,,,,,,,,,,1ffe15f8-c732-4d91-95aa-3e310f4e9587,96,,"[9.3, 38.7]",3753992,1,,True,,,1.115413,,Keeper Arm,,,,"[21.2, 63.0]",,Ground Pass,,27.057346,,,Toby Alderweireld,20005.0,,,,,,,1,Regular Play,Hugo Lloris,3099.0,Goalkeeper,7,Tottenham Hotspur,38,['bc7d91ba-d162-4a57-ae54-1830509b1f28'],25,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:25.268,Pass,
