bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.022414,,,,,,,,,,,,d1104e29-18ce-4940-b2c5-3bd52e197f29,253,,"[44.8, 80.0]",3754089,6,,True,,,-1.8313987,,,,,,"[42.0, 69.5]",,Low Pass,,10.866922,,,,,James McArthur,3464.0,,,,,Throw-in,1,From Throw In,Joel Ward,3443.0,Right Back,18,Crystal Palace,31,['f564ee67-b235-49a8-aa47-46704fcb670c'],37,,,,,,,,,,,,,,,,,Crystal Palace,31,00:06:37.012,Pass,
,,,,,,,,,,,,,,,,0.807149,,,,,,,,,,,,05a75d4a-9d8a-4fb5-a723-0fb0c8d5c878,255,,"[42.0, 68.8]",3754089,6,,,,,2.3895154,,Right Foot,,,,"[35.8, 74.6]",,Ground Pass,,8.489994,,,,,Joel Ward,3443.0,,,,,,1,From Throw In,James McArthur,3464.0,Left Defensive Midfield,18,Crystal Palace,31,['1f97b97b-dfbd-4537-9c19-c1d760a76067'],38,,,,,,,,,,,,,,,,,Crystal Palace,31,00:06:38.034,Pass,
,,,,,,,,,,,,,,,,2.769509,,,,,,,,,,,,46a76ec2-5114-463b-b2ae-c026c7fb9063,259,,"[34.9, 72.4]",3754089,6,,,,,0.16996881,,Left Foot,,,,"[78.6, 79.9]",,High Pass,,44.33892,,,Out,,Jason Puncheon,19688.0,,,,,,1,From Throw In,Joel Ward,3443.0,Right Back,18,Crystal Palace,31,"['1260f1a6-d5c1-4457-a41b-bbab736bf9e9', 'b8e178b5-f191-42e9-8ae6-bb180c420a83']",39,,,,,,,,,,,,,,,,,Crystal Palace,31,00:06:39.714,Pass,True
,,,,,,,,,,,,,,,,1.82982,,,,,,,,,,,,61d65eb9-8383-4529-ae8c-9bd35044b4b8,261,,"[42.6, 0.1]",3754089,6,,,,,2.5636907,,,,,,"[24.2, 12.1]",,Low Pass,,21.967249,,,,,Steve Cook,3341.0,,,,,Throw-in,1,From Throw In,Charlie Daniels,3345.0,Left Back,19,AFC Bournemouth,28,['9c7c0381-160c-4918-b63c-e5af7dd457bd'],47,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:47.686,Pass,
,,,,,,,,,,,,,,,,1.473826,,,,,,,,,,,,1485c636-87f1-424d-a974-97a31c66c810,264,,"[31.5, 17.5]",3754089,6,,,,,-0.8475191,,Right Foot,,,,"[41.3, 6.4]",,Ground Pass,,14.807093,,,,,Charlie Daniels,3345.0,,,,,,1,From Throw In,Steve Cook,3341.0,Left Center Back,19,AFC Bournemouth,28,['95023a41-e9f7-4418-892c-371c08cddef3'],53,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:53.897,Pass,
,,,,,,,,,,,,,,,,0.911037,,,,,,,,,,,,09b43eba-01f3-4d84-af37-3783c4e2ae87,267,,"[42.0, 6.8]",3754089,6,,,,,-0.13029216,,Left Foot,,,,"[56.5, 4.9]",,Ground Pass,,14.623953,,,,,Marc Pugh,3646.0,,,,,,1,From Throw In,Charlie Daniels,3345.0,Left Back,19,AFC Bournemouth,28,['5c85c052-0950-45a6-af88-5f169002077d'],56,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:56.601,Pass,
,,,,,,,,,,,,,,,,0.966977,,,,,,,,,,,,15b9711a-8f37-4976-9947-293cbdb9d4ac,270,,"[56.5, 5.7]",3754089,6,,,,,3.1415927,,Right Foot,,,,"[44.1, 5.7]",,Ground Pass,,12.4,,,,,Charlie Daniels,3345.0,,,,,,1,From Throw In,Marc Pugh,3646.0,Left Midfield,19,AFC Bournemouth,28,['4a89c830-980c-4438-9282-07fedfa2c5a1'],58,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:58.176,Pass,
,,,,,,,,,,,,,,,,1.205521,,,,,,,,,,,,e4af7ccd-700d-4286-85ba-85978c9848b8,273,,"[43.0, 7.2]",3754089,7,,,,,2.3688521,,Left Foot,,,,"[27.0, 22.8]",,Ground Pass,,22.346365,,,,,Steve Cook,3341.0,,,,,,1,From Throw In,Charlie Daniels,3345.0,Left Back,19,AFC Bournemouth,28,['25e5180b-5d14-4139-b33a-9210a93c44b9'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:00.020,Pass,
,,,,,,,,,,,,,,,,2.003624,,,,,,,,,,,,ebd314ad-5f62-4a7a-90df-814e2c695f98,277,,"[50.5, 30.1]",3754089,7,,,,,0.7794458,,Left Foot,,,,"[84.3, 63.5]",,High Pass,,47.518417,,,Incomplete,,Matt Ritchie,3049.0,,,,,,1,From Throw In,Steve Cook,3341.0,Left Center Back,19,AFC Bournemouth,28,"['b8703ec7-edb1-44de-a4ca-782c472c03fd', 'c9934e4c-7996-4177-ba67-a85452407003']",6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:06.728,Pass,
,,,,,,,,,,,,,,,,1.445608,,,,,,,,,,,,629919dd-01d6-4dd9-9ad6-03faf4986c0c,282,,"[37.0, 56.4]",3754089,7,,,,,0.8226943,,Right Foot,,,,"[49.9, 70.3]",,Ground Pass,,18.96365,,,,,Dan Gosling,3343.0,,,,,,1,From Throw In,Simon Francis,3608.0,Right Center Back,19,AFC Bournemouth,28,['84c0016a-4c39-4978-9a45-233f852f106e'],12,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:12.896,Pass,
