50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.239436,,,,,,,,,aa228a45-9a5f-4086-b6da-acb01d31bb40,2307,,,"[74.7, 55.8]",3754045,58,,,,-1.3429393,,Right Foot,,,,"[76.3, 48.9]",Ground Pass,,7.0830784,,,,Gökhan İnler,20230.0,,,,,,2,Regular Play,Danny Drinkwater,3662.0,Right Center Midfield,126,Leicester City,22,['e74af75f-1fcb-44fe-ab3d-08ba5e4c7f55'],20,,,,,,,,,,,,,,,,,Leicester City,22,00:13:20.673,Pass,
,,,,,,,,,,,,,,,,,,1.999999,,,,,,,,,8c37dfb6-2b63-42de-8ed2-d4c580cf5f2a,2310,,,"[76.3, 48.9]",3754045,58,,,,-1.1568264,,Left Foot,,,,"[95.5, 5.2]",Ground Pass,,47.731853,,,,Christian Fuchs,3812.0,,True,,,,2,Regular Play,Gökhan İnler,20230.0,Center Defensive Midfield,126,Leicester City,22,['ba572ad8-a3e4-45fa-be6f-7f75aa83565e'],23,,,,,,,,,,,,,,,,,Leicester City,22,00:13:23.006,Pass,
,,,,,,,,,,,,,,,,,,1.914939,,,,,,,,,e7e8d4bf-0cbc-48b7-b918-c4cc478808dd,2314,,,"[19.1, 80.0]",3754045,58,,,,-0.41184214,,,,,,"[46.8, 67.9]",High Pass,,30.22747,,Incomplete,,Sergio Leonel Agüero del Castillo,3237.0,,,,,Throw-in,2,From Throw In,Bacary Sagna,7110.0,Right Back,127,Manchester City,36,"['d20db301-6f76-48e3-8898-266b5a09a8e0', 'd7443c53-984b-468d-a5db-d9524b37c78a']",54,,,,,,,,,,,,,,,,,Manchester City,36,00:13:54.132,Pass,
,,,,,,,,,,,,,,,,,,0.68913,,,,,,,,,d7443c53-984b-468d-a5db-d9524b37c78a,2316,,,"[73.3, 12.2]",3754045,58,,,,-0.17809294,,Right Foot,,,,"[78.3, 11.3]",Ground Pass,,5.080354,,,,Christian Fuchs,3812.0,,,,,Interception,2,Regular Play,Gökhan İnler,20230.0,Center Defensive Midfield,128,Leicester City,22,"['5f8678fa-b229-4077-9004-c081e63a1b92', 'e7e8d4bf-0cbc-48b7-b918-c4cc478808dd']",56,,,,,,,,,,,,,,,,,Leicester City,22,00:13:56.046,Pass,
,,,,,,,,,,,,,,,,,,1.461888,,,,,,,,,1d3f4b94-f11a-4bb8-a36e-e9df7cfb460c,2320,,,"[70.0, 6.8]",3754045,58,,,,2.9463112,,Right Foot,,,,"[51.8, 10.4]",Ground Pass,,18.552628,,,,Robert Huth,40123.0,,,,,,2,Regular Play,Christian Fuchs,3812.0,Left Back,128,Leicester City,22,['d1462041-de16-4de2-b38c-e78ba03e4bae'],58,,,,,,,,,,,,,,,,,Leicester City,22,00:13:58.403,Pass,
,,,,,,,,,,,,,,,,,,1.838458,,,,,,,,,f13a8424-ec10-4aa8-8317-af96d026be83,2323,,,"[51.8, 10.4]",3754045,59,,,,1.876332,,Right Foot,,,,"[43.0, 38.3]",Ground Pass,,29.254913,,,,Wes Morgan,3813.0,,,,,,2,Regular Play,Robert Huth,40123.0,Left Center Back,128,Leicester City,22,['29b1be76-e519-4254-9bd2-7dc01befdcb5'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:14:01.065,Pass,
,,,,,,,,,,,,,,,,,,2.799999,,,,,,,,,bfd4a014-cfc1-49aa-b5cd-f32bfc9e0118,2326,,,"[38.7, 43.9]",3754045,59,,,,-3.0083292,,Left Foot,,,,"[11.1, 40.2]",Ground Pass,,27.846903,,,,Kasper Schmeichel,3815.0,,,,,,2,Regular Play,Wes Morgan,3813.0,Right Center Back,128,Leicester City,22,['5bcf6eb6-27f2-4afc-9284-8461f5872278'],5,,,,,,,,,,,,,,,,,Leicester City,22,00:14:05.144,Pass,
,,,,,,,,,,,,,,,,,,3.954249,,,,,,,,,6cdb9229-9d24-4fd0-b4df-04ffd6044245,2329,,,"[29.0, 40.4]",3754045,59,,,,-0.2165503,,Right Foot,,,,"[99.0, 25.0]",High Pass,,71.67398,,,,Jamie Vardy,10960.0,,,,,,2,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,128,Leicester City,22,['8476de92-abe0-4737-9fbe-1481910c2c14'],16,,,,,,,,,,,,,,,,,Leicester City,22,00:14:16.184,Pass,
,,,,,,,,,,,,,,,,,,1.524915,,,,,,,,,4ccd37b4-2116-4eae-b5d2-44291f5f9a9b,2332,,,"[99.0, 25.0]",3754045,59,,,True,2.070143,,,,,,"[87.0, 47.0]",High Pass,,25.059929,,,,Riyad Mahrez,3814.0,,,,,,2,Regular Play,Jamie Vardy,10960.0,Center Forward,128,Leicester City,22,"['5a159e2e-723f-439c-a8cd-e27ac54a6d37', '6f67693e-b8d8-4be0-a7f9-42ef22e7ba24']",20,,,,,,,,,,,,,,,,,Leicester City,22,00:14:20.138,Pass,True
,,,,,,,,,,,,,,,,,,0.765187,,,,,,,,,a3338c01-77c2-4b16-9235-9d3cb9918263,2336,,,"[87.2, 44.2]",3754045,59,,,,0.11710875,,Left Foot,,,,"[97.4, 45.4]",Ground Pass,,10.270346,,,,Danny Drinkwater,3662.0,,,,,,2,Regular Play,Riyad Mahrez,3814.0,Right Midfield,128,Leicester City,22,"['558f02fd-9f36-4368-b77d-f044bb6b5351', '6bc84050-ed8a-4057-a493-e79747389840']",22,,,,,,,,,,,,,,,,,Leicester City,22,00:14:22.314,Pass,True
,,,,,,,,,,,,,,,,,,1.378274,,,,,,,,,3898547f-1cfe-4dab-8365-30fb85119d43,2339,,,"[97.4, 45.4]",3754045,59,,,,2.4042344,,Left Foot,,,,"[86.5, 55.3]",Ground Pass,,14.724809,,,,Danny Simpson,3270.0,,,,,,2,Regular Play,Danny Drinkwater,3662.0,Right Center Midfield,128,Leicester City,22,['e35713b5-d938-4450-b415-490b9eed9665'],23,,,,,,,,,,,,,,,,,Leicester City,22,00:14:23.159,Pass,
,,,,,,,,,,,,,,,,,,0.689478,,,,,,,,,94508ad1-49f0-4855-91f2-bb4b7000ed24,2342,,,"[89.6, 56.4]",3754045,59,,,,-0.4548178,,Right Foot,,,,"[107.8, 47.5]",Low Pass,,20.259565,,,,Riyad Mahrez,3814.0,,,,,,2,Regular Play,Danny Simpson,3270.0,Right Back,128,Leicester City,22,['70b53e3b-20e7-4e74-811f-d4823cfb35b1'],25,,,,,,,,,,,,,,,,,Leicester City,22,00:14:25.859,Pass,
,,,,,,,,,,,,,,,,,,0.91111,,,,,,,,,86a81416-abbd-4920-ab1b-28a29d4990c6,2354,,,"[77.5, 66.1]",3754045,59,,,,0.27609703,,Right Foot,,,,"[83.5, 67.8]",Ground Pass,,6.2361846,,,,Danny Drinkwater,3662.0,,,,,,2,Regular Play,Wes Morgan,3813.0,Right Center Back,128,Leicester City,22,['c0e64ea6-0086-42b2-9dcb-e64bf5112e85'],32,,,,,,,,,,,,,,,,,Leicester City,22,00:14:32.418,Pass,
