50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.4339,,,,,,,,,,,,,cf18c973-ccad-4acc-b42e-c5da11007eb0,991,,"[46.7, 20.0]",3754303,25,,,,0.43856326,,Head,,,,"[58.0, 25.3]",,High Pass,,12.481186,,,,Jack Frank Porteous Cork,3462.0,,,,,,Interception,1,From Throw In,Ashley Williams,3644.0,Left Center Back,54,Crystal Palace,31,"['50fd5690-163f-46f9-ba4c-0a6da5a90d17', '8215631a-17aa-446d-876b-e1f5d575a561']",35,,,,,,,,,,,,,,,,Swansea City,26,00:25:35.384,Pass,
,,,,,,,,,,,,,,,,,,,1.030959,,,,,,,,,,,,,a8492db6-81b8-4dca-ab8e-8f944ff861bd,994,,"[65.1, 25.8]",3754303,25,,,,0.025635408,,Right Foot,,,,"[72.9, 26.0]",,Ground Pass,,7.8025637,,Incomplete,,Gylfi Þór Sigurðsson,3944.0,,,,,,,1,From Throw In,Jack Frank Porteous Cork,3462.0,Right Center Midfield,54,Crystal Palace,31,"['2cfe9cc7-8caa-435c-b1df-e4ea671d9529', 'a5b07746-a039-45ad-88f4-116dd499ed50']",38,,,,,,,,,,,,,,,,Swansea City,26,00:25:38.138,Pass,
,,,,,,,,,,,,,,,,,,,1.672713,,,,,,,,,,,,,697eda8e-fcb8-4a3a-a320-cf21afb76f61,998,,"[54.5, 50.7]",3754303,25,,,,-1.19029,,Right Foot,,,,"[61.9, 32.2]",,Ground Pass,,19.92511,,,,Chung-Yong Lee,3326.0,,,,,,,1,From Throw In,Yohan Cabaye,3277.0,Right Defensive Midfield,54,Crystal Palace,31,['54a7639d-4194-492f-a018-be2b3cba1157'],41,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:41.223,Pass,
,,,,,,,,,,,,,,,,,,,1.694312,,,,,,,,,,,,,43c274e3-1d0d-4ec6-9643-66466638c3e0,1001,,"[85.6, 16.6]",3754303,25,,,,-1.3840225,,Right Foot,,,,"[88.0, 3.9]",,Ground Pass,,12.924783,,,,Pape N''Diaye Souaré,4884.0,,,,,,,1,From Throw In,Chung-Yong Lee,3326.0,Left Wing,54,Crystal Palace,31,['173bd14d-0a7e-4110-a7a0-34813c16c1fb'],48,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:48.516,Pass,
,,,,,,,,,,,,,,,,,,,1.834349,,,,,,,,,,,,,baffcd73-9bc7-452c-9cff-2cd158ef880d,1004,,"[91.9, 3.4]",3754303,25,,,,0.935551,,Left Foot,True,,,"[114.9, 34.6]",,High Pass,,38.761322,,Unknown,,Emmanuel Adebayor,26699.0,,,,,,,1,From Throw In,Pape N''Diaye Souaré,4884.0,Left Back,54,Crystal Palace,31,['ae86d334-4045-4547-9d7b-bd40e1b94e55'],51,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:51.402,Pass,
,,,,,,,,,,,,,,,,,,,3.121356,,,,,,,,,,,,,bea7801e-9f27-42ba-adde-082c08a8a3be,1008,,"[8.9, 37.5]",3754303,26,,,,0.6179385,,Right Foot,,,,"[66.3, 78.3]",,High Pass,,70.423004,,Incomplete,,Àngel Rangel Zaragoza,3973.0,,,True,,,Free Kick,1,From Free Kick,Łukasz Fabiański,3262.0,Goalkeeper,55,Swansea City,26,"['f2672303-3e3a-465d-b13d-00a42afedf3d', 'f5b3358b-33b0-4171-b29b-e8853550b971']",39,,,,,,,,,,,,,,,,Swansea City,26,00:26:39.369,Pass,
,,,,,,,,,,,,,,,,,,,1.126697,,,,,,,,,,,,,8b21f928-5551-4315-879d-3b48deca5cc6,1012,,"[82.9, 80.0]",3754303,27,,,,-0.37671134,,,,,,"[101.1, 72.8]",,High Pass,,19.57243,,,,Wayne Routledge,3449.0,,,,,,Throw-in,1,From Throw In,Àngel Rangel Zaragoza,3973.0,Right Back,56,Swansea City,26,['5aa5db82-2830-4eb5-87e6-b4a76279c995'],6,,,,,,,,,,,,,,,,Swansea City,26,00:27:06.637,Pass,
,,,,,,,,,,,,,,,,,,,2.373172,,,,,,,,,,,,,d34324c0-48c6-4fc5-92a3-419b2eec92ff,1014,,"[102.5, 72.8]",3754303,27,,,,-0.7055682,,Head,,,,"[113.3, 63.6]",,High Pass,,14.187318,,Incomplete,,Alberto Paloschi,6950.0,,,,,,,1,From Throw In,Wayne Routledge,3449.0,Left Center Forward,56,Swansea City,26,"['3554d0d5-c30a-4735-bd78-e9114e797724', '8e99e651-85bb-44a5-810e-4ff895495416']",7,,,,,,,,,,,,,,,,Swansea City,26,00:27:07.764,Pass,
,,,,,,,,,,,,,,,,,,,5.30257,,,,,,,,,,,,,8e99e651-85bb-44a5-810e-4ff895495416,1016,,"[6.8, 16.5]",3754303,27,,,,-0.30496,,Right Foot,,,,"[58.9, 0.1]",,High Pass,,54.620235,,Out,,Emmanuel Adebayor,26699.0,,,,,,Recovery,1,From Throw In,Damien Delaney,3693.0,Left Center Back,56,Swansea City,26,"['82165c90-530d-4e2d-a96d-c691aae6ff2a', 'd34324c0-48c6-4fc5-92a3-419b2eec92ff']",10,,,,,,,,,,,,,,,,Crystal Palace,31,00:27:10.137,Pass,
,,,,,,,,,,,,,,,,,,,1.590399,,,,,,,,,,,,,b4509020-edf6-433c-9703-372a95ee8043,1019,,"[62.8, 80.0]",3754303,27,,,,-0.6029022,,,,,,"[76.6, 70.5]",,Low Pass,,16.753805,,,,Alberto Paloschi,6950.0,,,,,,Throw-in,1,From Throw In,Àngel Rangel Zaragoza,3973.0,Right Back,57,Swansea City,26,['9010225d-b9ee-4cca-a9da-83874614e4dc'],38,,,,,,,,,,,,,,,,Swansea City,26,00:27:38.583,Pass,
,,,,,,,,,,,,,,,,,,,2.485596,,,,,,,,,,,,,b5b6bdab-dbcb-4d9a-844f-d201ee9ae6d8,1021,,"[76.0, 70.5]",3754303,27,,,,-1.8773966,,Left Foot,,,,"[69.7, 50.6]",,Low Pass,,20.873428,,,,Jack Frank Porteous Cork,3462.0,,,,,,,1,From Throw In,Alberto Paloschi,6950.0,Right Center Forward,57,Swansea City,26,['b4a1fc2c-92e8-4f9a-b974-ff8bc3ac2b53'],40,,,,,,,,,,,,,,,,Swansea City,26,00:27:40.173,Pass,
,,,,,,,,,,,,,,,,,,,3.052295,,,,,,,,,,,,,4accee7a-33c9-47d5-989c-8ab8772a4055,1037,,"[53.8, 47.7]",3754303,27,,,,0.5144513,,Right Foot,,,,"[63.0, 52.9]",,High Pass,,10.567876,,Unknown,,André Ayew Pelé,3347.0,,,,,,Recovery,1,From Throw In,Ashley Williams,3644.0,Left Center Back,57,Swansea City,26,['403b6410-b0eb-4b98-97ca-6e34b3f37409'],47,,,,,,,,,,,,,,,,Swansea City,26,00:27:47.361,Pass,
