bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,True,,,,,,0.863285,,,,,,,,,,,,e1dd7553-53ce-4381-aff8-9eee4c0f34cb,177,,,"[81.0, 26.2]",3754093,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,11,Chelsea,33,['c9ee9e71-acd8-4ebf-86be-3578edf6a2d0'],13,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:13.237,Pressure,
,,,,,,,,,,,,,,,,,0.729213,,,,,,,,,,,,f943dc06-3c4b-4e39-9bbc-e2681da5e127,189,,,"[73.0, 74.3]",3754093,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Willian Borges da Silva,3472.0,Right Wing,11,Chelsea,33,,28,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:28.974,Pressure,
,,,,,,,,,,,,,,,,,0.525025,,,,,,,,,,,,7ccc6c06-855c-4310-83e2-6126b8c23d5c,193,,,"[31.3, 8.9]",3754093,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mousa Sidi Yaya Dembélé,3037.0,Left Center Midfield,12,Chelsea,33,"['3a04f4c9-c7b8-4477-bb94-87e9379c5d0a', 'c6026ebf-8b78-4b2c-8617-daf871a4079a']",47,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:06:47.642,Pressure,
,,,,,,,,,,,,,,,,,1.097044,,,,,,,,,,,,ca7d4a4e-a7f0-42ec-a022-1152715a0432,205,,,"[71.8, 71.6]",3754093,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,13,Tottenham Hotspur,38,['ce3d6db7-29e0-4785-8233-00b60c14c938'],20,,,,,,,,,,,,,,,,,,Chelsea,33,00:07:20.478,Pressure,
,,,,,,,,,,,,,,,,,1.102999,,,,,,,,,,,,4bd1bdc4-a973-4dee-830f-4888b66c731a,213,,,"[73.6, 57.1]",3754093,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,13,Tottenham Hotspur,38,"['6381f586-1d52-498d-a31f-5e965947c090', '77b62f62-78f5-48ba-b436-84793fdb6851', '79140796-7717-42cd-8ebc-d571a8d35f1d']",37,,,,,,,,,,,,,,,,,,Chelsea,33,00:07:37.400,Pressure,
,,,,,,,,,,,,,,,,,1.11445,,,,,,,,,,,,557dea7e-9a50-4203-a237-a6013452f2c6,248,,,"[37.3, 61.2]",3754093,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nemanja Matić,3381.0,Left Defensive Midfield,14,Tottenham Hotspur,38,"['3150069f-feb8-4741-9f60-11cc4969bdce', 'f68f25c6-9ed7-42ff-81e1-81d9a8f19f22']",29,,,,,,,,,,,,,,,,,,Chelsea,33,00:08:29.364,Pressure,
,,,,,,,,,,,,,,,,,0.976198,,,,,,,,,,,,10708e6a-a48b-479b-ab55-7f8fa2be8645,250,,,"[42.4, 64.0]",3754093,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nemanja Matić,3381.0,Left Defensive Midfield,14,Tottenham Hotspur,38,"['01718aa3-a16c-42fd-ad1c-12bf7489afa7', '3faa4a45-1292-4e00-8031-0498efe3215a', 'ccb35ff4-f316-42ed-b177-0b554ce1db58']",31,,,,,,,,,,,,,,,,,,Chelsea,33,00:08:31.062,Pressure,
,,,,,,,,,,,,,,,,,0.906257,,,,,,,,,,,,7042a29e-b9ce-4a13-afeb-d5728b2c7efd,267,,,"[35.6, 50.9]",3754093,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,César Azpilicueta Tanco,3957.0,Left Back,14,Tottenham Hotspur,38,"['36723c67-5453-45ef-a321-ddaf10ad2845', 'b2b8dd59-b13f-4010-834c-1bef6d091871']",36,,,,,,,,,,,,,,,,,,Chelsea,33,00:08:36.761,Pressure,
,,,,,,,,,,,,,,,,,0.58383,,,,,,,,,,,,8ab8f375-216c-42f1-ae06-a587c0d6cd8f,275,,,"[30.9, 52.3]",3754093,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nemanja Matić,3381.0,Left Defensive Midfield,14,Tottenham Hotspur,38,,42,,,,,,,,,,,,,,,,,,Chelsea,33,00:08:42.884,Pressure,
,,,,,,,,,,,,,,,,,2.326178,,,,,,,,,,,,167d4409-a6fe-4301-a32b-b16a38a17e52,284,,,"[42.0, 53.0]",3754093,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,14,Tottenham Hotspur,38,['b9148f60-fce4-4469-a51a-8a7852600382'],50,,,,,,,,,,,,,,,,,,Chelsea,33,00:08:50.064,Pressure,
