bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,fdb3d7cc-4c1c-4b24-9ca3-3384e9da5881,60,,"[31.0, 23.1]",3754318,0,,,,,-1.4025896,,Right Foot,,,"[33.7, 7.2]",,Ground Pass,,16.127617,,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,Interception,1,Regular Play,Francis Joseph Coquelin,3437.0,Right Defensive Midfield,5,Arsenal,1,['af4a2391-7ef3-47e0-a29e-924814c1adbd'],57,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:57.714,Pass,
,,,,,,,,,,,,,,1.319665,,,,,,,,,,,,,9d2d83cc-5998-4802-8f3c-d33e0cf30b68,63,,"[35.6, 5.7]",3754318,0,,,,,-3.1267788,,Right Foot,,,"[22.1, 5.5]",,Ground Pass,,13.501481,,,,Kieran Gibbs,3528.0,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Left Defensive Midfield,5,Arsenal,1,['0f0904b5-28cf-4cdb-931e-33213cff2530'],59,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:59.779,Pass,
,,,,,,,,,,,,,,2.552198,,,,,,,,,,,,,b89a3af6-23a6-482e-a7a6-e4c06af7430f,67,,"[24.3, 5.3]",3754318,1,,,,,0.3617792,,Left Foot,,,"[71.6, 23.2]",,High Pass,,50.573708,,Incomplete,,Daniel Nii Tackie Mensah Welbeck,3569.0,,,,,,1,Regular Play,Kieran Gibbs,3528.0,Left Back,5,Arsenal,1,"['20622d1c-960a-443c-a78c-4ee87a8f9e4a', '63a90ef7-c05e-4f68-a69b-3c0f74c008ac', '69845ee7-85f5-4adb-ae12-e80427914e1d']",1,,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:01.348,Pass,True
,,,,,,,,,,,,,,4.589289,,,,,,,,,,,,,69845ee7-85f5-4adb-ae12-e80427914e1d,69,,"[48.5, 56.9]",3754318,1,,,,,-0.19448012,,Left Foot,,,"[94.7, 47.8]",,High Pass,,47.087685,,Incomplete,,Harry Kane,10955.0,,,,,Interception,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,5,Arsenal,1,"['18d76b10-c788-47a8-9eec-b089e0254c91', 'b89a3af6-23a6-482e-a7a6-e4c06af7430f', 'f0883af1-2d1e-4d0f-9661-05412a700716']",3,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:03.901,Pass,
,,,,,,,,,,,,,,1.692791,,,,,,,,,,,,,18d76b10-c788-47a8-9eec-b089e0254c91,72,,"[25.4, 32.3]",3754318,1,,,,True,-1.3752156,,,,,"[27.5, 21.7]",,Low Pass,,10.806017,,,,Kieran Gibbs,3528.0,,,,,Recovery,1,Regular Play,Per Mertesacker,3475.0,Right Center Back,5,Arsenal,1,"['4e240e1b-f2da-4020-83cb-76ffb24e73cc', '5750dd4f-fdd1-42d0-a281-622cc9f5e409', '69845ee7-85f5-4adb-ae12-e80427914e1d']",8,,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:08.490,Pass,True
,,,,,,,,,,,,,,0.836666,,,,,,,,,,,,,f6f2daa0-1dd8-4cdd-a4c2-45b5c58e2716,76,,"[28.4, 14.7]",3754318,1,,,,,0.3011585,,Left Foot,,,"[41.6, 18.8]",,High Pass,,13.822083,,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,1,Regular Play,Kieran Gibbs,3528.0,Left Back,5,Arsenal,1,['b182d574-79d1-4c66-b90f-1be9815b4688'],10,,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:10.495,Pass,
,,,,,,,,,,,,,,1.98687,,,,,,,,,,,,,d57ac19b-be3c-49c4-8f9c-f8e7e9d06f54,80,,"[40.7, 20.6]",3754318,1,,,,,1.332187,,Right Foot,,,"[43.4, 31.7]",,High Pass,,11.423659,,,,Aaron Ramsey,3517.0,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Left Defensive Midfield,5,Arsenal,1,"['4cedabf0-21c2-4895-8f60-9b8bd0092011', 'bb0d665e-ca14-4729-8d24-75c839f8e872']",12,,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:12.260,Pass,True
,,,,,,,,,,,,,,1.8897,,,,,,,,,,,,,c310ecca-a421-4bec-9053-daf9f67c642c,84,,"[45.4, 42.0]",3754318,1,,,,,1.3867333,,Left Foot,,,"[48.9, 60.8]",,Ground Pass,,19.123022,,,,Héctor Bellerín Moruno,3511.0,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Right Wing,5,Arsenal,1,"['2cf09a56-f583-43a9-9a15-0e7f857d8b23', 'bfb66587-7bd4-4339-aabc-e63c3c444d73']",14,,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:14.893,Pass,True
,,,,,,,,,,,,,,1.637687,,,,,,,,,,,,,0c347f6c-1b1a-44d0-9e33-19e193b0f4e1,92,,"[43.9, 33.1]",3754318,1,,,,,1.2013433,,Left Foot,,,"[53.0, 56.6]",,Ground Pass,,25.200397,,,,Christian Dannemann Eriksen,3043.0,,,,,,1,Regular Play,Erik Lamela,3585.0,Left Wing,5,Arsenal,1,"['66263ba3-0c6f-469c-8ca1-651567046466', 'e2978f3f-ca90-4e7c-8e78-daf1fbc30179']",21,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:21.812,Pass,True
,,,,,,,,,,,,,,2.00438,,,,,,,,,,,,,e9c25fab-5fce-444f-aa23-ea5338d674ad,95,,"[57.9, 44.6]",3754318,1,,,,,-1.119909,,Right Foot,,,"[74.7, 9.9]",,Ground Pass,,38.55295,,Incomplete,,Danny Rose,3594.0,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,5,Arsenal,1,"['623b9bb9-9aec-4d45-9ddf-3c058f960622', 'ef85814c-e67c-4c64-a9b2-f73edbaeb856']",23,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:01:23.929,Pass,
