50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.337924,,,,,,,,,,,,ecfd33d8-5131-4711-8bed-602ec74ec224,16,,"[6.3, 33.8]",3753990,0,,,,,-0.37359086,,Left Foot,,,"[68.8, 9.3]",High Pass,,67.13047,Incomplete,,Alex Iwobi,3647.0,,,,,,,1,From Throw In,Petr Čech,3461.0,Goalkeeper,3,Arsenal,1,"['4aebba27-7fab-406a-9f7a-604553cddfc2', '4c2d2930-4c07-44b5-8b88-fa68ae6a3457', 'a1356b1d-5958-461c-8ca3-3c0bba39f537']",17,,,,,,,,,,,,,,,,,Arsenal,1,00:00:17.952,Pass,True
,,,,,,,,,,,,,,,,,0.827319,,,,,,,,,,,,e4dbd4a9-af7e-4971-905f-cc779b7dd2e0,20,,"[61.3, 0.1]",3753990,0,,,,,0.87605804,,,,,"[66.3, 6.1]",Low Pass,,7.81025,,,Mesut Özil,3496.0,,,,,,Throw-in,1,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,4,Arsenal,1,['d4d87f42-1ba6-4f72-88da-f3272b38e5a6'],34,,,,,,,,,,,,,,,,,Arsenal,1,00:00:34.471,Pass,
,,,,,,,,,,,,,,,,,1.038618,,,,,,,,,,,,51df3c5d-9964-4c5e-92ab-dd349463641d,22,,"[66.3, 6.1]",3753990,0,,,,,-2.6779451,,Left Foot,,,"[61.7, 3.8]",Ground Pass,,5.1429563,,,Ignacio Monreal Eraso,3498.0,,,,,,,1,From Throw In,Mesut Özil,3496.0,Center Attacking Midfield,4,Arsenal,1,['f20b983c-9275-4559-8794-4024c9453235'],35,,,,,,,,,,,,,,,,,Arsenal,1,00:00:35.298,Pass,
,,,,,,,,,,,,,,,,,1.269663,,,,,,,,,,,,28280445-86ea-47be-83d4-acba4ad463ee,24,,"[61.7, 3.8]",3753990,0,,,,,2.8798792,,Left Foot,,,"[50.5, 6.8]",Ground Pass,,11.594827,,,Aaron Ramsey,3517.0,,,,,,,1,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,4,Arsenal,1,['670bdbfc-7170-43e4-852f-7f84bc5d316d'],36,,,,,,,,,,,,,,,,,Arsenal,1,00:00:36.336,Pass,
,,,,,,,,,,,,,,,,,1.990356,,,,,,,,,,,,0b817e74-07c4-4e2b-9ac0-c19edf23af22,28,,"[45.2, 9.2]",3753990,0,,,,,1.9702266,,Right Foot,,,"[26.5, 53.5]",High Pass,,48.085133,,,Per Mertesacker,3475.0,,,True,,,,1,From Throw In,Aaron Ramsey,3517.0,Left Defensive Midfield,4,Arsenal,1,"['3d76d5e4-d029-49ad-96b7-5394d659669b', '7cf36c07-b3f0-4cb2-a936-0c5c56bfc6c1']",39,,,,,,,,,,,,,,,,,Arsenal,1,00:00:39.156,Pass,True
,,,,,,,,,,,,,,,,,1.096493,,,,,,,,,,,,7bafd987-5f87-48ea-aef3-1cf1025c6fb5,31,,"[40.0, 56.4]",3753990,0,,,,,-0.5585993,,Right Foot,,,"[48.0, 51.4]",Ground Pass,,9.433981,,,Mesut Özil,3496.0,,,,,,,1,From Throw In,Per Mertesacker,3475.0,Right Center Back,4,Arsenal,1,['d2b6518f-c004-4306-8f17-70517b056975'],45,,,,,,,,,,,,,,,,,Arsenal,1,00:00:45.496,Pass,
,,,,,,,,,,,,,,,,,1.575598,,,,,,,,,,,,b2a38959-38ca-4e48-8d29-441711573b32,34,,"[49.1, 49.3]",3753990,0,,,,,-2.9350567,,Left Foot,,,"[38.6, 47.1]",Ground Pass,,10.728001,,,Laurent Koscielny,3394.0,,,,,,,1,From Throw In,Mesut Özil,3496.0,Center Attacking Midfield,4,Arsenal,1,"['17d7e0bd-c350-4183-9952-b9984cb4ec41', 'd119047d-871e-4239-ab9e-217b26d24513']",46,,,,,,,,,,,,,,,,,Arsenal,1,00:00:46.592,Pass,True
,,,,,,,,,,,,,,,,,1.313314,,,,,,,,,,,,a720a32d-ea94-425a-854a-a20b4ca38f39,37,,"[39.2, 46.5]",3753990,0,,,,,-1.4189138,,Right Foot,,,"[40.7, 36.7]",Ground Pass,,9.914131,,,Aaron Ramsey,3517.0,,,,,,,1,From Throw In,Laurent Koscielny,3394.0,Left Center Back,4,Arsenal,1,['2223d98c-2b53-4215-a318-d83668432034'],49,,,,,,,,,,,,,,,,,Arsenal,1,00:00:49.297,Pass,
,,,,,,,,,,,,,,,,,1.576841,,,,,,,,,,,,26533f59-df48-4360-917f-b613b3e47591,40,,"[41.9, 30.5]",3753990,0,,,,,-0.74763274,,Right Foot,,,"[62.5, 11.4]",Ground Pass,,28.092169,,,Ignacio Monreal Eraso,3498.0,,,,,,,1,From Throw In,Aaron Ramsey,3517.0,Left Defensive Midfield,4,Arsenal,1,['112643ea-b9fa-4bda-9f3e-3df71c7fb222'],51,,,,,,,,,,,,,,,,,Arsenal,1,00:00:51.480,Pass,
,,,,,,,,,,,,,,,,,0.836545,,,,,,,,,,,,a96d9502-f56c-41c3-8658-7a7b815ff575,44,,"[63.4, 14.6]",3753990,0,,,,,2.6940727,,Left Foot,,,"[53.4, 19.4]",Ground Pass,,11.0923395,,,Aaron Ramsey,3517.0,,,,,,,1,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,4,Arsenal,1,['d341b26e-cef9-4498-94af-c0cbcedcac23'],53,,,,,,,,,,,,,,,,,Arsenal,1,00:00:53.948,Pass,
,,,,,,,,,,,,,,,,,3.785234,,,,,,,,,,,,de6363e4-c312-4eda-9dd4-f79f4d007eef,48,,"[46.5, 23.7]",3753990,0,,,,,2.0853553,,Right Foot,,,"[29.2, 54.3]",Ground Pass,,35.151814,,,Per Mertesacker,3475.0,,,,,,,1,From Throw In,Aaron Ramsey,3517.0,Left Defensive Midfield,4,Arsenal,1,['beeb037b-fb7e-4ce5-bbd2-e8c70c34a261'],56,,,,,,,,,,,,,,,,,Arsenal,1,00:00:56.512,Pass,
,,,,,,,,,,,,,,,,,2.443697,,,,,,,,,,,,bed851bb-e570-44f9-8d78-1baa0d601ac4,50,,"[27.0, 54.3]",3753990,1,,,,,-2.490672,,Right Foot,,,"[7.7, 39.6]",Ground Pass,,24.260668,,,Petr Čech,3461.0,,,,,,,1,From Throw In,Per Mertesacker,3475.0,Right Center Back,4,Arsenal,1,['00d82bc6-59fc-4870-bfbc-e034aab47258'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:01:00.297,Pass,
,,,,,,,,,,,,,,,,,3.00034,,,,,,,,,,,,6c77ae6f-2166-4337-bde0-fd624e4b8d25,53,,"[8.4, 35.9]",3753990,1,,,,,-0.2914568,,Left Foot,,,"[66.4, 18.5]",High Pass,,60.55378,Incomplete,,Olivier Giroud,3604.0,,,,,,,1,From Throw In,Petr Čech,3461.0,Goalkeeper,4,Arsenal,1,"['0dc397fb-2029-4d8d-ab68-4b35790170f6', '83f6f2a6-4659-4d98-b69f-721db653af0a']",4,,,,,,,,,,,,,,,,,Arsenal,1,00:01:04.495,Pass,
,,,,,,,,,,,,,,,,,2.066076,,,,,,,,,,,,a134203f-1733-446a-87e3-4dad10227684,57,,"[61.2, 44.8]",3753990,1,,,,,1.3688623,,Right Foot,,,"[63.8, 57.5]",High Pass,,12.96341,,,Yann Gérard M''Vila,4429.0,,,,,,Recovery,1,Regular Play,Lee Cattermole,10783.0,Left Center Midfield,5,Sunderland,41,['2cfcb660-2d08-4766-afc3-5500818ae8ec'],9,,,,,,,,,,,,,,,,,Sunderland,41,00:01:09.073,Pass,
,,,,,,,,,,,,,,,,,1.347563,,,,,,,,,,,,bb65f968-5b91-4e40-9139-f83d01ffa784,60,,"[63.8, 57.5]",3753990,1,,,,True,0.21866895,,,,,"[69.2, 58.7]",Low Pass,,5.531727,,,Fabio Borini,7171.0,,,,,,,1,Regular Play,Yann Gérard M''Vila,4429.0,Right Center Midfield,5,Sunderland,41,"['07c4fafd-0892-49b7-b922-26222a976e46', 'f722ff01-acb1-497a-bf03-7ec22a8befd9']",11,,,,,,,,,,,,,,,,,Sunderland,41,00:01:11.139,Pass,True
,,,,,,,,,,,,,,,,,1.64302,,,,,,,,,,,,5512811e-030a-4eb3-8cd1-5c26fbbf2823,66,,"[78.6, 53.3]",3753990,1,,,,,-0.723462,,Right Foot,,,"[106.0, 29.1]",High Pass,,36.556805,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Wahbi Khazri,3196.0,Left Midfield,6,Sunderland,41,['28a174a3-2d3a-429d-b579-421bf825663e'],48,,,,,,,,,,,,,,,,,Sunderland,41,00:01:48.404,Pass,
,,,,,,,,,,,,,,,,,3.922129,,,,,,,,,,,,f1aee98b-7724-43f3-a3c9-a479c5847242,68,,"[65.6, 19.2]",3753990,1,,,,,0.18049575,,Left Foot,,,"[79.3, 21.7]",High Pass,,13.926234,Incomplete,,,,,,,,,Recovery,1,From Free Kick,Patrick van Aanholt,3321.0,Left Back,6,Sunderland,41,['5e0098bb-bf2d-4f6c-b69f-95800db7e347'],53,,,,,,,,,,,,,,,,,Sunderland,41,00:01:53.883,Pass,
,,,,,,,,,,,,,,,,,3.045492,,,,,,,,,,,,5e0098bb-bf2d-4f6c-b69f-95800db7e347,69,,"[40.8, 58.4]",3753990,1,,,,True,-0.1638511,,,,,"[78.3, 52.2]",High Pass,,38.00908,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,Recovery,1,From Free Kick,Aaron Ramsey,3517.0,Left Defensive Midfield,6,Sunderland,41,"['45db792a-e344-4819-a3b8-bace13d00ec8', '7ee067a3-9c56-4345-b8b9-c22440cac191', '9701cf03-f6cb-46c6-820d-c69bf13fddaa', 'f1aee98b-7724-43f3-a3c9-a479c5847242']",57,,,,,,,,,,,,,,,,,Arsenal,1,00:01:57.805,Pass,True
,,,,,,,,,,,,,,,,,2.507468,,,,,,,,,,,,7ee067a3-9c56-4345-b8b9-c22440cac191,72,,"[41.8, 27.9]",3753990,2,,,,,2.863293,,Right Foot,,,"[13.8, 35.9]",Ground Pass,,29.12044,,,Vito Mannone,9539.0,,,,,,Recovery,1,From Free Kick,DeAndre Yedlin,3658.0,Right Back,6,Sunderland,41,"['5e0098bb-bf2d-4f6c-b69f-95800db7e347', '75c601e1-c893-4805-b0db-7008ea974b42']",0,,,,,,,,,,,,,,,,,Sunderland,41,00:02:00.851,Pass,
,,,,,,,,,,,,,,,,,3.447181,,,,,,,,,,,,da7dbc51-f79b-4cff-a940-124e1a9d0e74,76,,"[8.7, 39.4]",3753990,2,,,,,0.40830064,,Right Foot,,,"[68.8, 65.4]",High Pass,,65.482895,Incomplete,,Fabio Borini,7171.0,,,,,,,1,From Free Kick,Vito Mannone,9539.0,Goalkeeper,6,Sunderland,41,"['c8b9e532-b703-4499-8842-879225f8e6d2', 'cb834adf-44b2-4b33-bd58-15076dead96f']",5,,,,,,,,,,,,,,,,,Sunderland,41,00:02:05.827,Pass,
,,,,,,,,,,,,,,,,,0.046564,,,,,,,,,,,,c8b9e532-b703-4499-8842-879225f8e6d2,78,,"[51.3, 14.7]",3753990,2,,,,True,3.1415927,,,,,"[50.2, 14.7]",Low Pass,,1.1,Incomplete,,Aaron Ramsey,3517.0,,,,,,Recovery,1,From Free Kick,Ignacio Monreal Eraso,3498.0,Left Back,6,Sunderland,41,"['6fbb8778-a746-45e9-a1c3-867ce2d24785', '83cacd16-45a1-45a7-bda5-f48bc88b350a', 'ae35be5a-2d00-4d68-a9f2-e18876366caa', 'da7dbc51-f79b-4cff-a940-124e1a9d0e74']",9,,,,,,,,,,,,,,,,,Arsenal,1,00:02:09.275,Pass,True
,,,,,,,,,,,,,,,,,1.258958,,,,,,,,,,,,7acfb97b-ef81-4e02-9b67-4ef5e4a80dc0,87,,"[52.8, 60.1]",3753990,2,,,,,-2.766322,,Right Foot,,,"[42.9, 56.2]",Ground Pass,,10.640489,,,Lamine Koné,13286.0,,,,,,,1,From Free Kick,DeAndre Yedlin,3658.0,Right Back,6,Sunderland,41,['541133cb-9102-4ef9-9cca-d63af6aac118'],17,,,,,,,,,,,,,,,,,Sunderland,41,00:02:17.045,Pass,
,,,,,,,,,,,,,,,,,4.246763,,,,,,,,,,,,33f77e43-ea1c-4b89-a328-1cf188fd0567,89,,"[43.4, 56.2]",3753990,2,,,,,-0.087438814,,Right Foot,,,"[105.0, 50.8]",High Pass,,61.836235,Incomplete,,Wahbi Khazri,3196.0,,,,,,,1,From Free Kick,Lamine Koné,13286.0,Right Center Back,6,Sunderland,41,"['8f5b3b85-6d99-49dd-820f-146e1024308a', 'c5dc451e-3c5a-4631-8a98-ffa430ef9112']",18,,,,,,,,,,,,,,,,,Sunderland,41,00:02:18.304,Pass,
,,,,,,,,,,,,,,,,,3.545932,,,,,,,,,,,,254e8970-5c43-4b42-8f76-fa40769fae6b,93,,"[16.3, 33.7]",3753990,2,,,,,1.0303768,,Keeper Arm,,,"[38.2, 70.2]",Ground Pass,,42.56595,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,Regular Play,Petr Čech,3461.0,Goalkeeper,7,Arsenal,1,['f376d218-c005-4058-8b8f-05761681b7ff'],23,,,,,,,,,,,,,,,,,Arsenal,1,00:02:23.298,Pass,
,,,,,,,,,,,,,,,,,0.919177,,,,,,,,,,,,55b94671-f63d-405c-8061-16703ce46638,96,,"[54.8, 72.7]",3753990,2,,,,,1.47804,,Right Foot,,,"[55.2, 77.0]",Ground Pass,,4.3185644,,,Alex Iwobi,3647.0,,,,,,,1,Regular Play,Héctor Bellerín Moruno,3511.0,Right Back,7,Arsenal,1,['a83feb11-3770-46f9-81d6-de7ad16e8841'],29,,,,,,,,,,,,,,,,,Arsenal,1,00:02:29.982,Pass,
,,,,,,,,,,,,,,,,,1.43366,,,,,,,,,,,,cfc51499-2cb9-414e-bcb4-b8aa38cb7740,99,,"[53.4, 77.1]",3753990,2,,,,,-2.612003,,Right Foot,,,"[45.2, 72.3]",Ground Pass,,9.501579,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,,1,Regular Play,Alex Iwobi,3647.0,Left Wing,7,Arsenal,1,['41697ccc-7d5b-4822-ae66-a16faa36be27'],31,,,,,,,,,,,,,,,,,Arsenal,1,00:02:31.578,Pass,
,,,,,,,,,,,,,,,,,2.969336,,,,,,,,,,,,401e2582-ee54-4442-b936-9b9736a8a512,103,,"[45.2, 66.9]",3753990,2,,,,,2.6379664,,Right Foot,,,"[35.4, 72.3]",Ground Pass,,11.1892805,,,Per Mertesacker,3475.0,,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Right Defensive Midfield,7,Arsenal,1,['8a7c30ac-716d-4ed6-b4ad-aabd46650958'],34,,,,,,,,,,,,,,,,,Arsenal,1,00:02:34.394,Pass,
,,,,,,,,,,,,,,,,,1.421099,,,,,,,,,,,,541dfb85-b99b-4efe-9a3e-0bda1ed09ea2,106,,"[30.9, 72.3]",3753990,2,,,,,-0.91736996,,Right Foot,,,"[35.8, 65.9]",Ground Pass,,8.060397,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,,1,Regular Play,Per Mertesacker,3475.0,Right Center Back,7,Arsenal,1,['388557bc-ba65-4a6f-b4a4-dd6045aa5922'],37,,,,,,,,,,,,,,,,,Arsenal,1,00:02:37.488,Pass,
,,,,,,,,,,,,,,,,,0.918849,,,,,,,,,,,,b42682ef-57a5-412a-bb15-90a06f76e892,110,,"[38.6, 60.5]",3753990,2,,,,,0.23154376,,Right Foot,,,"[50.9, 63.4]",Ground Pass,,12.637246,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Right Defensive Midfield,7,Arsenal,1,"['72528cfb-0172-4e8e-bd29-fdf4b1b1ea0d', 'd59a3587-23a8-4251-a4bd-4755bb19f079']",39,,,,,,,,,,,,,,,,,Arsenal,1,00:02:39.307,Pass,True
,,,,,,,,,,,,,,,,,0.155137,,,,,,,,,,,,05fc47bd-675e-4ddc-b9df-118733146e23,113,,"[53.0, 61.1]",3753990,2,,,,,1.5707964,,Right Foot,,,"[53.0, 63.4]",Low Pass,,2.3,Incomplete,,,,,,,,,,1,Regular Play,Héctor Bellerín Moruno,3511.0,Right Back,7,Arsenal,1,"['2de72be7-ffc0-4e4c-9fe0-897a64bd09f1', '4de32f4c-39e9-4fde-a938-454643239ff8']",40,,,,,,,,,,,,,,,,,Arsenal,1,00:02:40.184,Pass,True
,,,,,,,,,,,,,,,,,1.386838,,,,,,,,,,,,0f327076-282d-4e1c-8a85-d5bc8257f6e6,115,,"[70.8, 17.0]",3753990,2,,,,,1.801016,,Left Foot,,,"[69.3, 23.4]",Low Pass,,6.5734315,,,Lee Cattermole,10783.0,,,,,,Recovery,1,Regular Play,Patrick van Aanholt,3321.0,Left Back,7,Arsenal,1,['d8fa969b-95cf-496b-bd6a-a973438c2e1f'],41,,,,,,,,,,,,,,,,,Sunderland,41,00:02:41.054,Pass,
,,,,,,,,,,,,,,,,,2.355567,,,,,,,,,,,,bb5aa671-be0f-4662-a83d-6e011caadec0,123,,"[71.8, 56.8]",3753990,2,,,,,1.0944644,,Left Foot,,,"[81.5, 75.6]",Ground Pass,,21.154905,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,Regular Play,Mesut Özil,3496.0,Center Attacking Midfield,7,Arsenal,1,['5be562de-0a1a-4c9d-b346-f0cbc58ff40b'],49,,,,,,,,,,,,,,,,,Arsenal,1,00:02:49.115,Pass,
,,,,,,,,,,,,,,,,,0.812466,,,,,,,,,,,,1c55bf96-3e63-4bdb-91a1-f559ae75f16c,126,,"[83.3, 72.6]",3753990,2,,,,,-0.6002419,,Right Foot,,,"[102.0, 59.8]",Ground Pass,,22.6612,,,Alex Iwobi,3647.0,,,,,,,1,Regular Play,Héctor Bellerín Moruno,3511.0,Right Back,7,Arsenal,1,['f1134bac-3ebf-4736-87ae-7282a29eb408'],53,,,,,,,,,,,,,,,,,Arsenal,1,00:02:53.585,Pass,
