50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.788051,,,,,,,,,,,,,,,,94082213-7123-4895-8458-870415f52e14,58,,"[67.3, 3.9]",3754322,0,,,,,0.8567056,,Right Foot,,,,"[75.1, 12.9]",,Ground Pass,,11.90966,,,,,Kevin De Bruyne,3089.0,,,,,,1,From Kick Off,Samir Nasri,20253.0,Left Wing,2,Manchester City,36,"['42a08047-6a13-4260-a5a8-1820d11768a1', '673cad90-823a-42b0-bd4a-0c7f6e6c6ce9']",36,,,,,,,,,,,,,,,,Manchester City,36,00:00:36.623,Pass,True
,,,,,,,,,,,,,,,,,,2.926245,,,,,,,,,,,,,,,,fb5534e2-4c0e-408b-8020-54deafaf7733,62,,"[73.5, 14.0]",3754322,0,,,,,2.7636244,,Right Foot,,,,"[66.7, 16.7]",,Ground Pass,,7.31642,True,,Incomplete,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Kevin De Bruyne,3089.0,Center Attacking Midfield,2,Manchester City,36,"['6ea37cc0-e8bf-4385-8b72-2df03700ac5d', 'e6bec2c8-d02a-45eb-a3cf-ab40dc73ab07']",38,,,,,,,,,,,,,,,,Manchester City,36,00:00:38.581,Pass,
,,,,,,,,,,,,,,,,,,3.093112,,,,,,,,,,,,,,,,0bdd3d81-277b-4331-9e95-c4dcf2237b76,74,,"[37.4, 13.2]",3754322,0,,,,,2.3753226,,Right Foot,,,,"[8.1, 41.4]",,Ground Pass,,40.66608,,,,,Joe Hart,3291.0,,,,,Recovery,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['e720e674-9542-4b3b-9745-cebae6954514'],44,,,,,,,,,,,,,,,,Manchester City,36,00:00:44.138,Pass,
,,,,,,,,,,,,,,,,,,1.944329,,,,,,,,,,,,,,,,04dd2550-415f-40fe-8f62-8f864f9b3ecb,76,,"[7.6, 44.1]",3754322,0,,,,,0.39369822,,Right Foot,,,,"[20.6, 49.5]",,Ground Pass,,14.076932,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,Joe Hart,3291.0,Goalkeeper,2,Manchester City,36,['e66e68b7-7f34-444e-8aff-9dc185dedbfe'],47,,,,,,,,,,,,,,,,Manchester City,36,00:00:47.231,Pass,
,,,,,,,,,,,,,,,,,,1.311605,,,,,,,,,,,,,,,,d7c6b6b7-19d1-4e32-9fc7-09cf5233278a,79,,"[23.9, 51.1]",3754322,0,,,,,1.1856388,,Right Foot,,,,"[31.4, 69.6]",,Ground Pass,,19.962465,,,,,Pablo Javier Zabaleta Girod,3052.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Right Center Back,2,Manchester City,36,['615b76a7-fe8b-4ee1-9195-16ea6a42cb0f'],50,,,,,,,,,,,,,,,,Manchester City,36,00:00:50.596,Pass,
,,,,,,,,,,,,,,,,,,1.92258,,,,,,,,,,,,,,,,03307515-7d49-41de-9133-d6076402f05c,81,,"[33.3, 68.2]",3754322,0,,,,,-2.158799,,Right Foot,,,,"[24.1, 54.4]",,Ground Pass,,16.585535,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,Pablo Javier Zabaleta Girod,3052.0,Right Back,2,Manchester City,36,['a8451978-2ebd-4a59-9a5f-588901ac47bc'],51,,,,,,,,,,,,,,,,Manchester City,36,00:00:51.908,Pass,
,,,,,,,,,,,,,,,,,,2.610004,,,,,,,,,,,,,,,,6a609e72-f8d3-45b0-8189-c3d0cead3e8a,84,,"[22.5, 52.0]",3754322,0,,,,,-1.6026696,,Right Foot,,,,"[21.4, 17.5]",,Ground Pass,,34.517532,,,,,Eliaquim Mangala,3389.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Right Center Back,2,Manchester City,36,['86e5906a-6b4f-4c5d-877d-0cdf55e58b02'],53,,,,,,,,,,,,,,,,Manchester City,36,00:00:53.871,Pass,
,,,,,,,,,,,,,,,,,,1.187224,,,,,,,,,,,,,,,,ffee03a6-2917-4d5d-93fc-b0c428e0e9b7,87,,"[20.9, 25.6]",3754322,0,,,,,0.04790852,,Right Foot,,,,"[35.5, 26.3]",,Ground Pass,,14.616771,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['39dcf953-fcde-43cb-bbfb-7f46ca86dc59'],56,,,,,,,,,,,,,,,,Manchester City,36,00:00:56.595,Pass,
,,,,,,,,,,,,,,,,,,1.669839,,,,,,,,,,,,,,,,ca765adc-c482-4ce8-b414-4d0ef6cb5e51,90,,"[35.5, 25.8]",3754322,0,,,,,-1.0582013,,Right Foot,,,,"[48.5, 2.7]",,Ground Pass,,26.506792,,,,,Aleksandar Kolarov,5596.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,2,Manchester City,36,['d5a8c27b-5cc9-478d-9cc0-8b59ef0cd185'],59,,,,,,,,,,,,,,,,Manchester City,36,00:00:59.330,Pass,
,,,,,,,,,,,,,,,,,,3.165247,,,,,,,,,,,,,,,,dbdd7a42-001e-4f08-931c-fc6c0e04baa3,93,,"[49.9, 3.4]",3754322,1,,,,,0.33166212,,Left Foot,,,,"[104.2, 22.1]",,High Pass,,57.429783,,,Incomplete,,Samir Nasri,20253.0,,,,,,1,From Kick Off,Aleksandar Kolarov,5596.0,Left Back,2,Manchester City,36,"['28d948a7-df8d-40a0-ae91-a1f06f8f1bd7', '2d5b7047-046f-4c8e-8400-407f4d4b5222']",2,,,,,,,,,,,,,,,,Manchester City,36,00:01:02.513,Pass,
,,,,,,,,,,,,,,,,,,1.818161,,,,,,,,,,,,,,,,28d948a7-df8d-40a0-ae91-a1f06f8f1bd7,96,,"[15.9, 58.0]",3754322,1,,,,,1.5042281,,Right Foot,,,,"[16.5, 67.0]",,Low Pass,,9.019978,,,,,César Azpilicueta Tanco,3957.0,,,,,Interception,1,From Kick Off,Gary Cahill,3645.0,Right Center Back,2,Manchester City,36,"['7f6057e0-c1fb-4257-9817-ab9278084e32', 'c8caa707-3345-4e11-a53e-3fc676c2f0d6', 'dbdd7a42-001e-4f08-931c-fc6c0e04baa3']",5,,,,,,,,,,,,,,,,Chelsea,33,00:01:05.678,Pass,True
,,,,,,,,,,,,,,,,,,0.079349,,,,,,,,,,,,,,,,1642ded0-156c-4dc9-ad38-c4e0c8c52ee7,99,,"[15.8, 68.7]",3754322,1,,,,,-2.0503156,,Right Foot,,,,"[14.5, 66.2]",,Ground Pass,,2.8178005,,,Incomplete,,Gary Cahill,3645.0,,,,,,1,From Kick Off,César Azpilicueta Tanco,3957.0,Right Back,2,Manchester City,36,"['3cf2cb37-30fe-450f-8c55-face38b386ed', '44654d7b-3632-41ec-9861-ab1f0aafc97c']",7,,,,,,,,,,,,,,,,Chelsea,33,00:01:07.672,Pass,
,,,,,,,,,,,,,,,,,,0.541949,,,,,,,,,,,,,,,,725dbe08-7520-4c85-8c35-ec5a181c5fa6,105,,"[107.0, 3.4]",3754322,1,,,,,2.226492,,Right Foot,,,,"[102.0, 9.9]",,Ground Pass,,8.20061,,,,,Aleksandar Kolarov,5596.0,,,,,,1,From Kick Off,Samir Nasri,20253.0,Left Wing,2,Manchester City,36,"['5a07b51b-35b0-48ed-952e-21a6a34fd338', 'b202631c-be79-48fc-b2ed-41f9ef9f8a37']",11,,,,,,,,,,,,,,,,Manchester City,36,00:01:11.900,Pass,True
,,,,,,,,,,,,,,,,,,0.130256,,,,,,,,,,,,,,,,405621a9-c9be-46e8-ba33-2579503ffc19,109,,"[105.3, 9.3]",3754322,1,,,,,-1.4601392,,Left Foot,,,,"[105.6, 6.6]",,Ground Pass,,2.7166154,,,Incomplete,,Samir Nasri,20253.0,,,,,,1,From Kick Off,Aleksandar Kolarov,5596.0,Left Back,2,Manchester City,36,"['03195d68-bec2-4a3c-be70-56e39e3ea20c', '085ba030-a0e7-463b-8058-885f1cd02893']",13,,,,,,,,,,,,,,,,Manchester City,36,00:01:13.195,Pass,
,,,,,,,,,,,,,,,,,,1.895292,,,,,,,,,,,,,,,,a4544642-63c5-4cdb-aafd-30c869f25c01,113,,"[31.5, 59.3]",3754322,1,,,,,0.5571244,,Left Foot,,,,"[49.8, 70.7]",,Ground Pass,,21.56038,,,,,Willian Borges da Silva,3472.0,,,,,Recovery,1,From Kick Off,Ruben Loftus-Cheek,3504.0,Center Attacking Midfield,2,Manchester City,36,"['9d0805d9-8476-4128-91f7-6b5ea55a8a68', 'a816a963-e3c6-4cac-b9fc-aa6fe7f92616']",16,,,,,,,,,,,,,,,,Chelsea,33,00:01:16.157,Pass,True
,,,,,,,,,,,,,,,,,,1.982795,,,,,,,,,,,,,,,,d811b8cd-34b1-4a50-abfe-bce62aca108a,116,,"[87.2, 56.5]",3754322,1,,,,,0.7304078,,Right Foot,,,,"[98.7, 66.8]",,Ground Pass,,15.438264,,,Incomplete,,César Azpilicueta Tanco,3957.0,,,,,,1,From Kick Off,Willian Borges da Silva,3472.0,Right Wing,2,Manchester City,36,"['29f076c8-eedd-43ec-b777-1c969dc32d9f', '656281e7-7c9b-4345-8f58-98582796ec4d']",21,,,,,,,,,,,,,,,,Chelsea,33,00:01:21.854,Pass,
,,,,,,,,,,,,,,,,,,1.792496,,,,,,,,,,,,,,,,3bdb969d-7d65-44b1-bdcc-aa1e633dab00,120,,"[32.9, 8.1]",3754322,1,,,,,-0.12355049,,Left Foot,,,,"[48.2, 6.2]",,Ground Pass,,15.417522,,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['e18a668b-5ce8-4081-8025-26309e3955b4'],25,,,,,,,,,,,,,,,,Manchester City,36,00:01:25.608,Pass,
,,,,,,,,,,,,,,,,,,0.948633,,,,,,,,,,,,,,,,8cf4fdfd-d47e-4d7c-b0f3-ce991dfc2981,123,,"[48.8, 8.3]",3754322,1,,,,,0.3332443,,Right Foot,,,,"[56.6, 11.0]",,Ground Pass,,8.25409,,,,,Samir Nasri,20253.0,,,,,,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['2f7f83c8-8edb-41f7-8c62-2b1b2d4bb576'],28,,,,,,,,,,,,,,,,Manchester City,36,00:01:28.443,Pass,
