ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.48288,,,,,,,,,,,,,7e2f21c7-b6f0-4386-8154-f6b399614b2c,173,,"[10.9, 0.1]",3754032,3,,True,,,0.21145086,,,,,"[30.0, 4.2]",,High Pass,,19.535097,,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Erik Pieters,3467.0,Left Back,13,Stoke City,30,['e56be336-8e92-4478-aed8-5c14f8f22889'],45,,,,,,,,,,,,,,,,Stoke City,30,00:03:45.214,Pass,
,,,,,,,,,,,,,,,2.301,,,,,,,,,,,,,e56be336-8e92-4478-aed8-5c14f8f22889,174,,"[90.1, 75.9]",3754032,3,,True,,,0.09384121,,Head,,,"[98.6, 76.7]",,High Pass,,8.537564,,,,,Vadis Odjidja-Ofoe,23742.0,,,,,,Recovery,1,Regular Play,Alexander Banor Tettey,9463.0,Right Defensive Midfield,14,Norwich City,56,"['378e636b-508e-477d-99ad-b6dcac3b4932', '7e2f21c7-b6f0-4386-8154-f6b399614b2c']",47,,,,,,,,,,,,,,,,Norwich City,56,00:03:47.697,Pass,
,,,,,,,,,,,,,,,0.6552,,,,,,,,,,,,,aee723f1-fe50-46e2-a72e-66e34063d339,179,,"[114.8, 76.7]",3754032,3,,,,,-2.8501358,,Right Foot,,,"[106.8, 74.3]",,Ground Pass,,8.352245,,,,,Vadis Odjidja-Ofoe,23742.0,,,,,,,1,Regular Play,Dieumerci Mbokani Bezua,23663.0,Center Forward,14,Norwich City,56,['a7a4b414-231e-4cef-a841-7b1b04b8e79a'],53,,,,,,,,,,,,,,,,Norwich City,56,00:03:53.574,Pass,
,,,,,,,,,,,,,,,0.9168,,,,,,,,,,,,,fc1f763b-c1d2-43fe-a4bc-fba3021d2291,188,,"[49.1, 58.1]",3754032,4,,,,,-1.0660759,,Left Foot,,,"[57.0, 43.8]",,Ground Pass,,16.337074,,,,,Gary O''Neil,9452.0,,,,,,,1,Regular Play,Sébastien Aymar Bassong Nguena,31296.0,Left Center Back,14,Norwich City,56,"['c628e390-6330-48a5-b16b-a645d6a7fdae', 'fe16a7f3-de00-4f35-abfe-b5ecc001b04b']",3,,,,,,,,,,,,,,,,Norwich City,56,00:04:03.732,Pass,True
,,,,,,,,,,,,,,,1.5492,,,,,,,,,,,,,99f66a56-33ac-4761-b869-f283f1e2223c,191,,"[52.8, 57.2]",3754032,4,,,,,0.6024664,,Right Foot,,,"[76.5, 73.5]",,Low Pass,,28.764214,,,,,Russell Martin,21212.0,,,,,,,1,Regular Play,Gary O''Neil,9452.0,Left Defensive Midfield,14,Norwich City,56,['8f7b5a30-577d-4afa-a014-1cd3a54dcccc'],6,,,,,,,,,,,,,,,,Norwich City,56,00:04:06.452,Pass,
,,,,,,,,,,,,,,,0.578418,,,,,,,,,,,,,5e7a9af6-9f54-4fb7-80a9-65b780bc836c,195,,"[76.0, 71.9]",3754032,4,,,,,-2.1362803,,Right Foot,,,"[69.4, 61.5]",,High Pass,,12.317468,,,Incomplete,,Wes Hoolahan,10966.0,,,,,,,1,Regular Play,Russell Martin,21212.0,Right Back,14,Norwich City,56,"['6a755ba9-06b9-428f-866d-2b41513c48e0', '72270ae0-8cf6-4060-bee4-4c5ad5d4aa46', 'efd4f46f-9915-4054-89e3-b69dcef2e2e1']",9,,,,,,,,,,,,,,,,Norwich City,56,00:04:09.117,Pass,True
,,,,,,,,,,,,,,,2.080196,,,,,,,,,,,,,1cc50fbe-7b92-423f-a135-0a8779524ff9,199,,"[34.9, 37.1]",3754032,4,,,,,0.9172453,,Right Foot,,,"[47.0, 52.9]",,High Pass,,19.901005,,,,,Jonathan Walters,3670.0,,,,,,Recovery,1,Regular Play,Ryan Shawcross,4035.0,Right Center Back,15,Stoke City,30,"['0c61aeac-802f-4a16-8ca6-dc4b16bd3388', 'ae7ef783-55cd-4458-928c-e3d070106a05']",11,,,,,,,,,,,,,,,,Stoke City,30,00:04:11.862,Pass,True
,,,,,,,,,,,,,,,1.08518,,,,,,,,,,,,,6012b904-5084-4547-8bfd-05a661ed42ec,204,,"[44.5, 53.3]",3754032,4,,,,,-3.0817838,,Right Foot,,,"[27.8, 52.3]",,Ground Pass,,16.729914,,,,,Ryan Shawcross,4035.0,,,,,,,1,Regular Play,Jonathan Walters,3670.0,Right Wing,15,Stoke City,30,['9e35c852-47c5-4b21-920d-1dc539d20eb3'],15,,,,,,,,,,,,,,,,Stoke City,30,00:04:15.983,Pass,
,,,,,,,,,,,,,,,3.012303,,,,,,,,,,,,,a60ba949-d0af-42a9-a6f0-4771ae3e2b32,207,,"[28.5, 53.9]",3754032,4,,,,,0.3731219,,Right Foot,,,"[56.6, 64.9]",,High Pass,,30.176315,,,Incomplete,,Bojan Krkíc Pérez,4913.0,,,,,,,1,Regular Play,Ryan Shawcross,4035.0,Right Center Back,15,Stoke City,30,"['3572776f-fa1b-4733-85bc-1e844c91e47d', '5543bfb8-f193-4b05-92d7-660bff6ad910', '8eee0aa6-22be-437d-b13a-9b976c880138']",17,,,,,,,,,,,,,,,,Stoke City,30,00:04:17.068,Pass,True
,,,,,,,,,,,,,,,1.153956,,,,,,,,,,,,,3572776f-fa1b-4733-85bc-1e844c91e47d,209,,"[63.5, 15.2]",3754032,4,,,,,0.45660546,,Head,,,"[74.9, 20.8]",,Low Pass,,12.701181,,,Incomplete,,Wes Hoolahan,10966.0,,,,,,Recovery,1,Regular Play,Gary O''Neil,9452.0,Left Defensive Midfield,15,Stoke City,30,"['328fca81-48b0-4a04-95df-eca5be4092c5', 'a60ba949-d0af-42a9-a6f0-4771ae3e2b32', 'e0a772cf-4d27-4d28-974b-bed9e332c67e']",20,,,,,,,,,,,,,,,,Norwich City,56,00:04:20.080,Pass,
,,,,,,,,,,,,,,,1.964676,,,,,,,,,,,,,0ed1e60e-2a31-48d3-bb32-00507ca3c6c1,213,,"[48.2, 61.7]",3754032,4,,,,,0.88276374,,Right Foot,,,"[57.9, 73.5]",,Low Pass,,15.275144,,,,,Bojan Krkíc Pérez,4913.0,,,,,,,1,Regular Play,Glenn Whelan,9625.0,Right Defensive Midfield,15,Stoke City,30,['5153aef2-617a-462f-b769-082ddad0bc4f'],22,,,,,,,,,,,,,,,,Stoke City,30,00:04:22.106,Pass,
,,,,,,,,,,,,,,,1.276839,,,,,,,,,,,,,2fd46e35-47e4-44b2-a792-02a8ece865ab,217,,"[52.1, 65.8]",3754032,4,,,,,-2.1339226,,Right Foot,,,"[39.6, 46.0]",,Ground Pass,,23.415592,,,,,Ibrahim Afellay,4891.0,,,,,,,1,Regular Play,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,15,Stoke City,30,['7ca72c69-25b3-47c8-9a92-f2a702a62e2c'],26,,,,,,,,,,,,,,,,Stoke City,30,00:04:26.268,Pass,
,,,,,,,,,,,,,,,2.283339,,,,,,,,,,,,,2465980d-ab1c-436a-bdd6-59d4e0817a3a,220,,"[42.2, 44.0]",3754032,4,,,,,-1.4611192,,Right Foot,,,"[45.9, 10.4]",,Ground Pass,,33.80311,,,,,Erik Pieters,3467.0,,,,,,,1,Regular Play,Ibrahim Afellay,4891.0,Left Defensive Midfield,15,Stoke City,30,['582b1c06-1c8e-4df2-b706-5429eb7dc6cc'],28,,,,,,,,,,,,,,,,Stoke City,30,00:04:28.378,Pass,
,,,,,,,,,,,,,,,1.270538,,,,,,,,,,,,,a5d681cb-8976-43d4-8760-55a4979c27a8,223,,"[52.1, 10.7]",3754032,4,,,,,-0.18610571,,Left Foot,,,"[76.0, 6.2]",,Ground Pass,,24.31995,,,,,Marko Arnautović,3325.0,,,,,,,1,Regular Play,Erik Pieters,3467.0,Left Back,15,Stoke City,30,['1b8bc185-48d8-4335-bf9a-58c1972ba3b6'],32,,,,,,,,,,,,,,,,Stoke City,30,00:04:32.419,Pass,
,,,,,,,,,,,,,,,0.780665,,,,,,,,,,,,,5b128ad1-d04e-4089-87f8-4eb5b0cdb790,226,,"[76.9, 11.3]",3754032,4,,,,,0.471537,,Right Foot,,,"[97.1, 21.6]",,Low Pass,,22.674435,,,Incomplete,,José Luis Sanmartín Mato,3265.0,,,,Through Ball,True,,1,Regular Play,Marko Arnautović,3325.0,Left Wing,15,Stoke City,30,"['420bbc35-82cf-4f73-91b2-1c1e04a23fdd', '6ed1fe8b-784d-4148-87c1-ec3244d0d9ad']",36,,,,,,,,,,,,,,,,Stoke City,30,00:04:36.527,Pass,
,,,,,,,,,,,,,,,1.124799,,,,,,,,,,,,,6ed1fe8b-784d-4148-87c1-ec3244d0d9ad,228,,"[23.0, 58.5]",3754032,4,,,,,0.07278785,,Right Foot,,,"[32.6, 59.2]",,Low Pass,,9.625487,,,,,Russell Martin,21212.0,,,,,,Recovery,1,Regular Play,Alexander Banor Tettey,9463.0,Right Defensive Midfield,16,Norwich City,56,"['2937e652-4f62-40d6-a0b8-a34abe4b2846', '5b128ad1-d04e-4089-87f8-4eb5b0cdb790']",37,,,,,,,,,,,,,,,,Norwich City,56,00:04:37.308,Pass,
,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,ce7ea3dd-5ebd-4ae8-85d7-14d7ac21bbfc,231,,"[33.4, 59.2]",3754032,4,,,,,-1.8409495,,Right Foot,,,"[31.6, 52.7]",,Ground Pass,,6.7446275,,,,,Alexander Banor Tettey,9463.0,,,,,,,1,Regular Play,Russell Martin,21212.0,Right Back,16,Norwich City,56,['beb5acb3-331f-4533-9efa-1c361680c8aa'],38,,,,,,,,,,,,,,,,Norwich City,56,00:04:38.551,Pass,
,,,,,,,,,,,,,,,1.3013,,,,,,,,,,,,,c3624b75-43c9-412b-9e05-eb62a6fb58f0,234,,"[33.0, 52.6]",3754032,4,,,,,-1.2691773,,Right Foot,,,"[35.8, 43.6]",,Ground Pass,,9.425497,,,,,Gary O''Neil,9452.0,,,,,,,1,Regular Play,Alexander Banor Tettey,9463.0,Right Defensive Midfield,16,Norwich City,56,['fe764ec8-53f1-4d48-9140-a03e762e1f3b'],39,,,,,,,,,,,,,,,,Norwich City,56,00:04:39.772,Pass,
,,,,,,,,,,,,,,,0.9408,,,,,,,,,,,,,f2bf4a02-6c60-473a-9f6d-0b673e62d5aa,239,,"[45.6, 54.0]",3754032,4,,,,,1.5707964,,Right Foot,,,"[45.6, 69.4]",,Ground Pass,,15.4,,,,,Vadis Odjidja-Ofoe,23742.0,,,,,,,1,Regular Play,Gary O''Neil,9452.0,Left Defensive Midfield,16,Norwich City,56,"['6895d38b-a857-4803-9ac7-00d2a0553247', 'bf4fd94f-0bfb-4591-bacd-36be872c673d']",44,,,,,,,,,,,,,,,,Norwich City,56,00:04:44.481,Pass,True
