50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.590708,,,,,,,,,,,f1295039-4e5c-4dcc-9a0c-5058f328ff9b,51,,"[53.3, 67.7]",3754108,0,,,,-2.7691941,,Left Foot,,,,"[34.1, 60.2]",,Ground Pass,,20.61286,,Incomplete,,Gary Cahill,3645.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,2,Chelsea,33,"['007d4322-7436-4dfb-8f26-8747f7267398', '4f06de09-3b9b-4e7e-83fb-c536eb2366fa']",32,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:32.470,Pass,
,,,,,,,,,,,,,,,,,3.842753,,,,,,,,,,,34d15392-9088-4c3f-8ebe-9fa7ad91010c,61,,"[24.5, 41.2]",3754108,1,,,,1.5288042,,Right Foot,,,,"[26.0, 76.9]",,Low Pass,,35.7315,,,,Willian Borges da Silva,3472.0,,,,,Recovery,1,From Free Kick,Eden Hazard,3621.0,Left Wing,4,Sunderland,41,['12b31695-f132-417c-8c61-faea1b998974'],57,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:57.191,Pass,
,,,,,,,,,,,,,,,,,1.201745,,,,,,,,,,,15ff043c-0b64-499c-a53e-94e950d3e12a,63,,"[27.1, 78.3]",3754108,2,,,,-0.5544654,,Right Foot,,,,"[48.9, 64.8]",,Low Pass,,25.641567,,Incomplete,,,,,,,,,1,From Free Kick,Willian Borges da Silva,3472.0,Right Wing,4,Sunderland,41,['ab087f0f-642f-42f4-b416-b6168b383dd6'],1,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:01.033,Pass,
,,,,,,,,,,,,,,,,,1.728725,,,,,,,,,,,e300a4a3-38d8-4c14-a98d-a9ea686b9ad0,66,,"[56.4, 3.0]",3754108,2,,,,2.4953544,,Left Foot,,,,"[38.9, 16.2]",,Ground Pass,,21.920082,,,,Lamine Koné,13286.0,,,,,,1,From Free Kick,Patrick van Aanholt,3321.0,Left Back,4,Sunderland,41,['68acdca7-1d4d-453c-aeb2-d330d7dc8e31'],6,,,,,,,,,,,,,,,,,,Sunderland,41,00:02:06.925,Pass,
,,,,,,,,,,,,,,,,,3.240816,,,,,,,,,,,6c38391a-84c6-48c6-ba3e-e9860d7e84b8,69,,"[35.4, 23.0]",3754108,2,,,,0.37724906,,Right Foot,,,,"[93.7, 46.1]",,High Pass,,62.70965,,Incomplete,,Younes Kaboul,4746.0,,,,,,1,From Free Kick,Lamine Koné,13286.0,Right Center Back,4,Sunderland,41,"['25882d8c-ee4c-4ead-8131-b03d45815c04', '84f52082-5bbc-41a3-a6b2-31017138df89']",10,,,,,,,,,,,,,,,,,,Sunderland,41,00:02:10.937,Pass,
,,,,,,,,,,,,,,,,,1.952897,,,,,,,,,,,25882d8c-ee4c-4ead-8131-b03d45815c04,72,,"[26.4, 34.0]",3754108,2,,,True,1.1041458,,,,,,"[33.1, 47.3]",,Low Pass,,14.89228,,,,John Michael Nchekwube Obinna,5475.0,,,,,Recovery,1,Regular Play,John Terry,20287.0,Left Center Back,5,Chelsea,33,"['0c0e832a-e300-4072-b50a-5f3760500b0c', '221f0bdf-f96e-4198-8413-46839bdda2c0', '6c38391a-84c6-48c6-ba3e-e9860d7e84b8']",14,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:14.177,Pass,True
,,,,,,,,,,,,,,,,,0.63281,,,,,,,,,,,1f7e02fe-0577-4598-a7ce-3d17bb2e796f,76,,"[33.3, 47.5]",3754108,2,,,,-1.9108934,,Right Foot,,,,"[31.0, 41.0]",,Ground Pass,,6.8949256,,,,Nemanja Matić,3381.0,,,,,,1,Regular Play,John Michael Nchekwube Obinna,5475.0,Right Defensive Midfield,5,Chelsea,33,"['49b5db4a-d291-4fb7-88b5-957108e01258', 'c034fe72-3c87-4009-b4f2-83bd5db08c84']",16,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:16.222,Pass,True
,,,,,,,,,,,,,,,,,1.611814,,,,,,,,,,,a8a781c3-49fd-4b16-b825-e0448ef6066b,78,,"[31.0, 41.0]",3754108,2,,,,0.5313904,,Right Foot,,,,"[57.2, 56.4]",,Low Pass,,30.390787,,,,Diego da Silva Costa,5198.0,,,,,,1,Regular Play,Nemanja Matić,3381.0,Left Defensive Midfield,5,Chelsea,33,['196cc521-98b0-4f0e-946c-07bb381b8265'],16,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:16.854,Pass,
,,,,,,,,,,,,,,,,,0.582191,,,,,,,,,,,2d7d51bc-32fd-4570-9790-fb8f0ce80d5d,80,,"[57.2, 56.6]",3754108,2,,,,-3.0971775,,Left Foot,,,,"[52.7, 56.4]",,Low Pass,,4.504442,,,,Willian Borges da Silva,3472.0,,,,,,1,Regular Play,Diego da Silva Costa,5198.0,Center Forward,5,Chelsea,33,['cd6a4d93-3191-48d7-a27c-6a1855484462'],18,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:18.466,Pass,
,,,,,,,,,,,,,,,,,2.00802,,,,,,,,,,,d6d16a4b-6952-45c5-b9ed-27d847059b60,83,,"[57.0, 50.6]",3754108,2,,,,0.22959526,,Right Foot,,,,"[83.1, 56.7]",,Ground Pass,,26.803358,,Incomplete,,Eden Hazard,3621.0,,,Through Ball,True,,1,Regular Play,Willian Borges da Silva,3472.0,Right Wing,5,Chelsea,33,"['1f6531d1-ca9d-423f-802f-bea969688d4d', 'b87985fc-4cd3-49ea-8c31-569f4b3d3545']",20,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:20.060,Pass,
