ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[38.8, 16.4]",,,,,,,,,,,,,0.941541,,,,,,,,,,,,4420b675-783c-4ca3-a9d8-94c13eb2c89f,2251,,"[33.6, 19.2]",3754152,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Christian Fuchs,3812.0,Left Back,139,Leicester City,22,"['a0325770-9e1c-4faf-bdbf-bb0e43aeb866', 'ea42f705-1c49-4879-a0da-45926202f436']",45,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:18:45.695,Carry,
,,,,,"[48.8, 3.6]",,,,,,,,,,,,,1.261556,,,,,,,,,,,,c24f0e8f-f1bc-41cc-9fe5-0686d71de8d8,2254,,"[57.0, 2.3]",3754152,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Marc Albrighton,3307.0,Left Midfield,139,Leicester City,22,"['052735ce-de2e-4f5a-86a8-3f0521dd30e3', '126f324a-194b-4063-9914-2a76cbd0019d', 'c3e9672b-1c03-4894-aef8-512de83708b4']",48,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:18:48.917,Carry,True
,,,,,"[92.3, 35.0]",,,,,,,,,,,,,2.482489,,,,,,,,,,,,a1577dc2-7fa3-493b-ad4e-2195cc848b57,2261,,"[77.1, 33.9]",3754152,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Riyad Mahrez,3814.0,Right Midfield,139,Leicester City,22,"['2b66f476-135c-4afb-ab23-41f2e7df939d', '8a873992-3917-46d3-9bc1-944c1bbc7282']",55,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:18:55.773,Carry,
,,,,,"[113.0, 56.4]",,,,,,,,,,,,,2.154133,,,,,,,,,,,,c3bdfd4b-dc5e-45f8-89f9-65eb0394f247,2264,,"[100.0, 53.2]",3754152,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,José Leonardo Ulloa,3671.0,Right Center Forward,139,Leicester City,22,"['2113ceba-4851-4fe7-931e-f2e382efba7e', 'e3cb23d4-4e6f-462e-ab1f-d0e791eb5af0', 'f1aa06f1-f507-44ed-a00c-a6d650bc8fbc']",59,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:18:59.719,Carry,True
,,,,,"[71.7, 42.7]",,,,,,,,,,,,,2.897099,,,,,,,,,,,,b7aa91ca-284f-40f6-ae4e-d626d4df9931,2277,,"[68.1, 42.1]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Left Center Midfield,140,Sunderland,41,"['8d4a5c7c-7842-432a-8ca8-958d2a67b159', 'bf8eee5d-6f01-401a-b6b1-949ea35a7a61']",29,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:29.023,Carry,
,,,,,"[71.7, 59.0]",,,,,,,,,,,,,1.875159,,,,,,,,,,,,e25b9f20-766e-4769-b7d9-a477b95bbe31,2280,,"[73.8, 57.7]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yann Gérard M''Vila,4429.0,Right Center Midfield,140,Sunderland,41,"['4eb16705-4bbb-4a7e-ab31-0defc1e0d7d5', '67a14761-41a2-4c11-a06e-5a88e8cda056', 'acbef96e-2a4c-4a06-9ae1-303a7ddb4267']",32,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:32.839,Carry,True
,,,,,"[61.7, 32.7]",,,,,,,,,,,,,0.064402,,,,,,,,,,,,a1354c1b-a672-421f-9912-17473031c509,2285,,"[61.7, 31.2]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jamie Vardy,10960.0,Left Center Forward,140,Sunderland,41,"['0ee5eb66-e4bd-4d82-b1b0-32cf85438eed', '13cc7375-1ec0-4a35-976d-eca31b048a0b']",36,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:19:36.350,Carry,
,,,,,"[52.4, 48.7]",,,,,,,,,,,,,1.68926,,,,,,,,,,,,3bc00e1d-1f41-4255-8ca9-ffc847136e7b,2288,,"[58.4, 47.4]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yann Gérard M''Vila,4429.0,Right Center Midfield,140,Sunderland,41,"['e1149892-acf7-4a15-8d35-de9978f2a63b', 'ecdd5f5b-a47b-4844-b660-2268cbbdff3c']",36,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:36.414,Carry,
,,,,,"[14.8, 50.0]",,,,,,,,,,,,,1.044321,,,,,,,,,,,,6f49859b-bfdd-419e-9d85-512b69eb5868,2292,,"[15.0, 49.4]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vito Mannone,9539.0,Goalkeeper,140,Sunderland,41,"['076fcea8-c80f-47f6-bfda-6e7ff372ad08', '364db07c-5cc6-4ecd-85c0-9a32699d6e51', '76a2693e-01fc-4b34-ba05-4baafe118524']",40,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:19:40.745,Carry,True
,,,,,"[50.1, 5.7]",,,,,,,,,,,,,0.810668,,,,,,,,,,,,83fa6e23-e3fa-488a-8d33-4201e5f5ddd6,2297,,"[50.3, 5.9]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,N''Golo Kanté,3961.0,Right Defensive Midfield,141,Leicester City,22,"['3e79daab-812f-49ce-b8b1-62da913955d9', '72a9e0d2-0958-4a8b-8064-4a09d22ac587']",46,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:19:46.667,Carry,
,,,,,"[49.7, 2.5]",,,,,,,,,,,,,2.194479,,,,,,,,,,,,1e744d77-00dd-4d0c-b713-04b193b09b64,2300,,"[39.0, 3.1]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Christian Fuchs,3812.0,Left Back,141,Leicester City,22,"['00887198-a3f5-466b-a54a-c49646096238', 'ebeff6aa-1f1c-47d3-8d79-f946e393ad3d']",48,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:19:48.475,Carry,
,,,,,"[61.0, 1.9]",,,,,,,,,,,,,0.734985,,,,,,,,,,,,4a09cf96-02b9-4f81-9987-5aec2806b410,2304,,"[61.2, 0.8]",3754152,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,N''Golo Kanté,3961.0,Right Defensive Midfield,141,Leicester City,22,"['2aad4ee1-3f16-45e2-b5c1-39a31f810566', 'b637466b-b66e-4b1e-9134-d898351dbf23', 'c5d3905f-3522-463b-841c-6f3b7ae023c2']",51,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:19:51.481,Carry,True
,,,,,"[41.3, 11.7]",,,,,,,,,,,,,0.931779,,,,,,,,,,,,44f71e48-a7ec-49fd-bfaa-fbd8e0862a44,2312,,"[39.8, 15.1]",3754152,65,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Danny Drinkwater,3662.0,Left Defensive Midfield,143,Leicester City,22,"['02236ea4-c56a-420f-b41a-d23332297db0', '0e3b9b89-b95f-4546-9a58-defb0ffb27f4', '147cee38-d51e-49be-9d77-8b13189411c4', '915e9355-a3a9-48ca-99aa-4b238f4d69ce']",10,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:20:10.793,Carry,True
,,,,,"[44.8, 17.9]",,,,,,,,,,,,,1.222565,,,,,,,,,,,,c975f60b-650e-4aa7-9d79-737189f90edc,2315,,"[41.3, 11.7]",3754152,65,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Danny Drinkwater,3662.0,Left Defensive Midfield,143,Leicester City,22,"['0e3b9b89-b95f-4546-9a58-defb0ffb27f4', '3cff9e94-5be7-4177-9837-cd13dfaf8386', '915e9355-a3a9-48ca-99aa-4b238f4d69ce']",11,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:20:11.725,Carry,True
