50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,73697517-9c24-44f5-8ab4-119b087776df,3766,,,"[25.8, 3.3]",3837827,95,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Jeremy Doku,23650.0,Left Wing,147,Rennes,134,['04925203-3137-4c27-9c4f-435b3bdedf1f'],58,,,,,,,,,,,,,,,,Rennes,134,00:50:58.431,Dribble,True
,,,,,,,,,,,,,,,,0.0,,,,,,Claim,,,Keeper Sweeper,687f6a30-4f36-4918-ab77-9dd7d9fc7ffb,303,,,"[15.2, 44.0]",3837827,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Steve Mandanda,3543.0,Goalkeeper,8,Rennes,134,['3e5d3cc8-91ea-4af9-bee0-e626a9c136f5'],4,,,,,,,,,,,,,,,,Rennes,134,00:06:04.963,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Both Hands,,Success,Set,Standing,Shot Saved,775f1d13-a9bd-48c5-995f-27314aa3f2a5,356,,,"[2.3, 37.6]",3837827,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluigi Donnarumma,7036.0,Goalkeeper,11,Paris Saint-Germain,131,['dea2bd65-5c79-495b-9c94-4d7831a039f1'],56,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:06:56.614,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,,Claim,,,Keeper Sweeper,90190e95-41dd-4477-95b7-29638e089b69,479,,,"[4.5, 29.0]",3837827,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Gianluigi Donnarumma,7036.0,Goalkeeper,15,Paris Saint-Germain,131,,4,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:09:04.266,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[3.0, 41.4]",,Set,,Shot Faced,518cb863-0875-4eda-a6fc-e86d857ac861,918,,,"[3.0, 41.4]",3837827,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,34,Paris Saint-Germain,131,['07f97662-8b9c-4f3f-841e-5ac255a9802b'],0,,,,,,,,,,,,,,,,Rennes,134,00:19:00.314,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,"[3.7, 39.8]",,Set,,Shot Faced,90558f42-ff84-4111-b0cf-76300a588da7,1087,,,"[3.7, 39.8]",3837827,22,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,39,Paris Saint-Germain,131,['31a020ef-f553-4cd9-a24d-0435fe7897d7'],24,,,,,,,,,,,,,,,,Rennes,134,00:22:24.573,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Both Hands,,In Play Danger,Set,Standing,Shot Saved,a7dd7589-5a6f-4246-bac6-86647276c1ad,1257,,,"[1.3, 42.0]",3837827,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,49,Rennes,134,['fa1ddd04-ed29-4660-97b9-9dc8af392c93'],8,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:27:08.490,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,,,In Play Safe,,,Punch,387bf696-e187-4831-ba55-701e63ff1f5b,1399,,,"[3.7, 43.3]",3837827,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,56,Rennes,134,['c4b49854-8503-488c-aa3b-3940c8222e95'],15,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:32:15.891,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Both Hands,,Success,Set,Standing,Shot Saved,87fa2565-fd07-4e27-bc5a-fff1a367c45d,1419,,,"[2.7, 41.8]",3837827,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluigi Donnarumma,7036.0,Goalkeeper,57,Paris Saint-Germain,131,['92b008db-8efc-41e3-b2d8-09dd0accdbb5'],34,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:32:34.034,Goal Keeper,
,,,,,,,,,,,,,,,,0.0,,,,Both Hands,,In Play Danger,Set,Diving,Shot Saved,6b04d2a7-eb61-4bc6-81cc-de63965cdbc5,1691,,,"[2.0, 41.0]",3837827,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,64,Rennes,134,['a34f7feb-ada4-4c3a-8d28-35bee2bc4889'],19,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:38:19.394,Goal Keeper,
