50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.278092,,,,,,,,,,,,,290fb5d6-68e3-4991-a84d-871d8c2a5eed,71,,"[84.7, 0.1]",3920403,1,,,,2.2250829,,,,,,"[76.8, 10.4]",,Low Pass,,12.980755,,,Bodda Mouhsine,146933.0,,,,,,Throw-in,1,From Throw In,Aboubakary Koita,23892.0,Left Midfield,4,Mauritania,4932,['d002944f-03f3-4cac-ac12-cc8c2f72c7d2'],26,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:01:26.022,Pass,
,,,,,,,,,,,,,,,,,2.98492,,,,,,,,,,,,,1bf02dc6-5d1b-409e-bac8-cf2e34054195,74,,"[80.0, 10.1]",3920403,1,,,,0.8026109,,Left Foot,,,,"[111.4, 42.6]",,Ground Pass,,45.19082,Injury Clearance,,,,,,,,,,1,From Throw In,Bodda Mouhsine,146933.0,Left Center Midfield,4,Mauritania,4932,,28,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:01:28.318,Pass,
,,,,,,,,,,,,,,,,,1.895286,,,,,,,,,,,,,23df37d1-a953-439a-8984-a6a7dab3768e,77,,"[14.3, 36.9]",3920403,1,,,,-0.9472356,,Right Foot,,,,"[22.5, 25.5]",,Ground Pass,,14.042791,,,Jonathan Buatu Mananga,10573.0,,,,,,,1,Regular Play,Adilson Cipriano da Cruz,135849.0,Goalkeeper,5,Angola,4901,['fde982e8-892d-4820-9026-27e0ddafbc00'],33,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:33.435,Pass,
,,,,,,,,,,,,,,,,,1.804026,,,,,,,,,,,,,dd86d568-79c2-4830-ab22-0a76f7a5301a,80,,"[28.5, 24.3]",3920403,1,,,,1.5138239,,Right Foot,,,,"[30.0, 50.6]",,Ground Pass,,26.342741,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Jonathan Buatu Mananga,10573.0,Left Center Back,5,Angola,4901,['e7437fdb-d9fd-460c-b079-03d6209f4d82'],38,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:38.351,Pass,
,,,,,,,,,,,,,,,,,1.791314,,,,,,,,,,,,,9d2c88fc-b092-4a34-9b12-d2c2fd8193e9,83,,"[32.9, 54.3]",3920403,1,,,,1.3019558,,Left Foot,,,,"[38.3, 73.9]",,Ground Pass,,20.330273,,,Eddie Marcos Melo Afonso,145058.0,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,5,Angola,4901,['fc86ad0b-e2da-4a3e-a20d-1a37a3435936'],41,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:41.521,Pass,
,,,,,,,,,,,,,,,,,1.353373,,,,,,,,,,,,,0eb66317-e3ba-4f1c-b931-f4bfa6189b12,86,,"[38.3, 73.9]",3920403,1,,,,-2.2364383,,Right Foot,,,,"[27.7, 60.4]",,Ground Pass,,17.164207,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Eddie Marcos Melo Afonso,145058.0,Right Back,5,Angola,4901,['cd667698-0608-4ce5-bd42-4b67b2bffeef'],44,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:44.226,Pass,
,,,,,,,,,,,,,,,,,2.175798,,,,,,,,,,,,,2c50208c-8d6f-4d45-b543-7a7e1360f02c,89,,"[30.0, 50.8]",3920403,1,,,,-1.333341,,Right Foot,,,,"[39.1, 13.2]",,Ground Pass,,38.685528,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,5,Angola,4901,['d9bf127d-39af-490f-95fd-cebe4c0b7aa5'],47,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:47.239,Pass,
,,,,,,,,,,,,,,,,,0.903171,,,,,,,,,,,,,f5ba914c-b9ed-4cc9-a94b-5991c6c27bc2,92,,"[59.2, 8.4]",3920403,1,,,,-0.85614604,,Right Foot,,,,"[65.1, 1.6]",,Ground Pass,,9.002777,,,Núrio Domingos Matias Fortuna,23873.0,,,,,,,1,Regular Play,Manuel Luís da Silva Cafumana,31016.0,Left Defensive Midfield,5,Angola,4901,['850289ae-2681-4ceb-84d6-44279ba9c81c'],53,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:53.552,Pass,
,,,,,,,,,,,,,,,,,1.354912,,,,,,,,,,,,,f6bc8c7c-d0bc-4c7a-a846-125934a9ee27,94,,"[65.3, 1.6]",3920403,1,,,,2.7011967,,Left Foot,,,,"[56.6, 5.7]",,Ground Pass,,9.617692,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,,1,Regular Play,Núrio Domingos Matias Fortuna,23873.0,Left Back,5,Angola,4901,['4738dca2-c770-4e36-9229-a072aa8fc6db'],54,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:54.455,Pass,
,,,,,,,,,,,,,,,,,3.363908,,,,,,,,,,,,,660ea51e-fb28-4906-bf33-643943d79647,99,,"[55.1, 10.5]",3920403,1,,,,0.2684526,,Right Foot,,,,"[108.9, 25.3]",,High Pass,,55.798565,Incomplete,,Ambrosini Antonio Cabaça Salvador,136312.0,,,,,,,1,Regular Play,Manuel Luís da Silva Cafumana,31016.0,Left Defensive Midfield,5,Angola,4901,"['342f8b02-467e-4ad8-85b6-9f98f3b1ca26', '55b82c24-fef7-44e4-9c8b-b30980058ed0', 'e5b86063-a516-4556-80de-d8e80e4d9c12']",56,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:56.542,Pass,True
