50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.812343,,,,,,,,,,,,,,bcd04b01-0494-46de-b68f-a61c47b2aa14,51,,,"[28.5, 36.0]",3895258,0,,,,,0.81524,,Left Foot,,,"[35.0, 42.9]",,Ground Pass,,9.479451,,,Robert Andrich,9195.0,,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,"['b4b4db8b-acf1-4857-a1f6-af6f13233813', 'e7202afc-5b97-41f0-b241-f39c178ce26f']",43,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:43.310,Pass,True
,,,,,,,,,,,,,,,,,1.870187,,,,,,,,,,,,,,1167d4c3-0844-4675-a605-ec673defb9e4,53,,,"[35.0, 42.6]",3895258,0,,,,,3.0740266,,Right Foot,,,"[8.4, 44.4]",,Ground Pass,,26.660833,,,Lukáš Hrádecký,8667.0,,,,,,,1,Regular Play,Robert Andrich,9195.0,Left Defensive Midfield,3,Bayer Leverkusen,904,['9c5e8fd1-8c22-4d32-949e-77d7d33224b7'],44,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:44.123,Pass,
,,,,,,,,,,,,,,,,,1.591286,,,,,,,,,,,,,,0f6f7240-1f03-446d-b073-74f4e0c536b8,55,,,"[8.4, 44.6]",3895258,0,,,,,1.0880253,,Right Foot,,,"[16.0, 59.1]",,Ground Pass,,16.371012,,,Jonathan Tah,8221.0,,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,3,Bayer Leverkusen,904,['907605b2-4fa9-4693-b3fe-6215ea3c5600'],45,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:45.993,Pass,
,,,,,,,,,,,,,,,,,1.309592,,,,,,,,,,,,,,a31e0e33-287c-4064-aec6-64eeb5529181,58,,,"[35.9, 60.6]",3895258,0,,,,,-1.6290264,,Right Foot,,,"[34.6, 38.3]",,Ground Pass,,22.33786,,,Robert Andrich,9195.0,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,['303e1295-dc7e-43c2-aa08-639a1cabb3da'],54,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:54.431,Pass,
,,,,,,,,,,,,,,,,,1.201468,,,,,,,,,,,,,,663fce27-3588-47a8-b248-ce144f203b74,61,,,"[37.4, 43.5]",3895258,0,,,,,1.3270899,,Right Foot,,,"[42.0, 62.0]",,Ground Pass,,19.063316,,,Jonathan Tah,8221.0,,,,,,,1,Regular Play,Robert Andrich,9195.0,Left Defensive Midfield,3,Bayer Leverkusen,904,['b2866c0b-406f-460c-8cda-c365c13a3177'],59,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:59.920,Pass,
,,,,,,,,,,,,,,,,,1.683713,,,,,,,,,,,,,,67d48328-cf8d-4f84-af41-09757a306e4f,65,,,"[40.0, 63.4]",3895258,1,,,,,0.81480145,,Right Foot,,,"[53.2, 77.4]",,Ground Pass,,19.241621,,,Josip Stanišić,49337.0,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,"['3a1efb2c-b869-4e23-9181-dbc36726e848', 'e9291c98-7cb8-4d0c-923b-a12b41814234']",1,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:01.984,Pass,True
,,,,,,,,,,,,,,,,,0.886005,,,,,,,,,,,,,,cae1a12a-7d9b-414c-88bb-92f36085e4c9,68,,,"[52.3, 78.2]",3895258,1,,,,,-0.21256681,,Right Foot,,,"[66.2, 75.2]",,Ground Pass,,14.220057,,,Jonas Hofmann,8804.0,,,,,,,1,Regular Play,Josip Stanišić,49337.0,Right Center Back,3,Bayer Leverkusen,904,['d9f4c3de-0c03-4e26-b427-81ca383f4eb2'],4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:04.336,Pass,
,,,,,,,,,,,,,,,,,0.202609,,,,,,,,,,,,,,2e42c26c-adca-45bb-a00f-b1d0d12c78b2,72,,,"[63.4, 76.5]",3895258,1,,,,,0.27829966,,Right Foot,,,"[66.2, 77.3]",,Ground Pass,,2.912044,Incomplete,,Jeremie Frimpong,32712.0,,,,,,,1,Regular Play,Jonas Hofmann,8804.0,Right Attacking Midfield,3,Bayer Leverkusen,904,"['a4f6c53f-c802-4f94-ab5c-a9ff002db9da', 'c4278b70-982d-450e-93f4-a695f9c44d32', 'f282fb41-e601-4897-bb83-289269300601', 'fc66fad5-7513-4fd2-8b0c-22b76f0b8dfb']",5,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:05.222,Pass,True
,,,,,,,,,,,,,,,,,0.928762,,,,,,,,,,,,,,9747f30a-c282-4046-882e-b4e1a679fd1d,75,,,"[50.3, 80.0]",3895258,1,,,,,-0.22471116,,,,,"[57.3, 78.4]",,Low Pass,,7.180529,,,Granit Xhaka,3500.0,,,,,,Throw-in,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,4,Bayer Leverkusen,904,['e9ea0289-e79c-404c-90bb-47cbad33b9bc'],23,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:23.584,Pass,
,,,,,,,,,,,,,,,,,0.837589,,,,,,,,,,,,,,b7149502-2816-4ee8-9dd5-369a453ebd5b,79,,,"[50.7, 75.0]",3895258,1,,,,,2.913096,,Left Foot,,,"[37.8, 78.0]",,Ground Pass,,13.244244,,,Josip Stanišić,49337.0,,,,,,,1,From Throw In,Granit Xhaka,3500.0,Right Defensive Midfield,4,Bayer Leverkusen,904,['82184c94-be30-4d2d-b2f2-710092e126a9'],25,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:25.577,Pass,
,,,,,,,,,,,,,,,,,1.822195,,,,,,,,,,,,,,197b671d-b9e0-41a1-80aa-a221fc0aaaf5,82,,,"[36.7, 78.0]",3895258,1,,,,,-1.8170464,,Right Foot,,,"[27.4, 41.0]",,Ground Pass,,38.150887,,,Piero Martín Hincapié Reyna,38004.0,,,,,,,1,From Throw In,Josip Stanišić,49337.0,Right Center Back,4,Bayer Leverkusen,904,['d3821a16-9bc8-48ce-aaa6-5cf4f7a039e8'],27,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:27.233,Pass,
,,,,,,,,,,,,,,,,,1.482376,,,,,,,,,,,,,,421ecb9d-dadd-4733-8875-d8c8c162fd81,85,,,"[41.5, 30.8]",3895258,1,,,,,-0.65598845,,Left Foot,,,"[58.0, 18.1]",,Ground Pass,,20.821623,,,Florian Wirtz,40724.0,,,,,,,1,From Throw In,Piero Martín Hincapié Reyna,38004.0,Left Center Back,4,Bayer Leverkusen,904,['2cb9392e-cb0b-474f-8cee-85593aab284a'],33,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:33.123,Pass,
,,,,,,,,,,,,,,,,,1.151222,,,,,,,,,,,,,,2118070b-0ea0-424c-8dc8-ff2fe334ad54,88,,,"[57.3, 26.4]",3895258,1,,,,,-0.13909595,,Right Foot,,,"[72.3, 24.3]",,Ground Pass,,15.146287,,,Jonas Hofmann,8804.0,,,,,,,1,From Throw In,Florian Wirtz,40724.0,Left Attacking Midfield,4,Bayer Leverkusen,904,['66fed131-5a6f-4151-baa3-51612f58ea32'],36,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:36.998,Pass,
,,,,,,,,,,,,,,,,,0.528918,,,,,,,,,,,,,,38213a13-f204-411b-81bf-097ddcfa298e,91,,,"[78.8, 5.9]",3895258,1,,,,,-0.9137214,,Right Foot,,,"[81.5, 2.4]",,Ground Pass,,4.4204073,,,Alejandro Grimaldo García,10336.0,,,,,,,1,From Throw In,Jonas Hofmann,8804.0,Right Attacking Midfield,4,Bayer Leverkusen,904,['4037f9dc-cf5a-43a1-9291-6694877c0f3c'],41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:41.203,Pass,
,,,,,,,,,,,,,,,,,1.117545,,,,,,,,,,,,,,56da8d16-cfce-4f82-a5bc-1efbf9e164fa,94,,,"[78.3, 2.6]",3895258,1,,,,,1.927573,,Left Foot,,,"[74.2, 13.6]",,Ground Pass,,11.73925,,,Granit Xhaka,3500.0,,,,,,,1,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,4,Bayer Leverkusen,904,['663030ee-882d-47a5-826a-ec30e41c2bba'],42,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:42.951,Pass,
,,,,,,,,,,,,,,,,,1.032049,,,,,,,,,,,,,,e4ac1c16-5bf6-42b8-80ed-d4af050c33dc,98,,,"[74.7, 12.7]",3895258,1,,,,,1.5471321,,Left Foot,,,"[75.1, 29.6]",,Ground Pass,,16.904734,,,Robert Andrich,9195.0,,,,,,,1,From Throw In,Granit Xhaka,3500.0,Right Defensive Midfield,4,Bayer Leverkusen,904,"['7feb31bc-45be-4615-ac65-a7ccf4215b24', 'af1b0d43-9b57-4e44-8991-8854050dafcf']",44,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:44.865,Pass,True
,,,,,,,,,,,,,,,,,1.142703,,,,,,,,,,,,,,18d4452d-c824-42b9-92c8-9892588c4d74,100,,,"[75.7, 32.3]",3895258,1,,,,,-0.5232783,,Right Foot,,,"[91.3, 23.3]",,High Pass,,18.009996,Incomplete,,Patrik Schick,7044.0,,,,,,,1,From Throw In,Robert Andrich,9195.0,Left Defensive Midfield,4,Bayer Leverkusen,904,"['23db48e4-a066-4aa8-b35a-071ef0a4cde9', 'fa1008b6-21f8-454d-afbf-d3cc2a918e86']",45,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:45.897,Pass,
,,,,,,,,,,,,,,,,,1.441492,,,,,,,,,,,,,,23db48e4-a066-4aa8-b35a-071ef0a4cde9,102,,,"[28.8, 56.8]",3895258,1,,,,,-0.059808824,,Head,,,"[45.5, 55.8]",,Low Pass,,16.729914,,,Sargis Adamyan,9125.0,,,,,,Recovery,1,Regular Play,Timo Hübers,35637.0,Right Center Back,5,FC Köln,186,"['18d4452d-c824-42b9-92c8-9892588c4d74', 'c12852fe-0fb2-4f91-8d42-83f09eeb3351']",47,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:47.039,Pass,
