50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.00214,,,,,,,,,,,,12a10e4e-75ac-49e6-bbc5-a5d03bd784c3,73,,,"[34.1, 51.0]",3895220,1,,,,,-2.8800476,,Left Foot,,,"[14.3, 45.7]",,Ground Pass,,20.497072,,,,Lukáš Hrádecký,8667.0,,,,,,1,Regular Play,Josip Stanišić,49337.0,Right Center Back,6,Bayer Leverkusen,904,['d646fef3-d9a8-43dc-bc5f-d7aa24fcb149'],15,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:15.286,Pass,
,,,,,,,,,,,,,,,,,,,1.72108,,,,,,,,,,,,e819405b-6c60-488e-a00e-40d30f955254,76,,,"[16.8, 42.7]",3895220,1,,,,,-1.2223685,,Right Foot,,,"[25.3, 19.3]",,Ground Pass,,24.895983,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,6,Bayer Leverkusen,904,['697845a3-a3ab-49fe-b793-5c957b4fc1cc'],18,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:18.653,Pass,
,,,,,,,,,,,,,,,,,,,1.251441,,,,,,,,,,,,b533db9e-d290-4cf9-a174-9ddcee070f5f,79,,,"[30.1, 18.7]",3895220,1,,,,,0.027020449,,Left Foot,,,"[44.9, 19.1]",,Ground Pass,,14.805405,,,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,6,Bayer Leverkusen,904,['603125ab-caf3-439a-85a4-14e4b8eed74b'],23,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:23.704,Pass,
,,,,,,,,,,,,,,,,,,,1.158201,,,,,,,,,,,,45889334-ea31-4971-b7f7-2b388370e272,82,,,"[46.0, 19.1]",3895220,1,,,,,-2.8452408,,Right Foot,,,"[32.9, 15.1]",,Ground Pass,,13.69708,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,Regular Play,Florian Wirtz,40724.0,Left Attacking Midfield,6,Bayer Leverkusen,904,['48b3d1e4-bde6-4735-9dbc-31f14aace094'],24,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:24.955,Pass,
,,,,,,,,,,,,,,,,,,,1.714776,,,,,,,,,,,,ef40a43e-9b2e-4bd8-a8a5-b1d16c127e8a,85,,,"[33.5, 14.6]",3895220,1,,,,,1.6080462,,Left Foot,,,"[32.9, 30.7]",,Ground Pass,,16.111176,,,,Jonathan Tah,8221.0,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,6,Bayer Leverkusen,904,['793f8540-ce93-4ae8-9122-188b8f756a1e'],27,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:27.765,Pass,
,,,,,,,,,,,,,,,,,,,1.733297,,,,,,,,,,,,40f63c6d-2cd5-4589-9098-dc83dc185d2d,88,,,"[52.7, 35.8]",3895220,1,,,,,-1.7703518,,Right Foot,,,"[49.1, 18.0]",,Ground Pass,,18.160397,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,6,Bayer Leverkusen,904,['9e36c5c1-0307-41d4-8128-ef75e0698fae'],36,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:36.534,Pass,
,,,,,,,,,,,,,,,,,,,0.954316,,,,,,,,,,,,767b3b3d-5b25-44ec-980b-684ed1879eb4,91,,,"[49.1, 18.0]",3895220,1,,,,,1.9205116,,Left Foot,,,"[46.0, 26.5]",,Ground Pass,,9.047651,,,,Jonathan Tah,8221.0,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,6,Bayer Leverkusen,904,['33655b6c-6b87-4811-ad6d-f8c4abd10993'],40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:40.159,Pass,
,,,,,,,,,,,,,,,,,,,1.275342,,,,,,,,,,,,3e72bdb0-9144-47ec-94fe-65058903869b,95,,,"[46.6, 18.7]",3895220,1,,,,,-1.5707964,,Right Foot,,,"[46.6, 7.7]",,Ground Pass,,11.0,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,6,Bayer Leverkusen,904,['50a7d3c1-e808-4fb2-a613-a789e1d13bc2'],42,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:42.190,Pass,
,,,,,,,,,,,,,,,,,,,0.483212,,,,,,,,,,,,32c64be0-f85a-4fd1-9a9f-05cd875e3249,99,,,"[47.4, 6.0]",3895220,1,,,,,-0.31656924,,Left Foot,,,"[53.2, 4.1]",,Ground Pass,,6.1032777,,,,Alejandro Grimaldo García,10336.0,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,6,Bayer Leverkusen,904,['1565d054-3df6-4e86-b9e9-3e908353b17a'],44,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:44.595,Pass,
,,,,,,,,,,,,,,,,,,,1.352115,,,,,,,,,,,,7e55a10b-fd41-4cd8-86a8-a0ea66fed513,103,,,"[55.3, 4.3]",3895220,1,,,,,-2.8614848,,Left Foot,,,"[40.7, 0.1]",,Ground Pass,,15.192103,,Out,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,6,Bayer Leverkusen,904,"['093a727b-e3e6-4d84-b3ea-cb43663e1331', 'd9d6e677-3f62-46f6-98ba-17e1f601145d']",45,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:45.258,Pass,True
,,,,,,,,,,,,,,,,,,,1.007783,,,,,,,,,,,,d40e2b9e-008c-410f-ae0a-21ca44d7dc01,105,,,"[80.0, 80.0]",3895220,2,,,,,-0.6174059,,,,,"[90.0, 72.9]",,High Pass,,12.264175,,,,Tim Skarke,9209.0,,,,,Throw-in,1,From Throw In,Matthias Bader,15797.0,Right Back,7,Darmstadt 98,872,['72ef7a52-f1aa-4f04-98ed-b2eaf2146680'],10,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:10.052,Pass,
,,,,,,,,,,,,,,,,,,,0.660755,,,,,,,,,,,,d81e943c-6b3a-4a38-afa1-fda72c2d85e4,108,,,"[90.2, 71.6]",3895220,2,,,,,1.4083072,,Right Foot,,,"[91.2, 77.7]",,Ground Pass,,6.1814237,,,,Bartol Franjić,39160.0,,,,,,1,From Throw In,Tim Skarke,9209.0,Right Midfield,7,Darmstadt 98,872,['df07e997-adb1-451a-8b97-7b9c7e542bc7'],11,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:11.141,Pass,
,,,,,,,,,,,,,,,,,,,0.26323,,,,,,,,,,,,40ffab1b-e4f5-484c-80a5-056564d7e29a,112,,,"[90.6, 77.7]",3895220,2,,,,,-1.0996301,,Left Foot,,,"[93.3, 72.4]",,Low Pass,,5.948109,,,,Tim Skarke,9209.0,,,,,,1,From Throw In,Bartol Franjić,39160.0,Right Defensive Midfield,7,Darmstadt 98,872,['2f544bd1-1559-4325-8ef6-54b91c3e501a'],11,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:11.906,Pass,
,,,,,,,,,,,,,,,,,,,0.308175,,,,,,,,,,,,129bbf66-807e-4715-af7d-4aaa225efc7a,116,,,"[99.5, 78.3]",3895220,2,,,,,-1.2924967,,Right Foot,,,"[100.5, 74.8]",,Ground Pass,,3.640055,,Incomplete,,Bartol Franjić,39160.0,,,,,,1,From Throw In,Tim Skarke,9209.0,Right Midfield,7,Darmstadt 98,872,"['2817ff5d-3bdf-44dd-bb59-b608d1e33396', '98d997ae-755b-4078-9449-6f5d3e11f013', 'f53f0399-cc18-43b5-83aa-c1b939d7ab03']",14,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:14.217,Pass,True
,,,,,,,,,,,,,,,,,,,0.225944,,,,,,,,,,,,e153e270-765f-4ef0-8b9f-be7942724a01,122,,,"[28.9, 6.2]",3895220,2,,,,,-0.68231654,,Left Foot,,,"[30.5, 4.9]",,Ground Pass,,2.0615528,,Incomplete,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,8,Bayer Leverkusen,904,"['53714b04-cc06-4bd4-bfe4-d11f0c10d90a', '6b62b28c-15d4-495a-9114-89d3dce82799', 'ffc74169-6fbd-4ce6-ab24-d38a340f4317']",15,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:15.987,Pass,True
,,,,,,,,,,,,,,,,,,,1.388159,,,,,,,,,,,,07ac94af-3255-4591-a508-32395ac93c93,125,,,"[28.2, 0.1]",3895220,2,,,,,0.4540016,,,,,"[40.7, 6.2]",,High Pass,,13.90899,,,,Adam Hložek,28239.0,,,,,Throw-in,1,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,9,Bayer Leverkusen,904,['f0d09054-575a-4931-a16a-5d9658a1cae6'],27,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:27.438,Pass,
,,,,,,,,,,,,,,,,,,,0.517382,,,,,,,,,,,,68f5ec7d-6e62-4760-96e2-4074e2aa2753,129,,,"[43.4, 6.2]",3895220,2,,,,,-1.5027199,,Right Foot,,,"[43.7, 1.8]",,Ground Pass,,4.4102154,,,,Florian Wirtz,40724.0,,,,,,1,From Throw In,Adam Hložek,28239.0,Right Attacking Midfield,9,Bayer Leverkusen,904,['95e97ac1-e18e-4377-958f-9d0d5c86aaf1'],28,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:28.895,Pass,
