50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.630579,,,,,,,,,,,c16e7828-8b0f-45c7-a143-85c1631a2973,42,,"[35.3, 9.5]",3895275,0,,,,,1.2820668,,Right Foot,,,"[47.3, 49.9]",,Low Pass,,42.144512,,Incomplete,Jeremie Frimpong,32712.0,,True,,,1,From Throw In,Florian Wirtz,40724.0,Left Attacking Midfield,4,Bayer Leverkusen,904,"['d439dbc0-c8b7-41a4-8976-4e6214eaf269', 'f2618369-6d85-4a27-a1e8-73e1ce73ef3d']",44,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:44.785,Pass,
,,,,,,,,,,,,,,,,1.845307,,,,,,,,,,,d439dbc0-c8b7-41a4-8976-4e6214eaf269,44,,"[72.8, 30.2]",3895275,0,,,,,0.06241881,,Left Foot,,,"[95.2, 31.6]",,Ground Pass,,22.443707,,Incomplete,Roland Sallai,19316.0,,,,Recovery,1,From Throw In,Christian Günter,8945.0,Left Wing Back,4,Bayer Leverkusen,904,"['466d3b77-1f3f-40c4-a760-6d04168c05e7', '7303ac58-f0ee-4c29-abee-b4763c596f50', 'c16e7828-8b0f-45c7-a143-85c1631a2973']",47,,,,,,,,,,,,,,,,,Freiburg,183,00:00:47.416,Pass,
,,,,,,,,,,,,,,,,1.596802,,,,,,,,,,,546a963e-acfe-468b-a321-e8685df5f79d,48,,"[25.1, 45.0]",3895275,0,,,,,-3.0269148,,Right Foot,,,"[6.0, 42.8]",,Ground Pass,,19.226284,,,Lukáš Hrádecký,8667.0,,,,,1,From Throw In,Josip Stanišić,49337.0,Right Center Back,4,Bayer Leverkusen,904,['6aa94509-7aac-4590-bf86-ed3ff1d111a4'],50,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:50.009,Pass,
,,,,,,,,,,,,,,,,2.04199,,,,,,,,,,,b3f29fec-b240-4b31-859b-9e0ee9ca7a79,50,,"[6.0, 42.8]",3895275,0,,,,,1.018042,,Left Foot,,,"[27.9, 78.3]",,High Pass,,41.711628,,,Jeremie Frimpong,32712.0,,,,,1,From Throw In,Lukáš Hrádecký,8667.0,Goalkeeper,4,Bayer Leverkusen,904,['0c106f89-6778-4081-9c16-ac3c4b6d8ab2'],51,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:51.605,Pass,
,,,,,,,,,,,,,,,,1.27344,,,,,,,,,,,de60e229-f1c9-401b-9182-6b0577ddd1c4,53,,"[23.9, 78.1]",3895275,0,,,,,-1.8063413,,Left Foot,,,"[22.1, 70.6]",,Ground Pass,,7.712976,,,Josip Stanišić,49337.0,,,,,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,4,Bayer Leverkusen,904,['6dc36448-7d5e-4be3-b6ce-b23ce697269a'],54,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:54.767,Pass,
,,,,,,,,,,,,,,,,0.603617,,,,,,,,,,,03b52175-59df-40dd-8d70-8fdf217cc83a,56,,"[21.4, 66.9]",3895275,0,,,,,1.4448837,,Right Foot,,,"[22.4, 74.8]",,Ground Pass,,7.9630394,,Incomplete,Jeremie Frimpong,32712.0,,,,,1,From Throw In,Josip Stanišić,49337.0,Right Center Back,4,Bayer Leverkusen,904,"['5e3aad0a-64a9-4a9b-a0ed-a96ac26358d7', '6d50ff30-dd03-4b28-ac5f-325469978793']",56,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:56.511,Pass,
,,,,,,,,,,,,,,,,1.670443,,,,,,,,,,,270d1c36-e22b-43b8-8378-8ab1dcf06241,59,,"[24.1, 80.0]",3895275,1,,,,,-0.055262823,,,,,"[47.6, 78.7]",,High Pass,,23.53593,,,Patrik Schick,7044.0,,,,Throw-in,1,From Throw In,Josip Stanišić,49337.0,Right Center Back,5,Bayer Leverkusen,904,['ebf308a8-482a-4f2a-bef9-dbc2b7b2448d'],11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:11.873,Pass,
,,,,,,,,,,,,,,,,1.647973,,,,,,,,,,,03975b61-b619-4e79-b59a-9a71af93e3d5,62,,"[47.6, 77.7]",3895275,1,,,,True,-1.5385494,,,,,"[47.9, 68.4]",,Low Pass,,9.304837,,,Adam Hložek,28239.0,,,,,1,From Throw In,Patrik Schick,7044.0,Center Forward,5,Bayer Leverkusen,904,"['0072923f-448e-4925-99d3-a14730f08a8c', '7e8dc74a-69d2-4f7b-afc4-bca58a6fc5a2']",13,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:13.544,Pass,True
,,,,,,,,,,,,,,,,2.231209,,,,,,,,,,,efdc5161-a775-4442-86a0-65ea26be91d7,65,,"[49.0, 47.9]",3895275,1,,,,,-0.9470946,,Left Foot,,,"[66.7, 23.3]",,Ground Pass,,30.30594,,,Alejandro Grimaldo García,10336.0,,,,,1,From Throw In,Adam Hložek,28239.0,Right Attacking Midfield,5,Bayer Leverkusen,904,['045be1e4-081a-4976-8bb5-ddd58f149db5'],17,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:17.307,Pass,
,,,,,,,,,,,,,,,,2.041372,,,,,,,,,,,66c47d90-17b2-4038-aecd-2a825b0b252f,68,,"[77.7, 24.7]",3895275,1,,,,,-0.06798019,0b7cd6e5-2ab6-46d0-b7d3-4e5b4a43513b,Left Foot,,,"[101.2, 23.1]",True,Ground Pass,,23.554405,,,Florian Wirtz,40724.0,,,,,1,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,5,Bayer Leverkusen,904,['aee86c52-eca2-4ccf-b153-9e61a09df682'],20,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:20.634,Pass,
