50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.110436,,,,,,,,,,,,,,6529eb22-46cf-4e13-83df-c36d0f58f8b4,52,,,"[21.1, 48.6]",3895340,0,,,,True,-1.5446243,,,,,"[21.6, 29.5]",,Low Pass,,19.106543,,,,,Arthur Augusto de Matos Soares,196651.0,,,,,Recovery,1,From Throw In,Edmond Fayçal Tapsoba,30606.0,Left Center Back,5,Bayer Leverkusen,904,"['363ff18a-b613-4011-9c63-cb5a95643271', 'f6d22d3c-fb6a-4cec-a58e-3c456349e8be', 'fde3624b-8f5e-4830-b087-e7fec93b08df']",59,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:59.365,Pass,True
,,,,,,,,,,,,,,,,0.980433,,,,,,,,,,,,,,e0fcbfe4-f2d5-4ffe-bcf1-97f875bd4865,55,,,"[45.4, 9.0]",3895340,1,,,,,2.5686264,,Right Foot,,,"[33.0, 17.0]",,Ground Pass,,14.756694,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Throw In,Arthur Augusto de Matos Soares,196651.0,Left Wing Back,5,Bayer Leverkusen,904,['4cca8cef-2d12-4ef8-81d3-eb4fa03ad831'],6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:06.946,Pass,
,,,,,,,,,,,,,,,,1.348484,,,,,,,,,,,,,,6baa3753-6d90-4d0b-921d-bd0ef17090dc,58,,,"[33.0, 17.0]",3895340,1,,,,,-0.7169134,,Right Foot,,,"[47.8, 4.1]",,Ground Pass,,19.632881,,,,,Arthur Augusto de Matos Soares,196651.0,,,,,,1,From Throw In,Edmond Fayçal Tapsoba,30606.0,Left Center Back,5,Bayer Leverkusen,904,['9c048681-5189-4ec7-b21a-55c5c7ead5ab'],9,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:09.324,Pass,
,,,,,,,,,,,,,,,,1.367022,,,,,,,,,,,,,,4c6578ba-567a-4393-93fb-6a9658c5e6f1,63,,,"[54.7, 80.0]",3895340,1,,True,,,-0.15660188,,,,,"[69.9, 77.6]",,Low Pass,,15.388308,,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Felix Passlack,8241.0,Right Back,6,Bochum,868,['a2220e49-de45-4fbe-9b22-27d2db641961'],33,,,,,,,,,,,,,,,,,Bochum,868,00:01:33.703,Pass,
,,,,,,,,,,,,,,,,1.343702,,,,,,,,,,,,,,a2220e49-de45-4fbe-9b22-27d2db641961,64,,,"[50.2, 2.5]",3895340,1,,,,,0.99854875,,Left Foot,,,"[64.5, 24.7]",,Low Pass,,26.407007,,,,,Nathan Tella,41411.0,,,,,Recovery,1,Regular Play,Arthur Augusto de Matos Soares,196651.0,Left Wing Back,7,Bayer Leverkusen,904,"['4c6578ba-567a-4393-93fb-6a9658c5e6f1', 'f3025bdd-7cbe-4227-bdc7-7469d99c0fcc']",35,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:35.070,Pass,
,,,,,,,,,,,,,,,,0.952791,,,,,,,,,,,,,,cd0a62fa-1537-4e9e-bc6e-97a135b4d697,66,,,"[64.5, 24.7]",3895340,1,,,,,-1.4783454,,Right Foot,,,"[65.9, 9.6]",,Ground Pass,,15.164762,,,,,Patrik Schick,7044.0,,,,,,1,Regular Play,Nathan Tella,41411.0,Right Wing,7,Bayer Leverkusen,904,['0fe9646f-3ebc-4619-b2e5-218423be14ca'],36,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:36.414,Pass,
,,,,,,,,,,,,,,,,0.43821,,,,,,,,,,,,,,3c4e2192-2db1-42de-94cd-116089700b91,70,,,"[67.3, 13.6]",3895340,1,,,,,-3.0778494,,Left Foot,,,"[62.6, 13.3]",,Ground Pass,,4.7095647,,,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Patrik Schick,7044.0,Center Forward,7,Bayer Leverkusen,904,"['140529e3-b660-4139-a757-c7f1b8808b0e', '704b6b67-61ec-4e93-aea8-02eecc8a4a05']",38,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:38.125,Pass,True
,,,,,,,,,,,,,,,,4.042318,,,,,,,,,,,,,,18c9f673-d56e-4177-8b3d-cfb132db1807,77,,,"[54.2, 67.6]",3895340,1,,,,,0.12069759,,Left Foot,,,"[94.6, 72.5]",,High Pass,,40.696068,,,Incomplete,,Philipp Hofmann,28603.0,,,,,Recovery,1,Regular Play,Anthony Losilla,9089.0,Right Defensive Midfield,7,Bayer Leverkusen,904,"['30ca6bed-d55d-479b-905b-21d18b803726', '9325045b-ac6f-4489-914f-8264238e4078']",41,,,,,,,,,,,,,,,,,Bochum,868,00:01:41.144,Pass,
,,,,,,,,,,,,,,,,2.719311,,,,,,,,,,,,,,9325045b-ac6f-4489-914f-8264238e4078,79,,,"[25.5, 7.6]",3895340,1,,,,,2.2660143,,Right Foot,,,"[8.4, 28.1]",,Ground Pass,,26.695692,,,,,Lukáš Hrádecký,8667.0,,,,,Recovery,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,7,Bayer Leverkusen,904,"['18c9f673-d56e-4177-8b3d-cfb132db1807', '845e9a77-38e7-4abe-bc26-8f0f59edec1b']",45,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:45.187,Pass,
,,,,,,,,,,,,,,,,0.821112,,,,,,,,,,,,,,b4281b04-3ee3-484c-9208-535a3f3c67aa,83,,,"[8.8, 28.9]",3895340,1,,,,,1.5610405,,Left Foot,,,"[9.0, 49.4]",,Ground Pass,,20.500975,,,,,Jonathan Tah,8221.0,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,7,Bayer Leverkusen,904,"['16aa5fff-6486-4341-ab0c-ff3165ef0465', '6575ac51-9e0e-4e52-8a78-581e19fe5542']",48,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:48.240,Pass,True
,,,,,,,,,,,,,,,,0.896076,,,,,,,,,,,,,,a2eca8b3-ff6d-4ba7-a320-cfc6a8a3dd12,86,,,"[8.2, 51.2]",3895340,1,,,,,-0.5159255,,Right Foot,,,"[14.9, 47.4]",,Ground Pass,,7.702597,,,,,Robert Andrich,9195.0,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,7,Bayer Leverkusen,904,['dcc9744c-795b-47c4-8af0-a2f48479569a'],50,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:50.710,Pass,
,,,,,,,,,,,,,,,,1.432194,,,,,,,,,,,,,,f1efe450-e284-496c-95c5-bd32a1da7b17,89,,,"[15.4, 48.6]",3895340,1,,,,,1.6986662,,Right Foot,,,"[11.8, 76.6]",,Ground Pass,,28.23048,,,,,Odilon Kossonou,27133.0,,,,,,1,Regular Play,Robert Andrich,9195.0,Right Defensive Midfield,7,Bayer Leverkusen,904,['651da4d0-3bfd-4f29-8f89-e6004b5e35c2'],51,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:51.606,Pass,
,,,,,,,,,,,,,,,,1.477013,,,,,,,,,,,,,,1aa49d9f-e954-4128-9179-7b778d1a5d27,92,,,"[11.8, 76.6]",3895340,1,,,,,-0.3360196,,Right Foot,,,"[39.0, 67.1]",,Ground Pass,,28.811283,,,,,Nathan Tella,41411.0,,,,,,1,Regular Play,Odilon Kossonou,27133.0,Right Center Back,7,Bayer Leverkusen,904,['3b0d8239-7733-49d2-ab7f-4dcf11e10530'],53,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:53.363,Pass,
,,,,,,,,,,,,,,,,0.328592,,,,,,,,,,,,,,5de1ae6b-93a0-495a-909c-13e225fcabc6,98,,,"[38.2, 80.0]",3895340,2,,True,,,-1.4940244,,,,,"[39.4, 64.4]",,High Pass,,15.646086,,,,,Odilon Kossonou,27133.0,,,,,Throw-in,1,From Throw In,Josip Stanišić,49337.0,Right Wing Back,8,Bayer Leverkusen,904,['6cae124d-535f-46e3-8166-b0f82b1138ca'],8,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:08.199,Pass,
,,,,,,,,,,,,,,,,1.722592,,,,,,,,,,,,,,f32fd4c0-efd7-4933-8ad0-6fc276d826b5,100,,,"[39.4, 64.4]",3895340,2,,True,,,-1.7447587,,Left Foot,,,"[28.1, 0.1]",,Ground Pass,,65.28537,,,Out,,,,,True,,,,1,From Throw In,Odilon Kossonou,27133.0,Right Center Back,8,Bayer Leverkusen,904,,8,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:08.768,Pass,
,,,,,,,,,,,,,,,,1.103067,,,,,,,,,,,,,,09a24e9d-d414-42e8-a1e8-988860f24cb7,101,,,"[91.8, 80.0]",3895340,2,,,,,-2.55359,,,,,"[84.6, 75.2]",,Low Pass,,8.653323,,,,,Kevin Stöger,12303.0,,,,,Throw-in,1,From Throw In,Felix Passlack,8241.0,Right Back,9,Bochum,868,['566bf79a-80a0-4e08-8ddb-e229da0f0cd6'],30,,,,,,,,,,,,,,,,,Bochum,868,00:02:30.474,Pass,
,,,,,,,,,,,,,,,,1.65593,,,,,,,,,,,,,,6e2c059d-3fbc-45ed-91a0-95c341987621,104,,,"[85.5, 73.3]",3895340,2,,,,,0.23400517,,Left Foot,,,"[102.7, 77.4]",,Ground Pass,,17.681911,,,,,Felix Passlack,8241.0,,,,,,1,From Throw In,Kevin Stöger,12303.0,Center Attacking Midfield,9,Bochum,868,['f3b01744-caf9-4593-8257-bb5d792af2de'],34,,,,,,,,,,,,,,,,,Bochum,868,00:02:34.321,Pass,
,,,,,,,,,,,,,,,,1.712975,,,,,,,,,,,,,,96020919-260f-47fc-9795-e25f418d488e,107,,,"[105.2, 75.6]",3895340,2,,,,,-1.225854,,Right Foot,,,"[113.5, 52.5]",,High Pass,,24.545876,,,,,Ivan Ordets,44198.0,,,,,,1,From Throw In,Felix Passlack,8241.0,Right Back,9,Bochum,868,['a30e00a0-446d-4db9-b86a-ff71cd2f63a7'],37,,,,,,,,,,,,,,,,,Bochum,868,00:02:37.322,Pass,
,,,,,,,,,,,,,,,,0.656591,,,,,,,,,,,,,,055764a4-a9d6-46e6-914d-07f880b476e9,114,,,"[119.0, 54.4]",3895340,2,,,,,-1.962032,,Right Foot,True,,"[115.7, 46.4]",,Ground Pass,,8.653901,,,Incomplete,,Ivan Ordets,44198.0,,,,,,1,From Throw In,Patrick Osterhage,133208.0,Left Defensive Midfield,9,Bochum,868,"['15856da9-207b-40c0-b006-2de7e057a248', 'eef11a0d-9a47-40eb-9b72-8d217bbfdc36']",42,,,,,,,,,,,,,,,,,Bochum,868,00:02:42.468,Pass,
